CASE REFERENCE ,CASE DATE,SERVICE TYPE,CLASSIFICATION,CASE TEXT,ADDRESS,DECISION TARGET DATE,STATUS,CODETEXT,GEO X,GEO Y ,DECISION DATE,DECISION,DECISION TYPE,DECISION NOTICE DATE,APPEAL DECISION DATE,PUBLIC CONSULTATION START DATE,PUBLIC CONSULTATION END DATE,WARD
17/00659/HSE,23/05/2017,HSE,Q21,Enlargement of existing light well to form doorway and staircase for ambulant disabled access.,"2 Fair View
Wood Hey Lane
Hebden Bridge
Calderdale
HX7 6JQ
",18/07/2017,1,1,399744,426276,18/07/2017,1,DEL,18/07/2017,,05/06/2017,26/06/2017,2
15/00707/NMA,02/06/2017,NMA,NMA,Non Material Amendment to application 15/00707 - Replace existing conservatory with single storey glazed extension with grey slate roof,"Fold Farm West Near
Crossley New Road
Todmorden
West Yorkshire
OL14 8RP
",28/06/2017,NMAR,NMAR,395854,426127,04/08/2017,NMAR,DEL,04/08/2017,,,,2
17/00497/HSE,13/04/2017,HSE,Q21,First and second floor extension to rear with loft conversion,"19 Mount Avenue
Halifax
Calderdale
HX2 0LF
",08/06/2017,1,1,406163,425422,07/06/2017,1,DEL,07/06/2017,,04/05/2017,26/05/2017,17
17/00725/FUL,09/06/2017,FUL,Q18,"Improvements to accessibility: modifications to vehicular access, improvements to parking and turning, demolish damaged bin store and form more accessible bin storage area, modify front doors to two storey flats to be DDA compliant","Mackintosh Homes
Skircoat Moor Road
Halifax
Calderdale

",21/08/2017,1,1,408161,423786,11/08/2017,1,DEL,11/08/2017,,28/06/2017,28/07/2017,14
17/00731/LBC,12/06/2017,LBC,Q23,Install 2 Conservation Roof Windows to the external pitch of the non visible side of the roof.,"First Floor Flat
Stansfield Hall West
Stansfield Hall Road
Todmorden
Calderdale
OL14 8BQ
",22/08/2017,3,3,394057,424685,22/08/2017,3,DEL,22/08/2017,,04/07/2017,16/08/2017,15
17/20089/TPO,02/06/2017,TPO,TPO,Prune  two trees (Tree Preservation Order),"The Spinney Wood 
Palace House Road
Hebden Bridge
Calderdale

",28/07/2017,4,4,399509,426692,25/07/2017,4,DEL,25/07/2017,,13/06/2017,06/07/2017,2
17/20090/TPO,08/06/2017,TPO,TPO,Prune trees (Tree Preservation Order),"Land Rear Of 7
St Albans Croft
Halifax
Calderdale

",03/08/2017,4,4,409501,423480,31/07/2017,4,DEL,31/07/2017,,16/06/2017,07/07/2017,13
17/00757/FUL,16/06/2017,FUL,Q18,Demolition of existing building to facilitate construction of two dwellings.,"Glenroyd
Burnley Road
Todmorden
Calderdale
OL14 7DJ
",07/09/2017,,PCO,392611,425237,,,,,,20/07/2017,25/08/2017,15
17/00758/FUL,16/06/2017,FUL,Q20,"Change of use from gym (D2) to Childrens play area (D2), Cafe (A3) and function room/bar (A4) including internal and external alterations.","Hollins Mill
Rochdale Road
Todmorden
Calderdale

",07/09/2017,,PCO,393421,422062,,,,,,,07/09/2017,15
17/00349/FUL,22/03/2017,FUL,Q13,Refurbishment and alterations to create one dwelling,"The Grove
Oldham Road
Ripponden
Sowerby Bridge
Calderdale
HX6 4QU
",08/06/2017,1,1,403467,417140,07/06/2017,1,DEL,07/06/2017,,05/05/2017,02/06/2017,12
17/00369/HSE,22/03/2017,HSE,,Porch to front,"15 Bramley Lane
Hipperholme
Brighouse
Calderdale
HX3 8SR
",,,APPRET,413197,425809,,,,,,,,5
17/00387/LBC,24/03/2017,LBC,Q23,Replacement windows and new rooflights (Listed Building Consent),"115 Rastrick Common
Brighouse
West Yorkshire
HD6 3EN
",07/06/2017,3,3,414123,421698,13/06/2017,3,DEL,13/06/2017,,02/05/2017,26/05/2017,11
17/00398/FUL,27/03/2017,FUL,Q20,Change of use of existing shop (A1 use) to hot food take away (A5 use),"9 - 11 King Street
Brighouse
Calderdale
HD6 1NX
",17/07/2017,1,1,414703,422931,14/07/2017,1,DEL,14/07/2017,,25/05/2017,13/07/2017,1
17/00399/FUL,27/03/2017,FUL,Q15,Demolition of existing storage building and construction of Warehouse/Storage Unit (Class B8) with ancillary residential accommodation,"Calder Clutch Company Limited
Mill Lane
Brighouse
Calderdale
HD6 1PN
",28/06/2017,,PCO,414899,422719,,,,,,18/05/2017,27/06/2017,1
17/00407/COU,28/03/2017,COU,Q20,Change of use of former police station to 2 dwellings,"Former Police Station
Hope Street
Hebden Bridge
Calderdale
HX7 8AG
",25/05/2017,16,16,399312,427177,08/08/2017,16,DEL,08/08/2017,,21/04/2017,03/08/2017,2
17/00485/FUL,12/04/2017,FUL,Q09,"Partial demolition and redevelopment of 25 bay weaving shed to form mixed use units to include  A1, A3, B1 (a,b and c), B2 and B8 with parking and service area","Hollins Mill
Rochdale Road
Todmorden
Calderdale

",25/08/2017,,PCO,393421,422062,,,,,,08/06/2017,27/07/2017,15
17/00297/FUL,02/03/2017,FUL,Q18,Installation of security shutters to front door,"16 Woolshops
Halifax
West Yorkshire
HX1 1RU
",26/05/2017,1,1,409498,425197,07/06/2017,1,DEL,07/06/2017,,11/04/2017,15/05/2017,16
17/00298/HSE,06/03/2017,HSE,Q21,Two storey rear extension and conversion of existing detached garage to living space with single storey linked access from dwelling.,"109 Green Park Road
Halifax
West Yorkshire
HX3 0SP
",01/05/2017,1,1,409273,422824,08/05/2017,1,DEL,08/05/2017,,27/03/2017,27/04/2017,13
17/42011/42DAYS,09/03/2017,42DAYS,,"Prior approval application for proposed single storey extension to rear, extending out by 3.3 metres, maximum height 3.62 metres, 2.3 metres to eaves","52 Garden Road
Brighouse
Calderdale
HD6 2ES
",13/04/2017,18,18,414008,423575,07/04/2017,18,DEL,07/04/2017,,09/03/2017,04/04/2017,1
17/42012/42DAYS,10/03/2017,42DAYS,,"Prior approval application for proposed single storey conservatory to rear, extending out by 6.6 metres, maximun height 3.35 metres, 2.35 metres to eaves.","9 Ingham Close
Bradshaw
Halifax
West Yorkshire
HX2 9PQ
",14/04/2017,18,18,407583,429959,06/04/2017,18,,06/04/2017,,13/03/2017,05/04/2017,6
17/20025/TPO,23/02/2017,TPO,TPO,Fell one tree and prune two trees (Tree Preservation Order),"2 Highlands View
Greetland
Elland
West Yorkshire
HX4 8QP
",20/04/2017,4,4,408852,421507,02/05/2017,4,COMM,04/05/2017,,21/04/2017,07/04/2017,4
17/20026/TPO,23/02/2017,TPO,TPO,Prune eleven trees and fell two trees (Tree Preservation Order),"14, 16 And 18 Stonecroft Mount
Sowerby Bridge
Calderdale
HX6 2SB
",20/04/2017,4,4,406551,424499,20/04/2017,4,DEL,20/04/2017,,13/03/2017,07/04/2017,14
17/20037/TPO,24/02/2017,TPO,TPO,"Reduce three trees (Tree Preservation Order)
","Midgehole W.M.C
Midgehole Road
Hebden Bridge
Calderdale
HX7 7AL
",02/05/2017,4,4,398870,429006,02/05/2017,4,DEL,02/05/2017,,27/03/2017,27/04/2017,2
17/20027/TPO,24/02/2017,TPO,TPO,Prune one tree (Tree Preservation Order),"9 The Sycamores
Wakefield Road
Lightcliffe
Brighouse
Calderdale
HX3 8UH
",21/04/2017,4,4,414352,425373,20/04/2017,4,DEL,20/04/2017,,14/03/2017,07/04/2017,5
16/01517/COU,18/11/2016,COU,Q20,Change of use from Barbers shop (A1) to Hot Food Takeaway (A5) with staff facilities to first floor,"286 Queens Road
King Cross
Halifax
Calderdale
HX1 4NJ
",28/02/2017,1,1,407941,425433,13/06/2017,1,DEL,13/06/2017,,12/01/2017,24/05/2017,10
17/00039/LBC,11/01/2017,LBC,Q23,Structural work to repair part of front elevation (Listed Building Consent),"8 Holebottom
Hole Bottom Road
Todmorden
Calderdale
OL14 8DD
",08/03/2017,,PCO,393997,425104,,,,,,,11/08/2017,15
16/01673/FUL,23/12/2016,FUL,Q20,Change of use from General Industrial (B2) to Gymnasium (D2),"Unit 10
Sowerby Bridge Business Park
Victoria Road
Sowerby Bridge
Calderdale
HX6 3AE
",17/02/2017,1,1,405881,423307,16/02/2017,1,DEL,16/02/2017,,10/01/2017,02/02/2017,14
16/01680/FUL,28/12/2016,FUL,Q13,"Hybrid application: Part conversion of detached barn to single dwelling. Part Outline, removal of stables to facilitate the construction of detached dwelling","Ingfield Bungalow
Ingfield
Ing Head Gardens
Shelf
Halifax
Calderdale
HX3 7LA
",,,INV,412040,427844,,,,,,14/03/2017,07/04/2017,8
16/00556/DISC1,28/12/2016,DISC1,DISC,"Submission of details to comply with conditions to permission 16/00556 nos. 2, 3 and 4","Newlands House
Newlands Road
Warley
Halifax
Calderdale
HX2 7BW
",22/02/2017,PCOMP,PCOMP,405369,425217,22/03/2017,PCOMP,,22/03/2017,,,,17
16/00557/DISC1,28/12/2016,DISC1,DISC,"Submission of details to comply with conditions to permission 16/00557 nos. 1, 2, and 3","Newlands House
Newlands Road
Warley
Halifax
Calderdale
HX2 7BW
",22/02/2017,PCOMP,PCOMP,405369,425217,22/03/2017,PCOMP,,22/03/2017,,,,17
17/00006/192,03/01/2017,192,Q26,Single storey extension including demolition of existing conservatory.  Single storey front extension.  Internal alterations to extend garage. (Lawful Development Certificate),"24 Heathfield Rise
Rishworth
Sowerby Bridge
Calderdale
HX6 4RS
",28/02/2017,39,39,403065,418138,28/02/2017,39,DEL,28/02/2017,,,01/02/2017,12
16/56025/CLAS3O,23/12/2016,CLAS3O,,"Prior Approval application for a change of use from office (B1a) to apartments (C3) on the first, second and third floor only.","Courier Office
9 King Cross Street
Halifax
Calderdale
HX1 2SH
",23/02/2017,18,18,408992,424970,10/03/2017,18,DEL,10/03/2017,,,,16
16/01684/DEVAC,28/12/2016,DEVAC,DEVAC,Submission of information for the Local Planning Authority to consider if the development is acceptable,"139 Wakefield Road
Lightcliffe
Brighouse
Calderdale
HX3 8TH
",02/03/2017,REPLY,REPLY,413705,425447,01/02/2017,REPLY,,01/02/2017,,,,5
16/01133/DISC1,06/01/2017,DISC1,DISC,Submission of details to comply with conditions to permission 16/01133 nos. 3 and 4,"Land Adjacent To Clay House Mills
Clay House Lane
Greetland
Elland
Calderdale

",03/03/2017,,PCO,409552,421470,,,,,,,01/02/2017,4
17/20092/TPO,16/06/2017,TPO,TPO,Prune one tree (Tree Preservation Order),"The Gables
11 Woodfield Drive
Greetland
Elland
West Yorkshire
HX4 8NZ
",11/08/2017,4,4,409021,420930,07/08/2017,4,DEL,07/08/2017,,21/06/2017,14/07/2017,4
17/00768/FUL,20/06/2017,FUL,Q18,Single storey infil extension to rear with roof terrace and new entrance to front elevation,"The Barge
37 Mill Lane
Brighouse
West Yorkshire
HD6 1PA
",21/08/2017,1,1,414793,422791,17/08/2017,1,DEL,17/08/2017,,29/06/2017,21/07/2017,1
17/20096/TPO,16/06/2017,TPO,TPO,Prune one tree (Tree Preservation Order),"29 Carr Field Drive
Luddenden
Sowerby Bridge
Calderdale
HX2 6RJ
",11/08/2017,4,4,404029,425805,08/08/2017,4,DEL,08/08/2017,,22/06/2017,13/07/2017,7
17/20098/TPO,20/06/2017,TPO,TPO,Prune one tree (Tree Preservation Order),"15 Caldene Croft
Mytholmroyd
Hebden Bridge
Calderdale
HX7 5AE
",15/08/2017,4,4,400493,426305,15/08/2017,4,DEL,15/08/2017,,22/06/2017,13/07/2017,7
17/00843/192,06/07/2017,192,Q26,Convert shed to garden room (Lawful Development Certificate),"5 Tillotsons Buildings
Burnley Road
Luddenden Foot
Sowerby Bridge
Calderdale
HX2 6AG
",18/09/2017,,PCO,403724,425120,,,,,,,04/08/2017,7
17/00859/FUL,10/07/2017,FUL,Q18,Demolition of existing single garage to facilitate double garage,"3 Foot Kiln
Wadsworth
West Yorkshire
HX7 8TW
",11/10/2017,,PCO,400376,427988,,,,,,22/08/2017,15/09/2017,2
17/20109/TPO,05/07/2017,TPO,TPO,Prune trees (Tree Preservation Order),"2 Holly Bank Court
Bramley Lane
Hipperholme
Brighouse
West Yorkshire
HX3 8PE
",13/09/2017,,PCO,412903,425802,,,,,,26/07/2017,18/08/2017,5
05/02185/COMP5,13/07/2017,COMP5,COMP,Compliance check (Condition 6),"Perseverence Mill
Westbury Street
Elland
Calderdale

",07/09/2017,REPLY,REPLY,411172,420924,23/08/2017,REPLY,,23/08/2017,,,,3
17/22032/TCA,27/06/2017,TCA,TCA,Prune one tree (Tree in Conservation Area),"3 Highfield Road
Luddenden
Halifax
Calderdale
HX2 6QB
",08/08/2017,40,40,404264,425970,04/08/2017,40,DEL,04/08/2017,,,28/07/2017,7
17/00408/FUL,28/03/2017,FUL,Q20,"Change of use from agricultural land to mixed use of agricultural land with yard area, stable block (part used as utility block), stationing of caravans for residential occupation by Traveller family with associated works (hardstanding, fencing, walls, septic tank, alterations to access with entrance gates, electricity box and gas tank)- (part retrospective).","Caravan At West View Stables
West View
Stainland
Elland
Calderdale
HX4 9EN
",04/07/2017,,PCO,408178,419793,,,,,,23/05/2017,26/06/2017,4
17/22016/TCA,09/03/2017,TCA,TCA,Prune three trees (Tree in a Conservation Area),"5 Heatherstones
Halifax
West Yorkshire
HX3 0DH
",20/04/2017,40,40,408776,423929,20/04/2017,40,DEL,20/04/2017,,,21/04/2017,13
17/00414/LBC,29/03/2017,LBC,Q23,Installation of Wifi (regularisation) (Listed Building Consent),"Lloyds Tsb Bank Plc
Commercial Street
Halifax
Calderdale
HX1 1BB
",24/05/2017,3,3,409214,425097,30/05/2017,3,DEL,30/05/2017,,,01/06/2017,16
17/00415/FUL,29/03/2017,FUL,Q13,Conversion of existing barn to self contained dwelling including  single storey rear extension and elevational alterations (Part retrospective),"Milner Royd Barn East
London Road
Norland
Sowerby Bridge
Calderdale
HX6 3QY
",22/06/2017,1,1,407111,423180,22/06/2017,1,DEL,22/06/2017,,16/05/2017,09/06/2017,4
17/00428/HSE,31/03/2017,HSE,Q21,Single storey garden room,"1 Marling Road
Ainley Top
Elland
Calderdale
HD2 2EE
",01/08/2017,1,1,411563,419362,07/07/2017,1,DEL,07/07/2017,,13/06/2017,04/07/2017,3
17/00429/HSE,31/03/2017,HSE,Q21,Single storey extension to East elevation,"4 Knowles Road
Brighouse
West Yorkshire
HD6 3RN
",05/07/2017,1,1,414480,421711,05/07/2017,1,DEL,05/07/2017,,24/05/2017,16/06/2017,11
17/00430/HSE,31/03/2017,HSE,Q21,Single storey extension to East elevation,"Styes Cottage
Styes Lane
Sowerby
Sowerby Bridge
West Yorkshire
HX6 1NF
",20/06/2017,1,1,403913,423745,20/06/2017,1,DEL,20/06/2017,,11/05/2017,02/06/2017,12
17/00456/HSE,05/04/2017,HSE,Q21,Two storey side and rear extension and porch to front (part retrospective)(Revised Scheme to 16/00608),"48 Roils Head Road
Halifax
West Yorkshire
HX2 0LH
",31/05/2017,1,1,406436,425293,31/05/2017,1,DEL,31/05/2017,,26/04/2017,19/05/2017,17
17/00491/LBC,12/04/2017,LBC,Q23,Installation of flue (Listed Building Consent),"National Trust Visitor Centre
Gibson Mill
Midgehole Road
Hebden Bridge
Calderdale
HX7 7AW
",04/07/2017,3,3,397310,429864,03/07/2017,3,DEL,03/07/2017,,23/05/2017,23/06/2017,2
17/00426/FUL,30/03/2017,FUL,Q13,Construction of 6 no apartments,"Land Adjacent St Georges Terrace
Old Lee Bank
Lee Mount
Halifax
Calderdale

",20/06/2017,1,1,408548,426232,05/07/2017,1,DEL,05/07/2017,,11/05/2017,20/06/2017,9
17/20046/TPO,05/04/2017,TPO,TPO,Fell one tree (Tree Preservation Order),"252 Saddleworth Road
Greetland
Elland
West Yorkshire
HX4 8LZ
",31/05/2017,14,14,408819,421104,30/05/2017,14,DEL,30/05/2017,,27/04/2017,30/05/2017,4
17/00454/HSE,05/04/2017,HSE,Q21,Two storey side extension,"25 Brow Lane
Shelf
Halifax
Calderdale
HX3 7QJ
",31/05/2017,1,1,412560,428712,30/06/2017,1,DEL,30/06/2017,,25/05/2017,08/06/2017,8
17/00483/HSE,12/04/2017,HSE,Q21,Raised driveway with storage room below,"Dog Bottom
Lee Mill Road
Hebden Bridge
West Yorkshire
HX7 7AB
",27/06/2017,1,1,399206,428167,27/06/2017,1,DEL,27/06/2017,,16/05/2017,09/06/2017,2
17/00484/FUL,12/04/2017,FUL,Q13,Proposed detached dwelling,"2 Mayster Road
Rastrick
Brighouse
Calderdale
HD6 3PF
",29/06/2017,1,1,413500,421419,18/07/2017,1,DEL,18/07/2017,,18/05/2017,09/06/2017,11
17/00519/FUL,20/04/2017,FUL,Q15,Demolish part existing commercial building and replace with 3 light industrial/warehouse units (Mixed use development of Use Classes B1 Business and B8 Storage or distribution) (Sui Generis),"Ridings Business Park
Hopwood Lane
Halifax
Calderdale

",06/07/2017,1,1,407699,424803,06/07/2017,1,DEL,06/07/2017,,24/05/2017,16/06/2017,10
17/00529/HSE,21/04/2017,HSE,Q21,Proposed side and rear extension,"9 Edgeholme Lane
Warley
Halifax
Calderdale
HX2 7RW
",04/07/2017,1,1,405757,424982,04/07/2017,1,DEL,04/07/2017,,23/05/2017,21/06/2017,17
17/00550/HSE,27/04/2017,HSE,Q21,Demolition of existing conservatory to West elevation to facilitate single storey extension,"41 Towngate
Clifton
Brighouse
West Yorkshire
HD6 4HS
",22/06/2017,1,1,415846,423084,22/06/2017,1,DEL,22/06/2017,,12/05/2017,02/06/2017,1
16/00853/DISC1,27/04/2017,DISC1,DISC,Submission of information to Discharge Conditions on application 16/00853 - condition 2  5,"Stony Croft
Hedge Top Lane
Northowram
Halifax
Calderdale
HX3 7ER
",27/06/2017,,PCO,411467,426999,,,,,,,26/05/2017,8
16/56022/CLAS3Q,30/11/2016,CLAS3Q,,Prior approval application for a change of use from agricultural building to a dwelling (C3) and associated operational development,"Ringstone Farm Barn
Saddleworth Road
Barkisland
Sowerby Bridge
Calderdale

",01/02/2017,18,18,405116,418399,07/02/2017,18,DEL,07/02/2017,,,12/01/2017,12
17/00041/FUL,11/01/2017,FUL,Q18,"Change of Use from A2 (Financial and Professional Services) to A4 (Drinking Establishment) at ground floor level and conversion and extension to form six apartments C3 (Dwellinghouses) at first, second and third floor levels) (Amended plans and description)","Bank Chambers
2 Crown Street
Hebden Bridge
Calderdale
HX7 8EH
",16/03/2017,1,1,399237,427185,12/06/2017,1,DEL,12/06/2017,,16/02/2017,25/05/2017,2
17/00069/LBC,19/01/2017,LBC,Q23,"Repaint shopfront and roller shutter, re-cover sunblind, install new signage and internal refurbishment works.  Install an additional air conditioning unit to rear with new extract grilles and re-locate the main extract from high level to ground floor. (Listed Building Consent)","17 Woolshops
Halifax
Calderdale
HX1 1RU
",16/03/2017,3,3,409457,425235,14/03/2017,3,DEL,14/03/2017,,,14/03/2017,16
14/00974/NMA,25/01/2017,NMA,NMA,Non Material Amendment to application 14/00974 -CHANGING THE USE OF THE MEETING ROOM IN THE BARN EXTENSION TO LADIES AND GENTS TOILETS,"Roundhill Inn
75 Clough Lane
Rastrick
Brighouse
Calderdale
HD6 3QL
",15/02/2017,,PCO,413577,420627,,,,,,,,11
17/56002/CLAS3Q,19/01/2017,CLAS3Q,,Prior approval application for a change of use from agricultural building to a dwelling (C3) and associated operational development,"3 - 4 Oldroyd
Todmorden
Calderdale
OL14 6BE
",,,APPRET,394866,424060,,,,,,,,2
17/00101/FUL,31/01/2017,FUL,Q18,Removal of existing single storey temporary classroom building and replacing with a two storey temporary classroom building (Revised Scheme to 16/00833),"Todmorden C Of E Junior And Infants School
Burnley Road
Todmorden
Calderdale
OL14 7BS
",04/04/2017,8,8,393502,424499,04/04/2017,8,DEL,04/04/2017,,07/02/2017,03/03/2017,15
14/00494/NMA2,31/01/2017,NMA2,NMA,Non Material amendment to application 14/00494 - Relocation of parking area and new access.,"St Cass
1 Bunney Green
Hall Lane
Northowram
Halifax
Calderdale
HX3 7SP
",23/02/2017,NMAA,NMAA,410944,427692,28/03/2017,NMAA,,28/03/2017,,,02/03/2017,8
17/00095/FUL,27/01/2017,FUL,Q15,Single storey extension to rear and new Silo (Amended proposal),"Martin Moore Manufacturing Limited
Elland Lane
Elland
Calderdale
HX5 9DZ
",01/05/2017,1,1,411238,421249,13/04/2017,1,DEL,13/04/2017,,08/03/2017,29/03/2017,3
17/00884/TNO,13/07/2017,TNO,TNO,"Installation of 15M monopole mast, three antennas, two dishes, two equipment cabinets and electricity cabinet (Telecommunication Notification)","Land Off
Moor Hey Lane
Stainland
Elland
Calderdale

",04/09/2017,,PCO,407962,418774,,,,,,,18/08/2017,4
17/00885/COU,13/07/2017,COU,Q20,Change of use from retail (Class A1) to amusement centre (Sui Generis),"18-20 Southgate
Halifax
West Yorkshire
HX1 1DL
",15/09/2017,,PCO,409320,425100,,,,,,26/07/2017,25/08/2017,16
14/00876/DISC1,13/07/2017,DISC1,DISC,Application to discharge conditions 1-5 on application 14/00876/FUL,"Top Land Country Business Park
Cragg Road
Mytholmroyd
Hebden Bridge
Calderdale

",18/09/2017,,PCO,400949,425550,,,,,,,07/08/2017,7
16/00966/DISC1,13/07/2017,DISC1,,Application to discharge conditions 1-6 on application 16/00966/CON,"Lower Plain Farm
Plain Lane
Sowerby
Sowerby Bridge
Calderdale
HX6 1NX
",,,APPRET,403442,422710,,,,,,,,12
16/00967/DISC1,13/07/2017,DISC1,,Application to discharge conditions 1-4 on application 16/00967/HSE,"Lower Plain Farm
Plain Lane
Sowerby
Sowerby Bridge
Calderdale
HX6 1NX
",,,APPRET,403442,422710,,,,,,,,12
17/00918/HSE,24/07/2017,HSE,Q21,Construction of balcony and patio doors to upper ground floor at rear,"9A Midgley Road
Mytholmroyd
Hebden Bridge
Calderdale
HX7 5LW
",22/09/2017,,PCO,401365,426059,,,,,,03/08/2017,08/09/2017,7
17/00919/FUL,24/07/2017,FUL,Q13,Conversion of existing dwelling to form two self-contained dwellings,"15 Hepton Drive
Heptonstall
Hebden Bridge
Calderdale
HX7 7LU
",18/09/2017,,PCO,398623,427888,,,,,,31/07/2017,11/09/2017,2
17/00928/FUL,27/07/2017,FUL,,Fit drop curb approx. 6.5m long and convert garden to a drive way. this will help alleviate parking and access issues on the public high way This will at a  date enable allow charging point for electric vehicle,"3 West View
Stainland
Elland
Calderdale
HX4 9EW
",,,APPRET,408423,419811,,,,,,,,4
17/00946/HSE,02/08/2017,HSE,,Demolition of rear conservatory to facilitate single storey extension,"14 Astral Avenue
Hipperholme
Brighouse
Calderdale
HX3 8NN
",,,INV,412603,425697,,,,,,,,5
17/00947/HSE,02/08/2017,HSE,Q21,Conversion of cellar to self-contained annexe,"17 Rhodesia Avenue
Halifax
Calderdale
HX3 0PB
",10/10/2017,,PCO,409413,423350,,,,,,21/08/2017,15/09/2017,13
17/20050/TPO,27/03/2017,TPO,TPO,Prune two trees (Tree Preservation Order),"32 Mill Grove
Brighouse
Calderdale
HD6 2FA
",22/05/2017,4,4,413631,423703,15/05/2017,4,DEL,15/05/2017,,13/04/2017,05/05/2017,1
17/00505/HSE,18/04/2017,HSE,Q21,"First floor extension to side, two storey extension to front and pitched roof to existing flat roofed garage.","150 Woodhouse Lane
Brighouse
West Yorkshire
HD6 3TH
",14/06/2017,1,1,414870,421722,01/06/2017,1,DEL,01/06/2017,,05/05/2017,26/05/2017,11
17/00465/HSE,13/04/2017,HSE,Q21,Single storey side extension with roof terrace above,"29A Bradshaw Lane
Bradshaw
Halifax
West Yorkshire
HX2 9XB
",08/06/2017,1,1,408180,430506,07/06/2017,1,DEL,07/06/2017,,03/05/2017,26/05/2017,6
17/00534/VAR,24/04/2017,VAR,Q10,Variation of condition 1 on planning permission 99/00453/REM to permit increased opening hours (06:00 - 22:00 Monday to Saturday and 09:00 to 17:00 Sundays apart from the four days prior to Christmas Eve (excluding Sundays) when the premises shall only be open for customers between the hours of 06:00 to 00:00) and increased delivery hours (05:00 - 23:00 Monday to Saturday and 07:00 to 23:00 Sundays),"Morrisons
Rochdale Road
Todmorden
Calderdale
OL14 6LG
",25/07/2017,1,1,393415,423796,25/07/2017,1,COMM,26/07/2017,,,09/06/2017,15
17/00528/HSE,24/04/2017,HSE,Q21,Two storey extension and raised decking to rear,"40 Mayster Grove
Rastrick
Brighouse
West Yorkshire
HD6 3NU
",19/06/2017,1,1,413571,421571,19/06/2017,1,DEL,19/06/2017,,09/05/2017,02/06/2017,11
17/00535/HSE,24/04/2017,HSE,Q21,Two storey side and single storey rear extension,"43 Vicar Park Drive
Halifax
Calderdale
HX2 0NN
",19/06/2017,1,1,405725,425503,15/06/2017,1,DEL,15/06/2017,,10/05/2017,31/05/2017,17
16/01071/DISC1,25/04/2017,DISC1,DISC,"Discharge of conditions on planning application 16/01071  - Condition numbers 1, 2 and 3","South Lodge
Skircoat Moor Road
Halifax
Calderdale
HX3 0HF
",20/06/2017,PCOMP,PCOMP,408179,423815,07/08/2017,PCOMP,,07/08/2017,,,,13
02/01649/DEVAC,19/04/2017,DEVAC,,Submission of information for the Local Planning Authority to consider if the development is acceptable,"2 Burlees Lane
Wadsworth
Hebden Bridge
Calderdale
HX7 8PR
",14/06/2017,REPLY,REPLY,400306,427080,18/07/2017,REPLY,DEL,18/07/2017,,,,2
17/00587/HSE,08/05/2017,HSE,Q21,Two storey side extension and 'squaring off' the existing rear single storey extension,"26 Lower Clay Pits
Halifax
West Yorkshire
HX1 4QQ
",03/07/2017,11,11,407528,425692,26/07/2017,11,DEL,26/07/2017,,22/05/2017,16/06/2017,17
17/00562/HSE,02/05/2017,HSE,Q21,Formation of dormers to side elevations,"34 Daleside
Greetland
Elland
West Yorkshire
HX4 8QD
",27/06/2017,1,1,408244,421177,27/06/2017,1,DEL,27/06/2017,,16/05/2017,30/06/2017,4
17/00563/HSE,02/05/2017,HSE,Q21,First floor extension to side,"The Hawthorns
24 Pinnar Lane
Southowram
Halifax
West Yorkshire
HX3 9QT
",22/08/2017,1,1,411153,423730,17/08/2017,1,DEL,17/08/2017,,30/06/2017,21/07/2017,16
17/00255/HSE,01/03/2017,HSE,Q21,Single storey extension,"13 Westercroft Lane
Northowram
Halifax
Calderdale
HX3 7EN
",11/05/2017,1,1,411445,427075,04/05/2017,1,DEL,04/05/2017,,04/04/2017,25/04/2017,8
17/00590/HSE,09/05/2017,HSE,Q21,Single storey extension to the side and rear.,"27A Woodhouse Lane
Brighouse
West Yorkshire
HD6 3TH
",17/07/2017,1,1,414982,421748,27/06/2017,1,DEL,27/06/2017,,26/05/2017,16/06/2017,11
17/00591/HSE,09/05/2017,HSE,Q21,Detached double garage with workshop/tool store,"Harper Croft
Bradshaw Lane
Bradshaw
Halifax
Calderdale
HX2 9XB
",17/07/2017,1,1,408226,430489,23/08/2017,1,DEL,23/08/2017,,02/06/2017,19/07/2017,6
17/00592/FUL,09/05/2017,FUL,Q18,Agricultural storage and animal welfare shed and two animal field shelters,"Upper Slack Farm
2 Lumb Lane
Wainstalls
Halifax
Calderdale
HX2 7UL
",18/07/2017,1,1,404740,428683,21/07/2017,1,DEL,21/07/2017,,05/06/2017,20/07/2017,7
17/00603/OUT,10/05/2017,OUT,Q13,Residential development of three houses  (Outline),"Upper Delves
Higgin Lane
Southowram
Halifax
Calderdale
HX3 9PQ
",06/09/2017,,PCO,410364,424250,,,,,,17/07/2017,11/08/2017,16
17/30003/INF,11/05/2017,INF,,Installation of a new bouldering / climbing activity unit on the old paddling pool.,"Shibden Park
Godley Lane
Halifax
Calderdale

",01/06/2017,CLOSED,CLOSED,410746,425834,24/08/2017,CLOSED,,24/08/2017,,,,8
17/00657/FUL,23/05/2017,FUL,Q18,Condenser units to roof enclosed by safety railings and covered canopy to east elevation,"2 Co Op Shopping Parade
Denholme Gate Road
Hipperholme
Brighouse
Calderdale
HX3 8HX
",31/07/2017,1,1,412440,425570,07/08/2017,1,DEL,07/08/2017,,14/06/2017,05/07/2017,5
