Diffusion tube,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AQ21,2016,72,75,64,64,55,56,49,56,65,65,58,69
HB1,2016,67,66,64,57,52,,,,,,,
HB6,2016,50,54,59,51,41,44,36,36,38,45,59,51
HQ1,2016,75,70,71,72,57,57,63,59,54,56,73,72
HQ9,2016,60,59,57,53,46,51,42,37,45,56,64,58
LF1,2016,65,60,65,69,59,56,40,45,38,59,62,61
LF2,2016,57,56,57,52,46,42,37,28,46,44,54,52
SB1,2016,56,72,72,74,58,62,56,50,58,64,missing,70
SB3,2016,55,60,65,62,56,68,39,38,53,60,68,68
SB15,2016,52,58,59,51,43,42,43,45,46,53,65,62
SB16,2016,55,53,55,58,52,53,39,37,47,58,58,60
SB18,2016,54,48,50,43,39,37,33,29,53,44,53,44
SB20,2016,63,67,65,58,53,56,53,44,23,60,73,65
SB21,2016,41,46,36,36,35,26,21,22,36,33,43,45
SB22,2016,67,68,69,62,62,64,43,42,53,59,57,72
BS1 HB,2016,60,61,63,missing,missing,missing,39,42,40,54,53,60
