Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. ()",Total Cost of Use of Official Secure Car,Booked through
"Morrison, Mr. Paul Noble Wilson",16/11/2016,,,travel from east croydon station to conference venue,Taxis,,,,15.00,,
"Sedwill, Mr. Mark",16/11/2016,,,VIP working dinner with official external contacts,"Canteens, Lunches, Vending",,,,892.69,,
"Wilkinson, Ms. Patsy",16/11/2016,,East Croydon,External Meeting,Rail,Standard,,,11.80,,Redfern
"Williams, Mr. Glyn",16/11/2016,,,outside general transport area and closer to and from home,T&S - Overseas Expenses,,,,8.00,,
"Williams, Mr. Glyn",16/11/2016,,,event outside of work hours,T&S - Subsistence,,,,4.25,,
"Dottridge, Mr. Adrian Yme",17/11/2016,,London Victoria,External Meeting,Rail,Standard,,,5.90,,Redfern
"Eastaugh, Mr. Tony",17/11/2016,,London Heathrow,External Meeting,,,Hotel Room,,199.60,,Redfern
"Eastaugh, Mr. Tony",17/11/2016,,London Victoria,External Meeting,Rail,Standard,,,5.90,,Redfern
"Freston, Mrs. Penny",17/11/2016,,,travel from BICS meeting in Selsdon Park Hotel to East Croydon,Taxis,,,,12.00,,
"Hepple, Mr. Tyson Julian",17/11/2016,,,Taxi from Selsdon Park hotel to East Croydon station,Taxis,,,,11.35,,
"Lloyd, Ms. Myrtle",17/11/2016,,,"Taxi from railway station to home.  No suitable public transport, No Parking spaces.",Taxis,,,,8.30,,
"Lloyd, Ms. Myrtle",17/11/2016,,,BICS Away day held in Croydon.,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,3.20,,
"Lloyd, Ms. Myrtle",17/11/2016,,Chester,INTERNAL MEETING,Rail,Standard,,,138.50,,Redfern
"Lloyd, Ms. Myrtle",17/11/2016,,ZONE U1245 LONDN,INTERNAL MEETING,Rail,Standard,,,8.30,,Redfern
"Morrison, Mr. Paul Noble Wilson",17/11/2016,,,trave from east croydon to conference venu,Taxis,,,,15.00,,
"Morrison, Mr. Paul Noble Wilson",17/11/2016,,,travel from conference venue to east croydon station,Taxis,,,,15.00,,
"Williams, Mr. Glyn",17/11/2016,,,"2nd full day - venue outside of general transport, closer to and from home",T&S - Overseas Expenses,,,,8.00,,
"Williams, Ms. Wendy",17/11/2016,,Newcastle,External Meeting,Rail,Standard,,,140.00,,Redfern
"Hepple, Mr. Tyson Julian",18/11/2016,,Feltham,External Meeting,Rail,Standard,,,13.70,,Redfern
"Hills, Mr. Gareth David",18/11/2016,,HEATHROW TERM123,External Meeting,Rail,Standard,,,44.00,,Redfern
"Oppenheim, Mr. Jeremy",18/11/2016,,,special stationery products not available in any of the approved HO stationery catalogues.,T&S - Subsistence,,,,56.52,,
"Oppenheim, Mr. Jeremy",18/11/2016,,,Emergency travel from home to office (travelled to work whilst away from office ill),Taxis,,,,27.50,,
"Oppenheim, Mr. Jeremy",18/11/2016,,,emergency travel from office to home having travelled to whilst away from teh office ill.,Taxis,,,,45.10,,
"Parr, Mr. Matthew",18/11/2016,,Basingstoke,External Meeting,Rail,Standard,,,23.40,,Redfern
"Williams, Mr. Glyn",18/11/2016,,,Event in Mayfair,T&S - Overseas Expenses,,,,13.00,,
"Wren, Mr. Simon William",18/11/2016,,Bridgwater,External Meeting,Rail,Standard,,,233.00,,Redfern
"Cunningham, Mr. Michael Bernard",19/11/2016,,,External Meeting,Billback Fee,,,,0.60,,Redfern
"Oppenheim, Mr. Jeremy",19/11/2016,,,three textbooks on management related issues,T&S - Subsistence,,,,48.02,,
"Arnott, Dr. Robert Henry",21/11/2016,,,2xofficials to IFG,Taxis,,,,11.00,,
"Cunningham, Mr. Michael Bernard",21/11/2016,,,External Meeting,,,Hotel Fee ,,2.33,,Redfern
"Lamberti, Mr. David James",21/11/2016,,Stratford-Upon-Avon Station,External Meeting,Rail,Standard,,,109.00,,Redfern
"Parsons, Mr. Michael John",21/11/2016,,,CIPFA Membership,Miscellaneous,,,,310.00,,
"Williams, Ms. Wendy",21/11/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,30.90,,Redfern
"Williams, Ms. Wendy",21/11/2016,,London Euston,External Meeting,Rail,Standard,,,38.00,,Redfern
"Cunningham, Mr. Michael Bernard",22/11/2016,,London Euston,External Meeting,Rail,Standard,,,345.00,,Redfern
"Cunningham, Mr. Michael Bernard",22/11/2016,,,External Meeting,Billback Fee,,,,0.60,,Redfern
"Lloyd, Ms. Myrtle",22/11/2016,,,"Taxi from home to railway station.  No suitable public transport, No Parking spaces in car park.",Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",22/11/2016,,,Overnight stay.  Dinner bill exceeded 26.,T&S - Subsistence,,,,26.00,,
"Lloyd, Ms. Myrtle",22/11/2016,,,Tube ticket,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Lloyd, Ms. Myrtle",22/11/2016,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,560.50,,Redfern
"Morrison, Mr. Paul Noble Wilson",22/11/2016,,,cab from conference to meeting,Taxis,,,,5.00,,
"Morrison, Mr. Paul Noble Wilson",22/11/2016,,,cab between meetings,Taxis,,,,7.40,,
"Morrison, Mr. Paul Noble Wilson",22/11/2016,,,cab between meetings,Taxis,,,,10.00,,
"Morrison, Mr. Paul Noble Wilson",22/11/2016,,Manchester Piccadilly,External Meeting,Rail,Standard,,,208.20,,Redfern
"Parr, Mr. Matthew",22/11/2016,,London Marylebone,External Meeting,Rail,Standard,,,36.00,,Redfern
"Sedwill, Mr. Mark",22/11/2016,,London Victoria,External Meeting,Rail,Standard,,,4.30,,Redfern
"Sedwill, Mr. Mark",22/11/2016,,Mortlake,External Meeting,Rail,Standard,,,3.00,,Redfern
"Sedwill, Mr. Mark",22/11/2016,,Vauxhall,External Meeting,Rail,Standard,,,3.00,,Redfern
"Webb, Mr. Stephen",22/11/2016,,,Train travel from Schipol Airport to Driebergen-Zeist,T&S - Overseas Expenses,,,,9.28,,
"Webb, Mr. Stephen",22/11/2016,,,Refreshments on train,T&S - Subsistence,,,,10.58,,
"Webb, Mr. Stephen",22/11/2016,,Amsterdam,External Meeting,Air Tickets,Business,,,122.15,,Redfern
"Wells, Mr. Michael Charles",22/11/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,312.00,,Redfern
"Wilkinson, Ms. Patsy",22/11/2016,,,Dinner costs for trip to CTAF conference in Dublin,T&S - Hotels,,,,15.25,,
"Wilkinson, Ms. Patsy",22/11/2016,,Dublin,External Meeting,Air Tickets,Economy,,,135.75,,Redfern
"Wilkinson, Ms. Patsy",22/11/2016,,Dublin,External Meeting,,,Hotel (Foreign) Standard- One- Double,,99.28,,Redfern
"Hepple, Mr. Tyson Julian",23/11/2016,,Birmingham New St,External Meeting,Rail,Standard,,,81.10,,Redfern
"Lloyd, Ms. Myrtle",23/11/2016,,,"Taxi from railway station to home.  No suitable public transport, No Parking spaces in station car park.",Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",23/11/2016,,,Tube fare,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Webb, Mr. Stephen",23/11/2016,,,Train travel from Driebergen Zeist to Schiphol Airport,T&S - Overseas Expenses,,,,9.28,,
"Webb, Mr. Stephen",23/11/2016,,,This was booked through Redfern but the hotel insisted on payment on departure.,T&S - Overseas Expenses,,,,75.95,,
"Wilkinson, Ms. Patsy",23/11/2016,,,Taxi fare from London City Airport to home after CTAF Meeting in Dublin,Taxis,,,,42.00,,
"O'brien, Mr. John",23/11/2016,,,Cardiff stakeholder event,T&S - Subsistence,,,,56.25,,
"Lloyd, Ms. Myrtle",24/11/2016,,,Parking @ railway station.  No suitable public transport.  Cheaper than return taxi fare.,"T&S - Planes, Trains and Automobiles",,,,6.70,,
"Lloyd, Ms. Myrtle",24/11/2016,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,389.50,,Redfern
"Owen, Mr. Marc",24/11/2016,,,"Taxi to meeting, due to very short time gap in between meetings",Taxis,,,,18.00,,
"Parr, Mr. Matthew",24/11/2016,,London,External Meeting,,,Hotel Room,,100.83,,Redfern
"Pratt, Mr. Alan Palaic",24/11/2016,,,Travel to important meeting. Insufficient time between meetings for public transport.,Taxis,,,,12.50,,
"Wilkinson, Ms. Patsy",24/11/2016,,,"Taxi from 2 Marsham St to Globe House, Victoria to attend HMPO Viewpoint event",Taxis,,,,6.00,,
"Wilkinson, Ms. Patsy",24/11/2016,,,Taxi from Globe House to 2 Marsham St after HMPO Viewpoint event,Taxis,,,,10.00,,
"Williams, Ms. Wendy",24/11/2016,,Birmingham New St,External Meeting,Rail,Standard,,,-59.00,,Redfern
"Williams, Ms. Wendy",24/11/2016,,Birmingham New St,External Meeting,Rail,Standard,,,70.00,,Redfern
"Williams, Ms. Wendy",24/11/2016,,Newcastle,External Meeting,Rail,Standard,,,65.00,,Redfern
"Hayes, Mr. Simon Thomas",27/11/2016,,,Taxi to airport for trip with DG,Taxis,,,,42.00,,
"Hayes, Mr. Simon Thomas",27/11/2016,,,Food & drink at airport,"T&S - Planes, Trains and Automobiles",,,,27.75,,
"Hayes, Mr. Simon Thomas",27/11/2016,,Amman,External Meeting,Air Tickets,Economy,,,378.80,,Redfern
"Thomson, Mr. Mark David",27/11/2016,,,Taxi from Home to Heathrow airport,Taxis,,,,45.00,,
"Hayes, Mr. Simon Thomas",28/11/2016,,,Visa on arrival in Jordan for S Hayes and M Thomson,"T&S - Planes, Trains and Automobiles",,,,88.71,,
"Hayes, Mr. Simon Thomas",28/11/2016,,Abu Dhabi,External Meeting,Air Tickets,Economy,,,275.20,,Redfern
"Montgomery, Sir Charles Percival",28/11/2016,,,Tube from office to French General Consul in London,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.80,,
"Riach, Ms. Shona",28/11/2016,,Charlbury,,Rail,Standard,,,31.50,,Redfern
"Wilkinson, Ms. Patsy",28/11/2016,,HEATHROW TERM 5,External Meeting,Rail,Standard,,,-17.00,,Redfern
"Wilkinson, Ms. Patsy",28/11/2016,,HEATHROW TERM 5,,Rail,Standard,,,22.00,,Redfern
"Williams, Ms. Wendy",28/11/2016,,Cardiff,External Meeting,Air Tickets,Economy,,,142.35,,Redfern
"Williams, Ms. Wendy",28/11/2016,,London Paddington,External Meeting,Rail,Standard,,,36.50,,Redfern
"Cunningham, Mr. Michael Bernard",29/11/2016,,London Euston,External Meeting,Rail,Standard,,,345.00,,Redfern
"Cunningham, Mr. Michael Bernard",29/11/2016,,London Heathrow,External Meeting,,,Hotel Room,,129.60,,Redfern
"France, Mr. David Paul",29/11/2016,,,Return train journey from 2MS to Croydon from Victoria,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,11.10,,
"Hayes, Mr. Simon Thomas",29/11/2016,,,Hotel,T&S - Hotels,,,,112.88,,
"Lincoln, Mr. Paul Michael",29/11/2016,,Chelmsford,,Rail,Standard,,,15.20,,Redfern
"Lincoln, Mr. Paul Michael",29/11/2016,,London Liverpool Street,,Rail,Standard,,,24.50,,Redfern
"Lloyd, Ms. Myrtle",29/11/2016,,,Overnight stay.  Dinner bill over daily limit.,T&S - Subsistence,,,,26.00,,
"Parsons, Mr. Michael John",29/11/2016,,Salisbury,External Meeting,Rail,Standard,,,29.70,,Redfern
"Pratt, Mr. Alan Palaic",29/11/2016,,,Travel to DSTL Porton Down,T&S - Employee Reimbursed Mileage,,,,39.60,,
"Pratt, Mr. Alan Palaic",29/11/2016,,,"Return from Porton Down, avoiding M3",T&S - Employee Reimbursed Mileage,,,,49.60,,
"Riach, Ms. Shona",29/11/2016,,London Paddington,,Rail,Standard,,,31.50,,Redfern
"Sedwill, Mr. Mark",29/11/2016,,,Work travel for official visit.,T&S - Employee Reimbursed Mileage,,,,22.85,,
"Sutton, Mr. Kenneth David",29/11/2016,,London Zones 1-6,,Rail,Standard,,,17.70,,Redfern
"Wilkinson, Miss Sarah Fay",29/11/2016,,Manchester Airport,,Rail,Standard,,,9.90,,Redfern
"Wilkinson, Miss Sarah Fay",29/11/2016,,Manchester Piccadilly,,Rail,Standard,,,309.00,,Redfern
"Wilkinson, Ms. Patsy",29/11/2016,,,Taxi from Paddington station to 2 Marsham St returning from Heathrow,Taxis,,,,14.00,,
"Wilkinson, Ms. Patsy",29/11/2016,,,Taxi from 2 Marsham St to Paddington for Heathrow visit,Taxis,,,,16.00,,
"Wilkinson, Ms. Patsy",29/11/2016,,HEATHROW TERM 5,,Rail,Standard,,,22.00,,Redfern
"Wilkinson, Ms. Patsy",29/11/2016,,London Paddington,,Rail,Standard,,,7.00,,Redfern
"Hayes, Mr. Simon Thomas",30/11/2016,,,Taxi to home,Taxis,,,,17.82,,
"Hayes, Mr. Simon Thomas",30/11/2016,,,Taxi from Croydon to home,T&S - Hotels,,,,17.82,,
"Hayes, Mr. Simon Thomas",30/11/2016,,,Oyster fare,T&S - Hotels,,,,3.00,,
"Hayes, Mr. Simon Thomas",30/11/2016,,,Hotel for S Hayes & Director General in Dubai,T&S - Hotels,,,,313.91,,
"Hayes, Mr. Simon Thomas",30/11/2016,,London Gatwick,External Meeting,Air Tickets,Economy,,,653.50,,Redfern
"Hayes, Mr. Simon Thomas",30/11/2016,,London Heathrow,External Meeting,Air Tickets,Economy,,,0.00,,Redfern
"Lloyd, Ms. Myrtle",30/11/2016,,,Overnight Parking charges.,"T&S - Planes, Trains and Automobiles",,,,5.00,,
"Lloyd, Ms. Myrtle",30/11/2016,,,Petrol for hire car.,"T&S - Planes, Trains and Automobiles",,,,45.00,,
"Morrison, Mr. Paul Noble Wilson",30/11/2016,,,Heathrow Express,T&S - Overseas Expenses,Standard/Economy,,,22.00,,
"Morrison, Mr. Paul Noble Wilson",30/11/2016,,,Lunch,T&S - Subsistence,,,,8.00,,
"Morrison, Mr. Paul Noble Wilson",30/11/2016,,,dinner on  a work trip,T&S - Subsistence,,,,17.19,,
"Morrison, Mr. Paul Noble Wilson",30/11/2016,,Geneva,External Meeting,Air Tickets,Economy,,,86.51,,Redfern
"Thomson, Mr. Mark David",30/11/2016,,,Taxi from Gatwick airport to Home.,Taxis,,,,33.00,,
"Wren, Mr. Simon William",30/11/2016,,,Sheffield rail station to Vulcan Hse,Taxis,,,,6.00,,
"Wren, Mr. Simon William",30/11/2016,,,Vulcan Hse to Sheffield rail station,Taxis,,,,6.00,,
"Wren, Mr. Simon William",30/11/2016,,Sheffield,External Meeting,Rail,Standard,,,75.70,,Redfern
"France, Mr. David Paul",01/12/2016,,,Taxi from Liverpool Lime Street to DBS offices,Taxis,,,,6.00,,
"France, Mr. David Paul",01/12/2016,,Liverpool Lime Street,,Rail,Standard,,,179.00,,Redfern
"France, Mr. David Paul",01/12/2016,,London Zones 1-4,,Rail,Standard,,,12.10,,Redfern
"Hepple, Mr. Tyson Julian",01/12/2016,,HEATHROW TERM 5,,Rail,Standard,,,36.00,,Redfern
"Hills, Mr. Gareth David",01/12/2016,,Liverpool,External Meeting,,,Hotel Room,,76.33,,Redfern
"Hills, Mr. Gareth David",01/12/2016,,Liverpool Lime Street,,Rail,Standard,,,197.20,,Redfern
"Hills, Mr. Gareth David",01/12/2016,,,External Meeting,Billback Fee,,,,0.60,,Redfern
"Lloyd, Ms. Myrtle",01/12/2016,,,"Taxi from home to railway station.  No suitable public transport, No spaces in railway car park.",Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",01/12/2016,,,"Taxi from railway station to home.  No suitable public transport, No space in nearby car parks.",Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",01/12/2016,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,248.50,,Redfern
"Morrison, Mr. Paul Noble Wilson",01/12/2016,,,cheaper rate obtained than could be managed through booking system,T&S - Overseas Expenses,,,,192.50,,
"Morrison, Mr. Paul Noble Wilson",01/12/2016,,,travel from converence to airport,T&S - Overseas Expenses,,,,17.50,,
"Morrison, Mr. Paul Noble Wilson",01/12/2016,,,Receipt,T&S - Subsistence,,,,10.94,,
"Morrison, Mr. Paul Noble Wilson",01/12/2016,,,train from Gatwick to e croydon,T&S - Overseas Expenses,Standard/Economy,,,3.80,,
"Morrison, Mr. Paul Noble Wilson",01/12/2016,,London Gatwick,,Web Transaction,Premium Economy,,,64.40,,Redfern
"Morrison, Mr. Paul Noble Wilson",01/12/2016,,London Heathrow,External Meeting,Air Tickets,Economy,,,92.20,,Redfern
"Morrison, Mr. Paul Noble Wilson",01/12/2016,,London Heathrow,,Air Tickets,Economy,,,-33.60,,Redfern
"Pratt, Mr. Alan Palaic",01/12/2016,,,Lunch - conference (less than receipted amount),T&S - Subsistence,,,,4.25,,
"Pratt, Mr. Alan Palaic",01/12/2016,,,Bag and coat check at conference,Miscellaneous,,,,2.00,,
"Williams, Ms. Wendy",01/12/2016,,Newcastle,External Meeting,Rail,Standard,,,79.50,,Redfern
"O'brien, Mr. John",04/12/2016,,,Last minute travel to early Monday meeting,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,98.70,,
"O'brien, Mr. John",04/12/2016,,,Leeds meeting,T&S - Subsistence,,,,26.00,,
"Eastaugh, Mr. Tony",05/12/2016,,London Heathrow,External Meeting,,,Hotel Room,,182.60,,Redfern
"Leach, Mrs. Paula Michelle",05/12/2016,,,London,Taxis,,,,15.00,,
"Lloyd, Ms. Myrtle",05/12/2016,,,All day car Parking in Durham City Centre,"T&S - Planes, Trains and Automobiles",,,,11.50,,
"Lloyd, Ms. Myrtle",05/12/2016,,,Petrol for hire car.  Return journey from Durham in excess of 300 miles.,"T&S - Planes, Trains and Automobiles",,,,75.53,,
"O'brien, Mr. John",05/12/2016,,,Return From Leeds meeting,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,41.00,,
"Oppenheim, Mr. Jeremy",05/12/2016,,,Travel from 2MS to Hyatt Regency Hotel to attend the Consular Corps of London lunch and to give a talk on safeguarding/modern slavery,Taxis,,,,14.00,,
"Oppenheim, Mr. Jeremy",05/12/2016,,,travel from Hyatt Regency Hotel to the Home Office following aqttendance at Consular Corps of London lunch,Taxis,,,,14.96,,
"Parr, Mr. Matthew",05/12/2016,,Birmingham New St,,Rail,Standard,,,32.50,,Redfern
"Williams, Ms. Wendy",05/12/2016,,London Kings Cross,External Meeting,Rail,Standard,,,126.50,,Redfern
"Cunningham, Mr. Michael Bernard",06/12/2016,,London Euston,,Rail,Standard,,,318.00,,Redfern
"Cunningham, Mr. Michael Bernard",06/12/2016,,London Heathrow,External Meeting,,,Hotel Standard- One- King Size,,260.92,,Redfern
"Eastaugh, Mr. Tony",06/12/2016,,Manchester,External Meeting,,,Hotel Room,,49.50,,Redfern
"Eastaugh, Mr. Tony",06/12/2016,,Manchester Piccadilly,External Meeting,Rail,Standard,,,207.20,,Redfern
"Ind, Mr. Hugh Timothy",06/12/2016,,London City,External Meeting,,,Hotel Superior,,175.60,,Redfern
"Leach, Mrs. Paula Michelle",06/12/2016,,,London,Taxis,,,,13.80,,
"Lincoln, Mr. Paul Michael",06/12/2016,,,Travel from Copenhagen Airport to Hotel ahead of Institute Innovation Prog,Taxis,,,,27.66,,
"Lincoln, Mr. Paul Michael",06/12/2016,,,Travel on 6 Dec 2016 to Heathrow for Flight to Copenhagen on official business,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,27.00,,
"Lincoln, Mr. Paul Michael",06/12/2016,,Copenhagen,,Air Tickets,Economy,,,439.31,,Redfern
"Lloyd, Ms. Myrtle",06/12/2016,,,"Taxi from home to railway station. No suitable public transport, No spaces in nearby car parks.",Taxis,,,,8.00,,
"Lloyd, Ms. Myrtle",06/12/2016,,,Taxi from railway station to home.  No suitable public transport.  Slightly longer route taken to avoid traffic and roadworks.,Taxis,,,,9.00,,
"Lloyd, Ms. Myrtle",06/12/2016,,Chester,INTERNAL MEETING,Rail,Standard,,,138.50,,Redfern
"Lloyd, Ms. Myrtle",06/12/2016,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,138.50,,Redfern
"Montgomery, Sir Charles Percival",06/12/2016,,,Overnight stay in London ahead of 06:50 departure for Lille,T&S - Hotels,,,,125.00,,
"Morrison, Mr. Paul Noble Wilson",06/12/2016,,Sheffield,,Rail,Standard,,,79.50,,Redfern
"Owen, Mr. Marc",06/12/2016,,,Travel from Culture Call conference in St Paul's,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,12.10,,
"Owen, Mr. Marc",06/12/2016,,,travel to conference in St Paul's,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,3.30,,
"Sedwill, Mr. Mark",06/12/2016,,,Work travel for official visit.,T&S - Employee Reimbursed Mileage,,,,25.70,,
"Shipley, Mr. Gordon Michael",06/12/2016,,Basingstoke,External Meeting,Rail,Standard,,,39.20,,Redfern
"Wilkinson, Ms. Patsy",06/12/2016,,,Taxi from NED event at Tower of London to home,Taxis,,,,14.00,,
"Cunningham, Mr. Michael Bernard",07/12/2016,,London Euston,External Meeting,Rail,Standard,,,11.00,,Redfern
"Cunningham, Mr. Michael Bernard",07/12/2016,,London Heathrow,External Meeting,,,Hotel Standard- One- King Size,,130.46,,Redfern
"Eastaugh, Mr. Tony",07/12/2016,,London Heathrow,External Meeting,,,Hotel Room,,182.33,,Redfern
"France, Mr. David Paul",07/12/2016,,,Return trip from home to visit CC GIles York; normal place of work is London; journey by car much quicker than by rail,T&S - Employee Reimbursed Mileage,,,,44.00,,
"Lloyd, Ms. Myrtle",07/12/2016,,,Parking @ railway station - cheaper than return taxi journey.,"T&S - Planes, Trains and Automobiles",,,,6.70,,
"Lloyd, Ms. Myrtle",07/12/2016,,,Overnight stay in London.  Dinner bill exceeded daily limit.,T&S - Subsistence,,,,26.00,,
"Lloyd, Ms. Myrtle",07/12/2016,,,Tube fare.,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Lloyd, Ms. Myrtle",07/12/2016,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,223.50,,Redfern
"Montgomery, Sir Charles Percival",07/12/2016,,,Refreshment/snack during travel to France (Lille/Paris),T&S - Subsistence,,,,7.90,,
"Montgomery, Sir Charles Percival",07/12/2016,,Brussels,External Meeting,,,Hotel (Foreign) Superior- One- Double,,141.50,,Redfern
"Montgomery, Sir Charles Percival",07/12/2016,,Brussels,,Cont Rail,,,,74.27,,Redfern
"Montgomery, Sir Charles Percival",07/12/2016,,Lille Europe,,Cont Rail,Economy,,,67.00,,Redfern
"Montgomery, Sir Charles Percival",07/12/2016,,Paris,External Meeting,Cont Rail,,,,-151.32,,Redfern
"Montgomery, Sir Charles Percival",07/12/2016,,Paris,,Cont Rail,,,,164.07,,Redfern
"Montgomery, Sir Charles Percival",07/12/2016,,,MEETING WITH EXTERNAL BODIES,Cont Rail,,,,161.94,,Redfern
"Taylor, Mr. David Mclure",07/12/2016,,Durham,,Rail,Standard,,,160.85,,Redfern
"Taylor, Mr. David Mclure",07/12/2016,,Newcastle,External Meeting,,,Hotel Room,,77.60,,Redfern
"Dottridge, Mr. Adrian Yme",08/12/2016,,,Tube travel,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Dottridge, Mr. Adrian Yme",08/12/2016,,,Meal Whilst visiting team in Sheffield,T&S - Subsistence,,,,6.99,,
"Dottridge, Mr. Adrian Yme",08/12/2016,,Sheffield,External Meeting,,,Hotel Standard,,90.60,,Redfern
"Dottridge, Mr. Adrian Yme",08/12/2016,,Sheffield,External Meeting,Rail,Standard,,,189.00,,Redfern
"Lloyd, Ms. Myrtle",08/12/2016,,,Parking @ railway station - cheaper than return taxi fare,"T&S - Planes, Trains and Automobiles",,,,6.70,,
"Lloyd, Ms. Myrtle",08/12/2016,,,Tube fare.,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Montgomery, Sir Charles Percival",08/12/2016,,,Tube from St Pancreas to London Waterloo,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.40,,
"Montgomery, Sir Charles Percival",08/12/2016,,London St Pancras,,Cont Rail,Premium Economy,,,168.00,,Redfern
"O'brien, Mr. John",08/12/2016,,,External meeting travelling after,T&S - Employee Reimbursed Mileage,,,,93.60,,
"Oppenheim, Mr. Jeremy",08/12/2016,,,personal mobile used for business calls. 70% of bill claimed,Miscellaneous,,,,33.99,,
"Riach, Ms. Shona",08/12/2016,,Brussels Midi,External Meeting,Cont Rail,Standard,,,169.00,,Redfern
"Taylor, Mr. David Mclure",08/12/2016,,London Zones 1-6,External Meeting,Rail,Standard,,,17.20,,Redfern
"Williams, Ms. Wendy",08/12/2016,,Newcastle,External Meeting,Rail,Standard,,,79.50,,Redfern
"O'brien, Mr. John",08/12/2016,,,External Meeting,T&S - Subsistence,,,,30.25,,
"Dottridge, Mr. Adrian Yme",09/12/2016,,,Tube travel,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Lloyd, Ms. Myrtle",09/12/2016,,,Car parking @ Peterborough.,"T&S - Planes, Trains and Automobiles",,,,5.70,,
"Lloyd, Ms. Myrtle",09/12/2016,,,Petrol for hire car.  Return journey to Peterborough nearly 300 miles.,"T&S - Planes, Trains and Automobiles",,,,36.54,,
"Lloyd, Ms. Myrtle",09/12/2016,,,M6 Toll charge.,"T&S - Planes, Trains and Automobiles",,,,11.00,,
"O'brien, Mr. John",09/12/2016,,,External meeting travelling after,T&S - Employee Reimbursed Mileage,,,,93.60,,
"Riach, Ms. Shona",09/12/2016,,London St Pancras,External Meeting,Cont Rail,Standard,,,187.00,,Redfern
"Tribe, Mr. Lee Kelvin",09/12/2016,,,Shared taxi New Street to supplier,Taxis,,,,6.20,,
"Tribe, Mr. Lee Kelvin",09/12/2016,,Birmingham New St,External Meeting,Rail,Standard,,,81.10,,Redfern
"Arnott, Dr. Robert Henry",12/12/2016,,,ASLEF strike - no trains - only way to attend work,T&S - Hotels,,,,125.00,,
"Clarke, Mr. Richard William John",12/12/2016,,Geneva,External Meeting,Web Transaction,Economy,,,110.17,,Redfern
"Lloyd, Ms. Myrtle",12/12/2016,,,Petrol for hire car,"T&S - Planes, Trains and Automobiles",,,,21.96,,
"Montgomery, Sir Charles Percival",12/12/2016,,,Tube from Westminster to London City Airport for team Visit,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.80,,
"Montgomery, Sir Charles Percival",12/12/2016,,,Meal during travel to Netherlands for work appointment,T&S - Subsistence,,,,16.00,,
"Montgomery, Sir Charles Percival",12/12/2016,,Rotterdam,External Meeting,Air Tickets,Economy,,,309.35,,Redfern
"Riach, Ms. Shona",12/12/2016,,,Taxi from airport to hotel,Taxis,,,,13.64,,
"Riach, Ms. Shona",12/12/2016,,Amsterdam,External Meeting,,,Hotel (Foreign) Superior Suite,,96.37,,Redfern
"Tribe, Mr. Lee Kelvin",12/12/2016,,London Heathrow,External Meeting,,,Hotel Room,,113.10,,Redfern
"Williams, Ms. Wendy",12/12/2016,,London Kings Cross,External Meeting,Rail,Standard,,,126.50,,Redfern
"Cunningham, Mr. Michael Bernard",13/12/2016,,London Euston,External Meeting,Rail,Standard,,,345.00,,Redfern
"Cunningham, Mr. Michael Bernard",13/12/2016,,London Heathrow,External Meeting,,,Hotel Standard- One- King Size,,129.60,,Redfern
"Eastaugh, Mr. Tony",13/12/2016,,Sheffield,External Meeting,Rail,Standard,,,179.00,,Redfern
"Lloyd, Ms. Myrtle",13/12/2016,,,"Tube delays, took Taxi from Green Park to Victoria station to avoid being late for Board meeting.",Taxis,,,,6.80,,
"Lloyd, Ms. Myrtle",13/12/2016,,,car Parking cheaper than Taxi to station,"T&S - Planes, Trains and Automobiles",,,,6.70,,
"Lloyd, Ms. Myrtle",13/12/2016,,Chester,INTERNAL MEETING,Rail,Standard,,,139.50,,Redfern
