Ratepayer,Property Reference,Property Address,Billing Address,RV,Net Debit ,Liability Start Date
Warmco Space Heating Ltd,29284727,"Unit 15C, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL","Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1500,0,04/01/11
Warmco Space Heating Ltd,29284728,"Unit 15D, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL","Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1500,0,04/01/11
East Street Arts,69360746,"Office B4,B6 & B7 1ST Floor, Croft Myl, West Parade, Halifax              HX1 2EQ","Patrick Studios, St Marys Lane, Leeds, LS9 7EH",10500,1043.7,09/01/11
East Street Arts,69360736,"Office B15 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ","Patrick Studios, St Marys Lane, Leeds, LS9 7EH",2650,263.41,09/01/11
The Lenny Agency Ltd,29656749,"Suite 7 2ND Floor, Park View House, Woodvale Road, Brighouse            HD6 4AB",,5300,0,03/01/12
,68472121,"121 Savile Park Road, Halifax, HX1 2XH",,5900,0,11/27/12
Thornhill Estates,29228700,"Dewsbury Road, Brighouse, HD6 3QB","C/O Savills L & P Ltd, 13-15 Micklegate, York, YO1 6JH",880,0,12/17/12
Westlander Ltd,76160772,"Unit 9F, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,3400,0,05/20/13
Euro Garages Ltd,68604717,"Esso Service Station, Skircoat Road, Halifax, HX1 2QZ","Euro House, The Beehive Trading Park, Haslingden Road, Blackburn, BB1 2EE",1300,629.2,02/01/13
Gateway 2 Finance Ltd,65344771,"Unit SM4 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN","Office H M 2.11, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1650,0,09/01/12
Millhouse World Of Wood Ltd,77412729,"Unit 6 Rishworth Bsn Complex, Slitheroe Works, Oldham Road, Rishworth            HX6 4EW","Fao Suzie Greenwood, Unit 6 Rishworth Bsn Complex, Slitheroe Works, Oldham Road, Rishworth, HX6 4EW",7700,1056.06,05/31/13
Warmco Space Heating Ltd,29420726,"Unit 302 Third Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN","Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1600,0,04/01/11
Cal Management (In Administration),68168704,"Siddal Place Hotel, Oxford Lane, Siddal, Halifax             HX3 9BJ","Asset  Manager Solution Ltd, C/O 32 Kingsway House, Kingsway, Team Valley Trading Estate, Gateshead, NE11 0HW",2700,1306.8,09/30/11
,56224012,"12 Southgate, Elland, HX5 0BW",,2900,0,12/11/13
Cardtronics Uk Ltd,65224735,"Atm Site (Bankmachine) At, Haley Hill Service Station, Haley Hill, Halifax              HX3 6ED","C/O Gerald Eve Llp, 35 Kings Hill Avenue, West Malling, Kent, ME19 4DN",8300,4017.2,10/01/10
,64756745,"2ND Floor, 41A Crown Street, Halifax, HX1 1JB",,5500,0,12/18/13
Tinderwood Trust,76368708,"The Brick Shack, Midgehole Road, Hebden Bridge, HX7 7AN","F.A.O. Emily Jones, 1 Nursery Nook, Midgehole Road, Hebden Bridge, HX7 8NA",2125,211.23,11/01/12
,76256768,"The Garage, Beehive Mills, Hebble End, Hebden Bridge        HX7 6HJ",,3850,0,12/01/11
Himmat Ltd,64242757,"Office 6 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","34/36 Hanson Lane, Halifax, HX1 5NX",2200,218.68,12/01/11
Director Of Safer & Stronger Communities,65458703,"Jerusalem Farm Campsite, Jerusalem Lane, Midgley, Halifax              HX2 6XB","Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",1100,532.4,04/01/10
Mobile Broadband Network Ltd,76260702,"Wyk0171 G/R 401463 427019, Height Road, Hebden Bridge, HX7 5RA","Po Box 6079, Wolverhampton, WV1 9RA",7500,3630,04/01/12
,68640702,"Unit 5, South Street, Halifax, HX1 2EL",,3650,1766.6,11/20/11
,29092002,"2 Bridge End, Brighouse, HD6 3DH",,1825,0,05/31/13
,77690718,"Unit G, Third Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS",,780,0,01/06/14
Energetics Electricity Ltd,78384707,"Energetics Electricity Ltd, Ramsden Wood Road, Walsden, Todmorden           OL14 7UD","International House, Stanley Boulevard, Hamilton International Technol, Glasgow, G72 0BN",96,46.46,04/01/13
,64254037,"37 Stainland Road, Greetland, Halifax, HX4 8AD",,1825,0,02/01/14
,77284743,"Office 4 Premier House, Holmes Road, Sowerby Bridge, HX6 3LD",,2750,0,04/01/11
Work Life Health Ltd,64480712,"Office 4, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ","Fao Ruth Milner, Po Box 739, Halifax, HX1 9AY",1425,0,08/31/11
,68244706,"Hill Top Farm, Pepper Hill, Cock Hill Lane, Shelf                HX3 7TH",,1800,0,06/01/11
N W H Trading Ltd,64448752,"Unit B1, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",,5600,0,02/20/12
,68308210,"210 Queens Road, Halifax, HX1 4NE",,3700,0,04/01/12
Halifax Opportunities Trust,65264783,"Unit 15, Hansonlane Enterprise Centre, Halifax, HX1 5PG","Hanson Lane Enterprise Centr, Hanson Lane, Halifax, HX1 5PG",5800,57.65,11/01/13
Warmco Space Heating Ltd,56212727,"Unit 106 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY","Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1000,0,04/01/13
,69244706,"46 Wakefield Road, Hipperholme, Halifax, HX3 8AQ",,4750,0,03/03/14
Thai Corner 2 Ltd,64700018,"18 Cow Green, Halifax, HX1 1HX",,5200,0,10/21/13
,76060009,"9 Bridge Gate, Hebden Bridge, HX7 8EX",,11500,0,04/01/14
PS4 Fitness Ltd,29344012,"12 Huddersfield Road, Brighouse, HD6 1JZ",,7000,564.68,11/01/11
,68308808,"214 Queens Road, Halifax, HX1 4NE",,4550,0,03/15/12
Calderdale Mbc Land & Property Services,68252749,"22 The Colonnade, Piece Hall, Halifax, HX1 1RE","Northgate House, Northgate, Halifax, HX1 1UN",2475,0,01/02/14
,68096033,"33 Northgate, Halifax, HX1 1UR",,8100,0,04/14/14
,29048702,"10 Bethel Street, Brighouse, HD6 1JN",,7800,1132.67,06/27/12
,68144714,"Unit 9 Station Ind Estate, Old Station Road, Luddendenfoot, Halifax              HX2 6AD",,7400,835.66,08/03/12
,68308825,"Unit 1A, Queens Road Works, Queens Road, Halifax              HX1 3XY",,5400,0,04/01/12
Halifax Chiropractic Centre Ltd,64584787,"First Floor, 20 Clare Road, Halifax, HX1 2HX","20 Clare Road, Halifax, HX1 2HX",3800,1888.6,06/25/12
Alfie's Good Food Company Ltd,65616012,"12 Leeds Road, Hipperholme, Halifax, HX3 8ND",,7000,564.68,11/13/12
,68132764,"Units 9/10 Emstead Works, Old Lane, Halifax, HX3 5QN",,3850,0,12/02/12
North Of Watford Actors Agency,76500719,"Unit 21 2ND Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY","Fao Sian Murray, Treasurer, Unit 21, 2nd Floor, The Town Hall, St Georges Street, Hebden Bridge, HX7 8ET",3200,0,08/20/12
,76500722,"Unit 27 2ND Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",,3000,0,08/20/12
Life Financial Planning Ltd,76500723,"Unit 28 2ND Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY","Fao Ian Gourley, 40 Spring Grove, Hebden Bridge, HX7 8LR",1725,0,08/20/12
,64242803,"Suite 3 2ND Flr Bond Mill, The Innovation Ctr, Hopwood Lane, Halifax              HX1 5ER",,4700,0,01/01/13
Community Foundation For Calderdale,78356701,"Cornholme And, Portsmouth Old Library, 1 Parkside Road, Todmorden           OL14 8QA","The 1855 Building, 1st Floor , Southern End, Discovery Road, Halifax, HX1 2NG",1175,0,11/13/12
Greenstone Design Ltd,78400010,"10 Rochdale Road, Todmorden, OL14 5AA",,2075,0,03/01/13
,76648760,"Unit 11, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BS",,2750,0,09/01/11
Kieran Douglas Electrical Ltd,56212732,"Unit 202 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY","24a Henley Avenue, Thornhill, Dewsbury, West Yorkshire, WF12 0JP",245,0,04/01/12
Lets Away Ltd,56212738,"Unit 210 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY","Waterside 2 Cocking Steps Mill, Cocking Steps Lane, Netherton, Huddersfield, HD4 7EA",640,0,04/01/12
Warmco Space Heating Ltd,56212736,"Unit 207 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY","Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",620,0,04/01/12
,56212737,"Unit 209 2ND Flr South Side, Saddleworth Road, Elland, HX5 0RY",,800,0,04/01/12
Peter David Properties Ltd,76396735,"20 New Road, Hebden Bridge, HX7 8EF","23 George Street, Halifax, HX1 1HA",5600,0,07/26/12
,76396736,"22 New Road, Hebden Bridge, HX7 8EF",,5200,0,07/01/12
Calderdale Mbc Neighbourhood And Community Engagement Team,76500734,"Cmbc Family Services, Gf The Town Hall, St George's Street, Hebden Bridge        HX7 7BY","Fao Andrew Pitts, Westgate House, Westgate, Halifax, HX1 1PS",1775,859.1,08/20/12
,76060013,"13/15 Bridge Gate, Hebden Bridge, HX7 8EX",,8400,0,06/17/13
Coversure Insurance Services (Halifax) Ltd,77652050,"50 Wharf Street, Sowerby Bridge, HX6 2AE",,3850,0,08/18/13
,65788717,"Telecommunications Mast H3G, Site HX007 Miall St Mills, Miall Street, Halifax              HX1 4AE",,8900,0,05/13/11
,78192041,"41 Halifax Road, Todmorden, OL14 5BB",,2550,0,02/18/13
Tsb Bank Plc,78192008,"8 Halifax Road, Todmorden, OL14 5AD","C/O Cbre Corporate Outsourcing Ltd, 55 Temple Row, Birmingham, B2 5LS",9700,4694.8,04/01/13
,78152713,"Cafe Todmorden Sports Centre, Ewood Lane, Todmorden, OL14 7DF",,5400,0,06/14/13
,64288742,"Market Stall 80-81, Market Hall, Borough Market, Halifax             HX1 1DZ",,5600,0,07/01/13
Re-Con Commercials Limited,65344933,"Unit 5A White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,6300,152.46,04/01/13
,64288764,"Market Stall 124/131, Market Hall, Borough Market, Halifax             HX1 1DZ",,5000,0,06/24/13
Friarshill Ltd,68296730,"Unit 12A Washer Lane Works, Washer Lane, Halifax, HX2 7DX","C/O Jilco Ltd, 1 Spruce House, Washer Lane, Halifax, HX2 7DR",1875,907.5,04/01/13
Hebden Bridge Light Opera Society C.I.C,76108704,"Youth House, Carlton Street, Hebden Bridge, HX7 8ER","2 Spring Royd, Luddendenfoot, Halifax, HX2 6HW",3700,0,09/06/13
,77412739,"Pt First Flr Slitheroe Works, Oldham Road, Rishworth, Sowerby Bridge       HX6 4EW",,2800,0,04/01/13
,68280735,"Part Gg & Ff Prescott House, 26 Prescott Street, Halifax, HX1 2LG",,6800,438.82,07/08/11
,65284712,"New Car Wash At Tescos, Haugh Shaw Road, Halifax, HX1 3LF",,10000,3226.68,10/01/11
,29160701,"2 Church Street, Brighouse, HD6 3NF",,8300,1539.75,05/20/13
Quality Car Care (Uk) Ltd,77024782,"Unit 20/21, Asquith Bottom Mills, Sowerby Bridge, HX6 3BS",,3950,0,07/17/13
Pension Compensation (Uk) Ltd,64778779,"Office Suite D 262, Dean Clough Mills, Halifax, HX3 5AX",,1675,0,01/13/14
,77352709,"Unit 18, Mill House Works, Mill House Lane, Triangle            HX6 3LN",,1375,0,04/04/11
,64242739,"Office 42 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",,3450,0,10/01/11
,56052708,"12 Central Hall, Coronation Street, Elland, HX5 0DF",,8900,2081.99,07/16/13
,65516174,"174 King Cross Road, Halifax, HX1 3LN",,3250,0,06/01/11
,76444709,"Mount Pleasant Mill Yard, Mytholmroyd, Hebden Bridge, HX7 5NR",,470,0,09/01/11
The Art Works (Yorkshire) Cic,68526752,"Level 1- 1850 South Sec Mill, Shaw Lodge Mill, Shaw Lane, Halifax              HX3 9ET","Shaw Lodge Mills, Shaw Lane, Halifax, HX3 9ET",3100,0,04/04/11
,68472708,"Storage Yard, R/0 24 Savile Park Road, Halifax, HX1 2EN",,1850,895.4,11/04/11
R S Investments Yorkshire Ltd,65232723,"Junction Lane Ends Green, Halifax Road, Brighouse, HX3 8ER","Thornfield, Leeds Road, Hipperholme, HX3 8NH",1100,532.4,12/15/11
,68708719,"Square Road, Halifax, HX1 1QG",,3750,0,02/16/14
S Sheard & Sons Ltd,64480703,"Calder Street, West Vale, Halifax, HX4 8AQ",,9600,4771.2,02/15/14
Tutto Mio Ltd,64448758,"Weavers Arms, Burnley Road, Luddendenfoot, Halifax             HX2 6AH","40 Rainwood Avenue, Oakwood, Leeds, LS8 3DP",3600,0,06/21/11
,76508015,"15 St Georges Square, Hebden Bridge, HX7 8ET",,10500,3812.47,01/18/12
,29284731,"Unit 9 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",,4250,0,10/01/11
,56220763,"Unit C Woodman Works, South Lane, Elland, HX5 0PA",,2900,0,02/01/12
,78547702,"Unit 2, Hope Mill, Crescent Street, Todmorden           OL14 5HA",,3250,0,01/21/12
,76256763,"Unit 2D Beehive Mills, Hebble End, Hebden Bridge, HX7 6HJ",,280,0,01/01/12
Calderdale Mbc Land & Property Services,68252778,"67 Rustic, Piece Hall, Halifax, HX1 1RE","Northgate House, Northgate, Halifax, HX1 1UN",2500,0,01/15/14
,65264063,"63 Hanson Lane, Halifax, HX1 5NX",,2075,1004.3,04/01/14
,68596359,"359 Skircoat Green Road, Halifax, HX3 0RP",,3900,0,07/01/12
Towngate Brasserie Ltd,69076002,"2 Towngate, Hipperholme, Halifax, HX3 8JB",,7400,835.66,07/31/12
,29084724,"Unit 7, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",,5700,0,12/16/11
,77284742,"Office 1 Premier House, Holmes Road, Sowerby Bridge, HX6 3LD",,3450,0,02/01/11
Bcs Detailing Ltd,65516782,"Offices 3 - 5, Edward House, 217 King Cross Road, Halifax              HX1 3JL",,3750,0,06/01/12
,68949703,"Unit 1, Sandhall Green, Halifax, HX2 0BN",,5400,0,02/01/12
,64584746,"Room 4 2nd Floor, 3 Clare Road, Halifax, HX1 2HX",,5600,0,11/01/12
,76372704,"Part 1st Floor, Mount Pleasant House, Midgley Road, Mytholmroyd         HX7 5LR",,325,0,02/01/13
,65344962,"Suite H M 2.21, Holmfield Mill, Holdsworth Road, Halifax              HX3 6SN",,2125,1028.5,01/22/13
Core Distribution Ltd,65626705,"Unit 4, Victoria Park, Lightowler Road, Halifax              HX1 5ND","Unit 4, Victoria Park, Lightowler Road, Halifax, HX1 5ND",7600,980.92,02/02/12
,29052717,"Part Ground Floor, Royd House, Birds Royd Lane, Brighouse           HD6 1LQ",,2250,0,04/01/12
Niko (Int) Ltd,65164874,"Hamnett House, Gibbet Street, Halifax, HX2 0AX","Hamnett House, Gibbet Street, Halifax, HX2 0AX",5100,2468.4,04/01/13
,78076722,"Robinwood Brewery, Burnley Road, Todmorden, OL14 8EX",,6400,206.52,04/12/13
,64516711,"Windmill Court Country Hotel, Keighley Road, Halifax, HX2 8YB",,6100,2952.4,04/01/10
,29536704,"Old Pond Inn, 15 Spout House Lane, Brighouse, HD6 2PL",,10750,4119.58,06/22/13
C F K Developments (Croft Myl) Llp,69360756,"Croftmyl, Gf Office A1, West Parade, Halifax              HX1 2EQ","Unit 1 Rudgate Court, Walton, Near Wetherby, West Yorks, LS23 7BF",1500,0,01/30/13
,65936709,"Land At, Hipperholme Works, Halifax Road, Hipperholme          HX3 8BS",,8300,0,09/29/12
,56244016,"16 Victoria Road, Elland, HX5 0PU",,4300,0,07/01/13
Inter Motors Ltd,29232719,"Unit 3a, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",,6700,378.34,04/16/13
Calderdale Mbc Community Services,68252780,"3 The Colonnade, Piece Hall, Halifax, HX1 1RE","C/O Michael Devereux, Piece Hall Admin Office, Piece Hall, Halifax, HX1 1RE",2500,0,06/01/12
Homes & Communities Agency,65364703,"Crown Works, Hopwood Lane, Halifax, HX1 5HW","Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",2225,0,04/01/12
Homes & Communities Agency,69144709,"2ND Floor, 25B Union Street, Halifax, HX1 1PR","Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",1550,0,04/01/12
,78192815,"First Floor, 48C Halifax Road, Todmorden, OL14 5QG",,1500,0,09/30/11
,68772021,"1 Green Lane, Greetland, Halifax, HX4 8AB",,4900,0,08/01/11
Fabulous Stuff & Nonsense Ltd,29080033,"33 Bradford Road, Brighouse, HD6 1RW","11 Wellington Arcade, Brighouse, HD6 1DN",11750,5687,08/15/12
,29456700,"5 Park Row, Brighouse, HD6 1AB",,7600,980.92,08/15/12
,65516196,"196 King Cross Road, Halifax, HX1 3JP",,11500,5101.74,12/03/13
,65164303,"303 Gibbet Street, Halifax, HX1 4JX",,2300,0,07/27/13
,76408701,"New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",,1950,0,04/01/13
,65164881,"520 Gibbet Street, Halifax, HX2 0AH",,4550,0,04/23/12
Blackshaw Holdings Ltd,29056720,"Unit 32 Birkby House, Birkby Lane, Brighouse, HD6 4JJ","St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1350,0,09/18/12
,77444006,"6 Regent Parade, Wharf Street, Sowerby Bridge, HX6 2EH",,5800,0,09/01/12
HX1 Window Supplies Ltd,65752709,"Unit 7, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW","30 Mill Lane, Mixenden, Halifax, HX2 8SE",7900,1210.78,09/07/12
,76056011,"11 Bridge End, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5DR",,1375,0,01/01/13
,64344722,"Unit 64 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",,4950,0,01/01/13
,56212757,"Unit 4D Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",,2450,0,04/01/12
,77600022,"22 Town Hall Street, Sowerby Bridge, HX6 2EA",,2500,0,12/21/12
,65344892,"Unit S M 5.3, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",,2500,0,03/01/13
,68526755,"Offices G1/G2 Shaw Lodge Hse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",,3300,0,06/01/12
Hall Way Partners Limited,76500731,"Unit 20 2ND Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY","3 Stanleigh Croft, Fairfield, Hebden Bridge, HX7 6HP",2025,0,08/20/12
,65600705,"1904 @ Dean Clough, 36 Lee Bridge, Halifax, HX3 5AT",,5500,0,10/08/12
,65808750,"Unit 18, Mill Lane, Boothtown, Halifax              HX3 6TR",,1700,0,04/01/13
Nhs Property Services Ltd,29150001,"Health Centre, Chapel Croft, Brighouse, HD6 3NA","C/O Gl Hearn Management Ltd, Po Box 1610, Southampton, SO15 3WX",9000,4356,04/01/13
J & M Estates Ltd,76088007,"7 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,2600,0,03/01/13
Town Hall Dental Ltd,29576712,"Ground Floor Room 3A, Old Town Hall, Thornton Square, Brighouse            HD6 1ED","Thornton Square, Brighouse, HD6 1ED",750,363,11/05/12
,68308773,"Unit 3/4 Queens Road Works, Queens Road, Halifax, HX1 3XX",,11500,5101.74,10/11/12
,78416713,"Unit 3, 10A Nanholme Mill, Shaw Wood Road, Todmorden           OL14 6DA",,1750,0,10/01/12
Homes & Communities Agency,65520716,"6 King Cross Street, Halifax, HX1 2SH","Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",5200,0,04/01/13
,64236724,"Unit A The Shed, Eastfield Mills, Belmont Street, Halifax              HX3 6AT",,4050,0,01/01/14
,77632714,"Unit 1A, Hillas Industrial Estate, Walker Lane, Sowerby Bridge       HX6 2AR",,3850,0,03/19/15
,29092705,"Star Inn, 29 Bridge End, Brighouse, HD6 3DN",,6400,206.52,01/19/15
Beowulf Performance Products Ltd,68392754,"The Long Mill Lower Gf, Rochdale Road, Greetland, Halifax              HX4 8AL",,9300,2475.93,04/01/14
,77632707,"Unit 6, Hillas Industrial Estate, Walker Lane, Sowerby Bridge       HX6 2AR",,3200,0,03/02/15
Central Deli Continental Shop Ltd,78400024,"24 Rochdale Road, Todmorden, OL14 7LD",,5600,0,05/10/15
,77412741,"Pt Gd Pt 1ST Slitheroe Works, Oldham Road, Rishworth, Sowerby Bridge       HX6 4EW",,6800,438.82,05/01/15
,64436032,"32 Bull Green, Halifax, HX1 5AB",,7800,1132.67,11/01/14
Vocation Brewery Ltd,76400732,"Unit 8A Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,11000,4436.65,02/01/15
Dean Clough Ltd,64784746,"Office Suite LG39, Dean Clough Industrial Park, Halifax, HX1 1XG","Office Suite E345, Dean Clough, Halifax, HX3 5AX",1350,0,09/18/15
Holmfield Cast Stone Ltd,65344968,"Unit 1, Old Elegant Stone Works, Holdsworth Road, Holmfield            HX2 9TN",,11750,5452.52,09/01/15
Saturn Services (Uk) Ltd,65344824,"Unit 8A White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN","217 Long Lane, Wheatley, Halifax, HX2 0UZ",870,0,07/01/13
,64812711,"16 Holme Buildings, Denholmegate Road, Hipperholme, Halifax              HX3 8LJ",,2550,0,06/24/13
Dean Clough Ltd,65784843,"Office Suite E323, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",5200,0,10/01/15
Golden Monkeys Ltd,78160700,"Golden Lion Hotel, Fielden Square, Todmorden, OL14 6LZ","21 Hyde Park Road, Leeds, LS6 1PY",10250,0,03/01/15
,65716005,"5 Luddenden Lane, Luddendenfoot, Halifax, HX2 6NH",,1150,0,12/01/15
,68164712,"Unit 3 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",,4600,0,01/17/15
,76648757,"Unit 1, Holby Business Park, West Street, Sowerby Bridge       HX6 3BT",,7600,980.92,10/01/15
,76468704,"Unit 7, Orchard Business Park, Scout Road, Mytholmroyd          HX7 5HZ",,2800,0,12/01/15
,64652004,"4 Coleridge Street, Halifax, HX1 2JF",,7000,3479,12/11/15
,69304024,"24 Waterhouse Street, Halifax, HX1 1UQ",,3050,0,08/04/15
Datora Limited,64788847,"Office Suite D 261, Dean Clough Mills, Halifax, HX3 5AX","Office Suites D256 & D261, Dean Clough Mills, Halifax, HX3 5AX",6600,319.44,10/26/15
Happydays Ministries Uk,64242830,"Office 3 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","Office 3 Ground Floor, The Ew Innovation Centre, Hopwood Lane, Halifax, HX1 5ER",5400,536.76,11/01/15
,78076072,"72 Burnley Road, Todmorden, OL14 5HX",,6500,0,12/21/15
,29232707,"Units C & D, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",,6400,0,04/01/15
J C Health & Fitness Ltd,56028722,"Fitness Fast, Burley Street Works, Burley Street, Elland               HX5 0AQ","Fitness Fast, Burley Street Works, Burley Street, Elland, HX5 0AQ",11750,5452.52,01/01/16
Idsc Limited,68772733,"Travellers Rest, 83 Stainland Road, Greetland, Halifax             HX4 8BD","F.A.O. Mr Ian Conlon, Clough House, Elland Road, Ripponden, Sowerby Bridge, HX6 4HW",10500,5082,08/19/15
,65232755,"Unit 4A, Lrp Business Park, Halifax Road, Hipperholme          HX3 8ER",,9400,4549.6,07/01/15
,76024701,"Bankfoot House, Bankfoot, Hebden Bridge, HX7 6BS",,2600,1292.2,08/05/15
,76500761,"Unit 12 First Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",,2050,0,08/17/15
Bizspace Ltd,64628717,"Unit 10, Calderdale Business Park, Club Lane, Ovenden             HX2 8AX","Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",7700,3826.9,09/01/15
,64040749,"Unit 3 Moorlea Garage, Albert Road, Halifax, HX2 0DF",,4800,0,08/28/15
,64016002,"2 Abbey Walk South, Halifax, HX3 0AP",,3750,0,10/01/15
,65424042,"42 Illingworth Road, Illingworth, Halifax, HX2 9EN",,2800,0,07/01/15
Blakes Social Club Ltd,29080042,"42 Bradford Road, Brighouse, HD6 1RY",,9300,2475.93,07/06/15
High Spec Metal Spinning Ltd,56220723,"Unit 3, Woodman Works, South Lane, Elland               HX5 0PA",,7400,835.66,05/01/15
,69420004,"4 Wheatley Lane, Lee Mount, Halifax, HX3 5EU",,2950,0,09/05/13
,65020730,"Highline Auto, Unit 12 Fairlea Mill, Ellen Holme Lane, Luddendenfoot        HX2 6EP",,5100,0,11/01/14
Andy Thornton Ltd,56132865,"Old Pattern Shop, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE","F A O Mr J Penford, Rosemount, Huddersfield Road, Elland, HX5 0EE",8200,3968.8,02/01/16
James Robinson Fibres Ltd,56032001,"1 Catherine Street, Elland, HX5 0EZ","Millersdale Close, Euroway Industrial Estate, Bradford, BD4 6SG",7200,0,03/07/16
Blackbird Bar & Kitchen Ltd,78508023,"23 Water Street, Todmorden, OL14 5AB","20 Stone Mere Avenue, Todmorden, OL14 5RW",5000,0,10/23/14
,76372713,"Mount Pleasant House, Midgley Road, Mytholmroyd, Hebden Bridge        HX7 5LR",,370,0,05/01/15
Elland Car Sales Ltd,56032709,"Unit 4B, Catherine Street, Elland, HX5 0EZ",,3200,0,01/27/16
Maramar Holdings Ltd,64242782,"Unit 10, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT","Mile Thorn Works, Gibbet Street, Halifax, HX1 4JR",3150,1565.55,06/13/15
,65344987,"Unit 1.08, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",,430,0,06/19/15
Hebden Bridge Community Association,76500736,"Unit 16 1ST Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY","Hebden Bridge Town Hall, St George's Street, Hebden Bridge, HX7 7BY",1125,0,09/04/15
Liberty Flights Retail (North West) Limited,78508706,"29 Water Street, Todmorden, OL14 5AB","8-9 Arkwright Court, Commercial Street, Darwen, Lancashire, BB3 0FG",3550,1718.2,10/01/15
,65264810,"129 Hanson Lane, Halifax, HX1 4SD",,1525,0,11/05/15
,64448741,"Unit B4, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",,3750,0,07/18/14
,68160702,"232 Ovenden Way, Ovenden, Halifax, HX3 5NU",,3250,0,02/10/16
,56028723,"Unit 1A, Burley Street Works, Burley Street, Elland               HX5 0AQ",,6600,319.44,01/01/16
,76180701,"Church Street, Mytholmroyd, Hebden Bridge, HX7 5DS",,840,406.56,04/01/15
Circuit Electrical Testing Ltd,69360766,"Office 6 Lower Gf, Croft Myl, West Parade, Halifax              HX1 2EQ","Fountain Chambers, Fountain Street, Halifax, HX1 1LW",850,0,10/01/15
Northlight Studios Ltd,56196757,"Unit 6 First Floor, Wellington Mills, Quebec Street, Elland               HX5 9AS",,7600,980.92,08/18/15
Ploughcroft Ltd,65232707,"Whitehall Chambers, Halifax Road, Hipperholme, Halifax             HX3 8EN",,7400,835.66,09/02/15
,65068715,"Office 2 Unit 3, Farrar Mill Yard, Farrar Mill Lane, Halifax              HX3 9EU",,1325,641.3,09/01/15
