Id,Title,Author,Abstract,DOI,Kw,qry-heter,qry-n,qry-ieee-1,qry-ieee-2,qry-ieee-3
,Daios: Efficient Dynamic Web Service Invocation,P. Leitner; F. Rosenberg; S. Dustdar,"Systems based on the service-oriented architecture (SOA) paradigm must be able to bind to arbitrary Web services at runtime. However, current service frameworks are predominantly used through precompiled service-access components, which are invariably hard-wired to a specific service provider. The Dynamic and Asynchronous Invocation of Services framework is a message-based service framework that supports SOA implementation, allowing dynamic invocation of SOAP/WSDL-based and RESTful services. It abstracts from the target service's internals, decoupling clients from the services they use.",10.1109/MIC.2009.57,service-oriented architecture;Web services;WSDL;REST;dynamic invocation;Web Services Description Language;Representational State Transfer; Web services;Service oriented architecture;Runtime;Java;Computer architecture;Quality of service;Message service;Simple object access protocol;Abstracts;Encoding; software architecture;Web services;XML; Daios;dynamic Web service invocation;service-oriented architecture;precompiled service-access components;asynchronous invocation;SOAP;RESTful services;WSDL,,1,1,,
,Revising WSDL Documents: Why and How,M. Crasso; J. M. Rodriguez; A. Zunino; M. Campo,"Although Web service technologies promote reuse, Web Services Description Language (WSDL) documents that are supposed to describe the API that services offer often fail to do so properly. Therefore, finding services, understanding what they do, and reusing them are challenging tasks. The authors describe the most common errors they've found in real WSDL documents, explain how these errors impact service discovery, and present some guidelines for revising them.",10.1109/MIC.2010.81,Web services publishing;Web services modeling;services discovery process and methodology;Web Services Description Language;WSDL; Web services;Documentation;XML;Guidelines;Search engines;Contracts;Access protocols;Publishing;Blogs;Service oriented architecture; application program interfaces;document handling;Web services;XML; WSDL documents;Web service technology;Web services description language;API;service discovery;XML,,1,1,,
,Evolution of web services in EOSDIS — Search and order metadata registry (ECHO),A. Mitchell; H. Ramapriyan; D. Lowe,"During 2005 through 2008, NASA defined and implemented a major evolutionary change in the earth observing system data and information system (EOSDIS) to modernize its capabilities. This implementation was based on a vision for 2015 developed during 2005. The ?EOSDIS 2015 Vision? emphasizes increased end-to-end data system efficiency and operability; increased data usability; improved support for end users; and decreased operations costs. One key feature of the evolution plan was achieving higher operational maturity (ingest, reconciliation, search and order, performance, error handling) for the NASA's Earth Observing System Clearinghouse (ECHO). The ECHO system is an operational metadata registry through which the scientific community can easily discover and exchange NASA's Earth science data and services. ECHO contains metadata for 2, 726 data collections comprising over 87 million individual data granules and 34 million browse images, consisting of NASA's EOSDIS Data Centers' and the United States Geological Survey's Landsat Project holdings. ECHO stores metadata from a variety of science disciplines and domains, including climate variability and change, carbon cycle and ecosystems, earth surface and interior, atmospheric composition, weather, and water and energy cycle. ECHO provides a platform for the publication, discovery, understanding and access to NASA's Earth observation resources (data, service and clients). In their native state, these data, service and client resources are not necessarily targeted for use beyond their original mission. However, with the proper interoperability mechanisms, users of these resources can expand their value, by accessing, combining and applying them in unforeseen ways. ECHO provides access to its capabilities through a set of services. These ECHO applications program interfaces (APIs) are based on industry standards for performing Web-based computing, specifically Web services profile.",10.1109/IGARSS.2009.5417653,Earth Science;ECHO;EOS;EOSDIS;Web Services;metadata;WSDL;SOA;SOAP; Web services;Geoscience;NASA;Information systems;Data systems;Usability;Costs;Earth Observing System;Geology;Satellites; application program interfaces;geology;geophysics computing;meta data;Web services; Web service;EOSDIS;metadata registry;earth observing system data and information system;Earth Observing System Clearinghouse;ECHO system;interoperability mechanism;application program interface;API,,1,1,,
,Compose Real Web Services with Context,"Luo, S and Xu, B and Sun, K","Web service composition is to integrate existing web services to provide a compound service which satisfies specified requirement. However, traditional web service compositions fail to provide different compound services under various scenarios. In this paper, we propose an approach to compose services with context. A context ontology is defined to describe the scenario for user. An abstract service description is defined to describe current three kinds of services including WSDL/Restful/Web API. The goal is to correlate context and service composition to improve the quality of the compound service from real services. © 2010 IEEE.",10.1109/ICWS.2010.63,; Context;Ontologies;Compounds;Measurement;Time factors;Simple object access protocol; ontologies (artificial intelligence);software architecture;Web services; Web service composition;context ontology;abstract service description;WSDL;Restful;Web API,,1,1,,
,"A Multi-protocol Bioinformatics Web Service: Use SOAP, Take a REST or Go with HTML",M. Pagni; J. Hau; H. Stockinger,"Web services are fundamental building blocks for Service Oriented Architectures and Grid computing that are applied in many scientific domains such as bioinformatics. We have designed and implemented a multi-protocol and multifunctional Web service that supports today's most important industry standards. We show an actual implementation of a bioinformatics database application: HitKeeper, that is now enhanced by programmable Web services interfaces as well as HTML-form based Web access. In this way, a wide range of biologists and bioinformaticians are addressed. We also satisfy an important recent requirement in the e-science community.",10.1109/CCGRID.2008.28,Web services;SOAP;REST;bioinformatics; Bioinformatics;Web services;Simple object access protocol;HTML;Service oriented architecture;Grid computing;Computer languages;Software tools;Packaging;Java; biology computing;grid computing;hypermedia markup languages;Web services; multiprotocol bioinformatics;SOAP;REST;HTML;service-oriented architectures;grid computing;bioinformatics database application;HitKeeper;programmable Web services interfaces;e-science,,1,1,,
,Providing Interoperability for Resource Access Using Web Services,"Lim, N and Majumdar, S and Nandy, B","This paper focuses on resource virtualization and interoperability required in the context of large distributed environments such as clouds and grids in which shared resources located on multiple sites are accessed by multiple users. A resource is exposed as a Web service. Techniques for handling two types of resources, a computing resource and a database resource are described. Two different Web service technologies, one based on SOAP and the other on REST are experimented with. A comparison of the two technologies including a performance comparison of two implementations (one using SOAP-based Web services and the other using RESTful Web services) of a computing system exposed as a Web service is presented. © 2010 IEEE.",10.1109/CNSR.2010.23,SOAP;REST;RESTful Web services;Web 2.0;Web services.; Web services;Resource virtualization;Simple object access protocol;Clouds;Bandwidth;Collaboration;User interfaces;Application software;Service oriented architecture;Civil engineering; grid computing;open systems;resource allocation;software architecture;virtual machines;Web services; interoperability;resource access;Web services;resource virtualization;large distributed environments;cloud environment;grid environment;computing resource;database resource;SOAP technology;REST technology;service oriented architecture;representational state transfer,,1,1,,
,Service-Oriented Multi-tenancy (SO-MT): Enabling Multi-tenancy for Existing Service Composition Engines with Docker,"Nikol, G and Trager, M and Harrer, S and Wirtz, G","In Web Services-based SOAs, BPEL 2.0 is the choice for defining services by composing existing ones. BPEL-based services can be directly executed on BPEL engines. With the rise of the cloud, companies aim to outsource service hosting to cloud providers. To achieve economies of scale, a cloud provider must host such services with minimal resources and keep the services from different tenants isolated. But BPEL engines typically do not support multi-tenancy. As a result, a vendor either has to extend the engine himself or host every service on its own (virtual) machine, thereby using either costly development or computing resources. Our approach solves this problem by hosting each service in its own isolated and minimal container which exposes the management functionality through APIs enabling complex multi-tenancy features or horizontal scaling on top. We aim to implement this by a) leveraging Docker container to isolate the services from each other, b) removing unused software from the container, c) starting the BPEL engine with minimal resources, and d) extracting management functionality while keeping management APIs. Our case study with Apache ODE shows that we can save significant runtime resources with only minor development effort. While this approach helps in moving SOAs into the cloud, it can also be leveraged to build resource efficient BPEL-based microservices cheaper. © 2016 IEEE.",10.1109/SOSE.2016.40,container;isolation;Docker;multi-tenancy; Runtime;Containers;Engines;Java;Cloud computing;Linux; cloud computing;service-oriented architecture;virtual machines;Web services;Web Services Business Process Execution Language; service-oriented multitenancy;SO-MT;service composition engines;Web services-based SOA;BPEL 2.0;BPEL-based services;BPEL engines;cloud providers;economies of scale;virtual machine;computing resources;management functionality;Docker container;Apache ODE;runtime resources;service-oriented architecture;Business Process Execution Language,,1,1,,
,RESTful Web Service integration using Android platform,"Bohara, M H and Mishra, M and Chaudhary, S","Internet is providing the platform for accessing different kinds of services in a distributed and heterogeneous environment. Software components are available on Internet in the form of Web Services. Service Oriented Architecture (SOA) possesses various characteristics by executing Web Services using Simple Object Access Protocol (SOAP). SOAP has certain limitations such as tightly coupled invocation, performance in terms of response data, non-uniform interface and no hyperlink support. These limitations can be resolved by implementing principles of Representational State Transformation (REST). REST is an architectural style implemented by resources known as RESTful Web Services. At present, light-weight RESTful services are dominating the development of services due to simplicity of RESTful architecture. Service access and invocation is simple in RESTful framework as it uses Uniform Resource Identifier (URIs) and Hyperlinks. In this paper, we explore the idea of RESTful Service Mashup by integrating individual Web Services which can satisfy end users' requirements. For this work, we propose a recursive algorithm. The implementation work is on Android 2.2 (froyo), API level 8 and above. It is supported on most of Android based mobile devices. © 2013 IEEE.",10.1109/ICCCNT.2013.6726550,REST;SOA;Service Composition;Service Mashups; Mashups;Agriculture;Service-oriented architecture;Simple object access protocol;Servers;Google; Android (operating system);mobile computing;service-oriented architecture;Web services; RESTful Web service integration;android platform;Internet;distributed environment;software components;service oriented architecture;SOA;simple object access protocol;SOAP;non uniform interface;hyperlink support;representational state transformation;REST;uniform resource identifier;URI;Hyperlinks;Android 2.2 froyo;Android based mobile devices,,1,1,,
,Multi-agent Based Semantic E-government Web Service Architecture Using Extended WSDL,M. A. Usman; M. Nadeem; M. Z. Ali Ansari; S. Raza,"The paramount of e-government is seamless integration of services across organizational boundaries. This requires interoperation of heterogeneous services for which Web services are being used currently. However there are several limitations of Web services. Due to the absence of some important characteristics Web services cannot overcome these limitations. Therefore to eliminate them the paper presents an architecture that augments Web services with multi-agent technology and uses OWLS (Web ontology language for services) for semantic description, thus paving the path for seamless integration of government services. The paper also discusses the implementation of the proposed architecture and a critical evaluation which resulted in the identification of reasons behind slow adoption of semantic Web services. In addition to this a solution is proposed that is believed to increase the adoption rate due to its simplicity. The solution recommends extending WSDL (Web service description language) to represent semantic information",10.1109/WI-IATW.2006.92,; Electronic government;Web services;Service oriented architecture;Semantic Web;OWL;Intelligent agent;Electronic mail;Paper technology;Simple object access protocol;Scalability; government data processing;Internet;multi-agent systems;specification languages; multi-agent system;semantic e-government Web service architecture;heterogeneous services;Web ontology language;semantic description;semantic information,,1,1,,
,Quo vadis interface definition languages? Towards a interface definition language for RESTful services,"Mangler, J and Schikuta, E and Witzany, C","Current web-service description languages like WSDL are very powerful and many topics, like how to describe the composition of web-services, have received much attention by the scientific community. With the rise of RESTful web-services, resources come to the focus of service developers, with the need to transfer many well understood problems to a new paradigm. RESTful services up to now are most commonly described in a natural language, and there is no good interface description language, as WSDL (2.0) is clumsy to use and WADL lacks features and widespread use. In this paper we want to analyze common interface description languages, their properties and shortcomings and we introduce RIDDL, a flexible and extensible service description language to cover description and composition. ©2009 IEEE.",10.1109/SOCA.2009.5410459,; XML;Simple object access protocol;Natural languages;Representational state transfer;Computer science;Visualization;Skeleton;Automatic testing;Contracts;Service oriented architecture; Web services;XML; interface definition languages;RESTful Web services;natural language;WSDL;RIDDL;extensible service description language,,1,1,,
,OWL-S based autonomic services for grid computing,N. Jabisetti; Y. Lee,"Recent advances in the distributed computing infrastructure like Web, grid, and pervasive computing environment accompany demands for a more powerful and autonomous service framework. We believe it is feasible to achieve service discovery and matching in an automated manner and perform the service execution not in restricted environments. For the purpose, we developed an autonomous service framework, called ASF, which allows autonomous service to be published, discovered and executed in distributed environments based on the autonomous service specification, extension of the Web service ontology (OWL-S) to incorporate physical/logical resources and resource policy.",10.1109/ICWS.2005.89,; Grid computing;Web services;Distributed computing;Ontologies;Pervasive computing;Service oriented architecture;Computer architecture;Power engineering computing;Power engineering and energy;Cities and towns; Internet;grid computing;ubiquitous computing;formal specification;ontologies (artificial intelligence); OWL-S based autonomic service;grid computing;distributed computing;pervasive computing;autonomous service specification;Web service ontology;physical resource;logical resource;resource policy,,1,1,,
,A Preliminary Practice for BPEL Based Multimedia Conference Web Services Orchestration,C. Bo; G. Jie; C. Junliang; L. Xiangtao,"Inspired by the success of Web Service technologies for the development and deployment of IT services, the telecommunications R&amp;D community starts adapting and developing similar service delivery platforms, making use of existing basic services as building blocks to orchestrate new value-added complex services in a rapid and flexible way to catch the fast and dynamic changing market. In this paper, we have a preliminary practice for business process execution language based multimedia conference Web services orchestration, which can enable the top-down realization of service oriented architecture through coordination of multimedia conference communication Web services, and emphasis on the solution for the Parlay API specification based enhanced communication Web service accessibility, the BPEL based multimedia conference Web services process orchestration and the related key problems in multimedia conference scenarios. And finally, we also give conclusions and future research works.",10.1109/AICT.2008.81,BPEL;Telecom Web services;orchestration; Web services;IP networks;Research and development;Multimedia communication;Telecommunication services;Laboratories;Telecommunication switching;Business communication;Service oriented architecture;Communication industry; application program interfaces;business process re-engineering;multimedia communication;Web services; BPEL;Web services orchestration;business process execution language;service oriented architecture;multimedia conference communication;Parlay API specification,,1,1,,
,Tutorial 4: Web Services on Rails: Using Ruby and Rails for Web Services Development and Mashups,E. M. Maximilien; E. M. Maximilien,"One of the interesting aspects of the Web 2.0 'evolution' is the wide-availability of various Web applications as APIs or Web services. These APIs expose informational services on the Web and take many form of remote invocation of functions using standard Web protocols and XML for data representations, e.g., REST, SOAP/WSDL, XML-RPC, and other approaches. The services (or APIs) are also usually accompanied by user facing Web applications for human-consumption. Canonical examples are Google Maps, Yahoo! Flykr and del.icio.us, EVDB's Eventful's application and API, Amazon.com's S3, ECS, Alexa, and many others. The Ruby programming language and its Rails framework are ideal for programming Web applications and services in the Web 2.0. Ruby's modern and dynamic features make it an excellent language for rapid prototyping and integration of various Web services. Rails' superb support for rapid Web application development, database access, and AJAX, make it well suited for creating front-ends and back-ends to the next generation of Web applications and services. In this tutorial we will take a hands-on deep-dive into the Ruby and Rails platform and learn how they can be used to: (1) create Web applications backed by a relational database, (2) consume Web services, (3) create and deploy APIs or Web services, and (4) mashup of existing Web services and applications. No a priori knowledge of Ruby or Rails is required - although some programming in a modern OO language and Web application development are definite plus",10.1109/ICWS.2006.139,; ; application program interfaces;high level languages;Web services; Web services;Web protocols;XML;Ruby programming language;Rails framework;API,,1,1,1,1
,Access control management of the cloud service platform,K. Chung; C. Keum,"One of the design goals of the Cloud Service Platform was to help application developers to create their applications easier by providing reusable service components in the form of web services, such as, RESTful web services or web services based on SOAP. The Cloud Service Platform is designed to target to the communication and collaboration domain so that it provides service components having functionalities such as Email, short messaging, file cloud, third-party call, wiki, and etc. Therefore application developers can utilize these service functionalities by requesting the resources using HTTP methods outside the Cloud Service Platform (CSP). Therefore, the access to service components plugged into the CSP should be managed and the authorization process for the requesting applications is needed. We specify the relationship between applications and service components using service key, which is the unique identifier for an application and a service component. In addition, we define additional HTTP headers for authorization of the requesting application and utilize these headers for access control to service components. In this paper, we introduce the Cloud Service Platform and describe the mechanism of the access control management for service components on the Cloud Service Platform.",10.1109/ICTC.2014.6983231,Access Control;Service Component;Servlet Filter;Service Platform; Authorization;Servers;Service-oriented architecture;Semantics;Collaboration; authorisation;cloud computing;hypermedia;software reusability;Web services; access control management;cloud service platform;application developers;reusable service components;RESTful Web services;SOAP;email;short messaging;file cloud;third-party call;wiki;HTTP methods;CSP;authorization process;service key;HTTP headers,,1,1,,
,Towards Semantic Web Services: An empirical evaluation of service ontology generation tools,Sowmya Kamath S.; Ananthanarayana V.S.,"Web services are currently the most popular way of achieving service orientation for enterprise systems over the Web. Ontologies like OWL-S and WSMO have been defined as part of the semantic Web initiative to add semantics to service descriptions. The shift from mainly using the syntactic description of a web service, WSDL, to also providing a semantic description is fundamental to the effort of incorporating semantics in various service lifecycle tasks like service discovery, matchmaking and composition. With a few tools available for manual and semi-automated mapping of WSDL to OWL-S, choosing the best tool becomes a difficult choice to make. In this paper, a comprehensive comparative evaluation of some mapping tools currently available is presented and their performance is analyzed based on different parameters in order to assist service developers in choosing the right tool. The tools considered for the evaluation presented here are WSDL2OWL-S, Mindswap OWL-S API and OWL-S Editor.",10.1109/INDICON.2015.7443777,web services;ontology generation;ontological engineering;automated tools; Ontologies;Web services;OWL;Semantics;Grounding;Standards; knowledge representation languages;ontologies (artificial intelligence);semantic Web;Web services; semantic Web services;service ontology generation tools;WSDL2OWL-S;Mindswap OWL-S API;OWL-S Editor;Web Service Description Language;Web Ontology Language for Services,,1,1,,
,SAPS: Semantic AtomPub-Based Services,"Lanthaler, M and Gütl, C","The utopian promise of a uniform service landscape in the form of SOAP, WSDL, and UDDI made by service-oriented architectures (SOA) built on Web services has proven elusive. Instead more and more prominent Web service providers opted to expose their services based on the REST architectural style. Nevertheless there are still problems on formal describing, finding, and orchestrating Restful services. While there are already a number of different approaches, none so far has managed to break out of its academic confines. Thus, we propose a novel approach to build Semantic Restful Services based on proven technologies. The combination of those proven technologies leads to scalable and loosely coupled systems and has the additional advantage, that developers are already familiar with its functioning. © 2011 IEEE.",10.1109/SAINT.2011.73,Semantic Web;Web services;REST;Web 3.0;SAPS;Atom;OpenSearch;Internet;SOA; Semantics;XML;Web services;Protocols;Feeds;Ontologies;Contracts; service-oriented architecture;Web services; SAPS;semantic AtomPub-based service;uniform service landscape;SOAP;WSDL;UDDI;service oriented architecture;Web service;semantic RESTful service,,1,1,,
,SA-REST and (S)mashups : Adding Semantics to RESTful Services,"Lathem, J and Gomadam, K and Sheth, A P","The evolution of the Web 2.0 phenomenon has led to the increase d adoption of the RESTful services paradigm. RESTful services often take the form of RSS/Atom feeds and AJAX based light weight services. The XML based messaging paradigm of RESTful services has made it possible to compose various services together. Such compositions of RESTful services is widely referred to as Mashups. In this paper, we outline the limitations in current approaches to creating mashups. We address these limitations by proposing a framework called as SA-REST. SA-REST adds semantics to RESTful services. Our proposed framework builds upon the original ideas in WSDL-S, our W3C submission, which was subsequently adapted for Semantic Annotation of WSDL (SAWSDL), now a W3C proposed recommendation. We demonstrate use of microformats for semantic annotation of RESTful services and then the use of such semantically enabled services with better support for interoperability for creating dynamic mashups called SMashups. © 2007 IEEE.",10.1109/ICSC.2007.94,; Mashups;Computer science;Feeds;XML;Web services;Information filtering;Information filters;Standards development;Mediation;Scalability; Web services; SA-REST;Web 2.0;RESTful services paradigm;RSS/Atom feeds;AJAX based light weight services;XML based messaging paradigm;WSDL-S;WSDL semantic annotation,,1,1,,
,Improving dynamic Web service selection in WS-BPEL using SPARQL,N. Paiva Tizzo; J. Manuel Adán Coello; E. Cardozo,"The dynamic selection of Web services must be able to adapt to a changing environment as services are permanently inserted, removed and modified. However, most composition languages do not support such dynamic selection, or support it in a restrict sense, as in WS-BPEL. In this work we employ available technologies, especially the WS-BPEL and SPARQL languages, in order to develop a model for the dynamic selection of Web services. In this model the user expresses the service requirements in the form of a query that will be resolved at runtime. This guarantees the adaption of the system - in a changing environment - without requiring to refactor the entire composition. The restrictions of such a system are listed. An implementation of the model and a case study are reported as well.",10.1109/ICSMC.2011.6083760,Dynamic Web service selection;Service composition;Semantic Web services;SPARQL;WS-BPEL; Resource description framework;Web services;Servers;XML;Protocols;Blogs; service-oriented architecture;specification languages;Web services; dynamic Web service selection;WS-BPEL;composition languages;SPARQL languages;service requirements,,1,1,,
,Using geodata and geoprocessing web services in embedded device,D. Zhang; B. Xie; H. Chen; Y. Lv; L. Yu,"Using XML web services in embedded system could be able to use the existing geodata and geoprocessing services through wired/wireless network. However, the processing and memory limitations of embedded devices exacerbate the problem in the area of complexity, constraints, and the verbosity of the protocols used in XML web services effect the usability of XML. This paper presents a GPS navigation system, which accesses OGC-compliant geodata and geoprocessing services using gSOAP toolkit. This system composes of hardware platform, embedded operation system and software system. Our experimental result shows gSOAP could provides transparent SOAP API allows embedded system using XML web services.",10.1109/ICETC.2010.5529252,XML web service;embedded device;gSOAP;OGC-compliant services; Web services;XML;Embedded system;Wireless networks;Access protocols;Usability;Global Positioning System;Navigation;Hardware;Software systems; embedded systems;geography;Global Positioning System;Web services;XML; geoprocessing Web services;embedded device;XML Web services;embedded system;geodata services;geoprocessing services;GPS navigation system;OGC-compliant geodata;gSOAP toolkit;SOAP API,,1,1,,
,Role-Centric RESTful Services Description and Composition for E-Business Applications,"Yu, H and Zhu, C and Cai, H and Xu, B","Currently there are increasing interests in using REST architecture style to implement business process. However, the importance of role is not emphasized. In fact role is critical to determine the RESTful services description and to control the services composition. This paper presents a role-centric RESTful services description and composition mechanism to implement business process. Firstly a resource meta-model is proposed, and then process and role are formally defined, RESTful services description is then generated based on role and BPEL is extended by introducing the concept of role to control the access to resources. A case study is also given to illustrate the approach and the desirable features of the approach are discussed. © 2009 IEEE.",10.1109/ICEBE.2009.23,RESTful Services;Role;Resource Meta-model;Business Process;BPEL; Service oriented architecture;Application software;Educational institutions;Computer architecture;Web services;Representational state transfer;Web sites;Automatic control; authorisation;business data processing;specification languages;Web services; role-centric RESTful service description;role-centric RESTful service composition;e-business application;resource meta-model;BPEL;access control,,1,1,,
,A RESTful approach: clean UPnP without SOAP,J. Newmarch,"UPnP is middleware designed for network ""plug and play"". It uses technologies developed specifically for UPnP but also borrows technologies such as SOAP from Web services for remote procedure calls. SOAP has been criticised as inappropriate for Web systems and this paper shows that these criticisms are equally applicable for UPnP. It shows how mechanisms built on REST principles can produce smaller, faster and simpler UPnP systems.",10.1109/CCNC.2005.1405157,; Simple object access protocol;Web services;Middleware;XML;Computer networks;Plugs;Home automation;Network servers;Java;World Wide Web; middleware;Internet;telecommunication services;protocols; RESTful approach;UPnP;SOAP;middleware;plug and play;Web service;network protocol,,1,1,,
,SA-REST: Semantically Interoperable and Easier-to-Use Services and Mashups,"Sheth, A P and Gomadam, K and Lathem, J","Services based on the representational state transfer (REST) paradigm, a lightweight implementation of a service-oriented architecture, have found even greater success than their heavyweight siblings, which are based on the Web Services Description Language (WSDL) and SOAP. By using XML-based messaging, RESTful services can bring together discrete data from different services to create meaningful data sets; mashups such as these are extremely popular today. © 2007 IEEE.",10.1109/MIC.2007.133,semantics and services;mashups;Web services; Mashups;Web services;Ontologies;Semantic Web;XML;Web pages;Service oriented architecture;Simple object access protocol;Information filtering;Information filters; message passing;open systems;Web services;XML; SA-REST;services based on representational state transfer;interoperability;easier- to-use services;mashups;service-oriented architecture;XML-based messaging,,1,1,,
,On the Performance of Web Services and Google Cloud Messaging,G. Albertengo; F. G. Debele; W. Hassan; D. Stramandino,"Smartphones and other connected devices rely on data services, such as web services (WS) and Google Cloud Messaging (GCM), to share the information they collect or use. Traditionally, these services were classified according to their efficiency or their delivery time, but, when dealing with battery operated devices, another important parameter is the power consumption. In this paper, we present the results from a test on GCM and two types of WS, namely SOAP-based and RESTful WS. In these tests, we experimentally collected time, efficiency, and power consumption figures for all services. The final outcome is that RESTful WS outperforms all other communication techniques in terms of one-way delay, round trip time, data consumption, packet overhead and battery duration.",10.1109/CIT.2017.66,web services;google cloud messaging;rest;soap; Simple object access protocol;Payloads;Conferences;Information technology;Delays; cloud computing;mobile computing;smart phones;Web services; power consumption figures;RESTful WS;data consumption;web services;connected devices;data services;Google Cloud Messaging;GCM;delivery time;battery operated devices;smartphones;SOAP-based WS,,1,1,,
,Service Security Revisited,P. L. Gorski; L. L. Iacono; H. V. Nguyen; D. B. Torkian,"Developing contemporary software architectures requires the consideration and adoption of the Service-oriented Architecture (SOA) principles. Distributed applications are a very common domain in which SOA guides design decisions in particular. For a long time, SOAP and its related stack of standards have been the only technological choice for implementing SOA-based systems. With the increased adoption of the REST concept, an alternative to SOAP is gaining traction. Security considerations have been part of the SOAP-based standardization work since the very beginning. As a result, a mature and comprehensive set of security-related standards is available for building SOAP-based service systems. REST-ful service systems, however, cannot take advantage of such a fully developed security framework yet. This paper therefore revisits the SOAP-based web services security stack in order to identify commonalities, differences and gaps in the security available for REST-ful services. From these findings a desired REST-ful web services security stack is proposed together with related research, development and standardization challenges.",10.1109/SCC.2014.68,SOA;Services;SOAP;REST;Security; XML;Standards;Simple object access protocol;Encryption; security of data;service-oriented architecture;Web services; SOA principles;service-oriented architecture;REST-ful Web services security stack;SOAP-based Web services security stack;service security,,1,1,,
,QoS-Driven Adaptation of BPEL Scenario Execution,K. Christos; C. Vassilakis; E. Rouvas; P. Georgiadis,"BPEL/WSBPEL is the predominant approach for combining individual Web services into integrated business processes, allowing for the specification of their sequence, control flow and data exchanges. BPEL however does not include mechanisms for considering the invoked servicespsila Quality of Service (QoS) parameters and thus BPEL scenarios can neither tailor their execution to the individual userpsilas needs or adapt to the highly dynamic environment of the WEB, where new services may be deployed, old ones withdrawn or existing ones changing their QoS parameters. Moreover, infrastructure failures in the distributed environment of the Web introduce an additional source of failures that must be considered in the context of QoS-aware service execution. In this work we propose a framework for addressing the issues identified above; the framework allows the users to specify the QoS parameters that they require and it undertakes the task of locating and invoking suitable services. Finally, the proposed framework intercepts and resolves faults occurring during service invocation, respecting the QoS restrictions specified by the consumer.",10.1109/ICWS.2009.80,Web services;BPEL;Adaptive execution;Performance Evaliation; Web services;Quality of service;Context-aware services;Informatics;Logic design;Runtime;Computer science;Telecommunication control;Communication industry;Communication standards; business data processing;electronic data interchange;quality of service;Web services; QoS-driven adaptation;quality-of-service;BPEL scenario execution;business process execution language;Web service;data exchange;distributed environment,,1,1,,
,An Ontology-Based Resource-Oriented Information Supported Framework towards RESTful Service Generation and Invocation,"Zhang, W and Jiang, L and Cai, H","Compare with SOAP-based service that based on interfaces access pattern, RESTful web service is HTTP-based and use resource as the operation object. On the purpose of supporting RESTful in the enterprise information application, a Resource-oriented Information Supported Framework is constructed based on ontology construction and evolution. First, the initial ontology with relational pattern is extracted from the enterprise legacy databases. Users can generate the domain ontology through the evolution of initial ontology led by enterprise elements. And then evolve domain ontology to resource model according to the virtual resource in enterprise. Finally user can describe the resources based on resource model to meet the REST Web Service. In order to support the dynamic, flexible, and scalable enterprise application, the framework also provides a semantic reference for RESTful service invocation. The prototype system has been developed now in order to implement the application, which includes a semantic uniform view in complex data environments of enterprise so as to build an information environment for RESTful services execution. Considering there are an increasing research and application tendency in the field of resource-oriented approach, the Ontology-based Resource-oriented Information Supported Framework provides a semantic-level enterprise information base not only for heterogeneous data integration but also for RESTful services application. © 2010 IEEE.",10.1109/SOSE.2010.59,RESTful Service;ontology evolution;Heterogeneous Data Integration;Architecture; Ontologies;Web services;Databases;Data mining;Engines;Semantics;Business; business communication;data integrity;distributed databases;feature extraction;ontologies (artificial intelligence);Web services; ontology based resource oriented information supported framework;SOAP based service;interfaces access pattern;RESTful Web service;enterprise information application;enterprise legacy database;RESTful service execution;heterogeneous data integration,,1,1,,
,Designing a restful question bank service in cloud,S. Hu; I. Chen; Yaw-Ling Lin,"Online question bank systems play a critical role in evaluating learners' achievement. For easy sharing and reusing, there is a standard for encoding question banks' pedagogical contents and presentational format. However, access interfaces to most online question banks are proprietary, such that the offered contents are available to limited users only and difficult to utilize and circulate. SOAP-based Web service to some extent solves the openness issue by conforming to existing standards. To enrich contents of question banks and facilitate sharing them among educators, it is of great importance to build easy-accessible as well as open question banks. This article proposes a method for designing a question bank in cloud according to the representational state transfer architectural style. Accordingly, the question bank can allows instructors and students using various devices to access online assessment resources under various learning circumstances.",10.1109/ICMT.2011.6001944,e-learning;online question bank;cloud computing;SaaS;Restful Web services; Simple object access protocol;Cloud computing;Java;Computer architecture;Software;XML; access protocols;cloud computing;computer aided instruction;design engineering;Web services; restful question bank service design;cloud computing;online question bank systems;learner achievement evaluation;question bank pedagogical contents;question bank presentational format;access interfaces;SOAP-based Web service;representational state transfer architectural style;online assessment resources;simple object access protocol,,1,1,,
