Accomodation/Meals,Booked through,Class of travel,Destination,Duration of Visit (Days),Mode of transport,Name,Other (including hospitality given),Purpose of trip,Start date of trip,Total Cost of Use of Official Secure Car,"Total cost, including all visas, accommodation, travel, meals etc. ()"
,Redfern,Standard,London Victoria,,Rail,"Eastaugh, Mr. Tony",,External Meeting,17/11/2016,,5.9
,,,,,Taxis,"Freston, Mrs. Penny",,travel from BICS meeting in Selsdon Park Hotel to East Croydon,17/11/2016,,12
,,,,,Taxis,"Hepple, Mr. Tyson Julian",,Taxi from Selsdon Park hotel to East Croydon station,17/11/2016,,11.35
,,,,,Taxis,"Lloyd, Ms. Myrtle",,"Taxi from railway station to home.  No suitable public transport, No Parking spaces.",17/11/2016,,8.3
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,BICS Away day held in Croydon.,17/11/2016,,3.2
,Redfern,Standard,Chester,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,17/11/2016,,138.5
,Redfern,Standard,ZONE U1245 LONDN,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,17/11/2016,,8.3
,,,,,Taxis,"Morrison, Mr. Paul Noble Wilson",,trave from east croydon to conference venu,17/11/2016,,15
,,,,,Taxis,"Morrison, Mr. Paul Noble Wilson",,travel from conference venue to east croydon station,17/11/2016,,15
,,,,,T&S - Overseas Expenses,"Williams, Mr. Glyn",,"2nd full day - venue outside of general transport, closer to and from home",17/11/2016,,8
,Redfern,Standard,Newcastle,,Rail,"Williams, Ms. Wendy",,External Meeting,17/11/2016,,140
,Redfern,Standard,Feltham,,Rail,"Hepple, Mr. Tyson Julian",,External Meeting,18/11/2016,,13.7
,Redfern,Standard,HEATHROW TERM123,,Rail,"Hills, Mr. Gareth David",,External Meeting,18/11/2016,,44
,,,,,T&S - Subsistence,"Oppenheim, Mr. Jeremy",,special stationery products not available in any of the approved HO stationery catalogues.,18/11/2016,,56.52
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,Emergency travel from home to office (travelled to work whilst away from office ill),18/11/2016,,27.5
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,emergency travel from office to home having travelled to whilst away from teh office ill.,18/11/2016,,45.1
,Redfern,Standard,Basingstoke,,Rail,"Parr, Mr. Matthew",,External Meeting,18/11/2016,,23.4
,,,,,T&S - Overseas Expenses,"Williams, Mr. Glyn",,Event in Mayfair,18/11/2016,,13
,Redfern,Standard,Bridgwater,,Rail,"Wren, Mr. Simon William",,External Meeting,18/11/2016,,233
,Redfern,,,,Billback Fee,"Cunningham, Mr. Michael Bernard",,External Meeting,19/11/2016,,0.6
,,,,,T&S - Subsistence,"Oppenheim, Mr. Jeremy",,three textbooks on management related issues,19/11/2016,,48.02
,,,,,Taxis,"Arnott, Dr. Robert Henry",,2xofficials to IFG,21/11/2016,,11
Hotel Fee,Redfern,,,,,"Cunningham, Mr. Michael Bernard",,External Meeting,21/11/2016,,2.33
,Redfern,Standard,Stratford-Upon-Avon Station,,Rail,"Lamberti, Mr. David James",,External Meeting,21/11/2016,,109
,,,,,Miscellaneous,"Parsons, Mr. Michael John",,CIPFA Membership,21/11/2016,,310
,Redfern,Standard,Liverpool Lime Street,,Rail,"Williams, Ms. Wendy",,External Meeting,21/11/2016,,30.9
,Redfern,Standard,London Euston,,Rail,"Williams, Ms. Wendy",,External Meeting,21/11/2016,,38
,Redfern,Standard,London Euston,,Rail,"Cunningham, Mr. Michael Bernard",,External Meeting,22/11/2016,,345
,Redfern,,,,Billback Fee,"Cunningham, Mr. Michael Bernard",,External Meeting,22/11/2016,,0.6
,,,,,Taxis,"Lloyd, Ms. Myrtle",,"Taxi from home to railway station.  No suitable public transport, No Parking spaces in car park.",22/11/2016,,7.7
,,,,,T&S - Subsistence,"Lloyd, Ms. Myrtle",,Overnight stay.  Dinner bill exceeded 26.,22/11/2016,,26
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Tube ticket,22/11/2016,,2.4
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,22/11/2016,,560.5
,,,,,Taxis,"Morrison, Mr. Paul Noble Wilson",,cab from conference to meeting,22/11/2016,,5
,,,,,Taxis,"Morrison, Mr. Paul Noble Wilson",,cab between meetings,22/11/2016,,7.4
,,,,,Taxis,"Morrison, Mr. Paul Noble Wilson",,cab between meetings,22/11/2016,,10
,Redfern,Standard,Manchester Piccadilly,,Rail,"Morrison, Mr. Paul Noble Wilson",,External Meeting,22/11/2016,,208.2
,Redfern,Standard,London Marylebone,,Rail,"Parr, Mr. Matthew",,External Meeting,22/11/2016,,36
,Redfern,Standard,London Victoria,,Rail,"Sedwill, Mr. Mark",,External Meeting,22/11/2016,,4.3
,Redfern,Standard,Mortlake,,Rail,"Sedwill, Mr. Mark",,External Meeting,22/11/2016,,3
,Redfern,Standard,Vauxhall,,Rail,"Sedwill, Mr. Mark",,External Meeting,22/11/2016,,3
,,,,,T&S - Overseas Expenses,"Webb, Mr. Stephen",,Train travel from Schipol Airport to Driebergen-Zeist,22/11/2016,,9.28
,,,,,T&S - Subsistence,"Webb, Mr. Stephen",,Refreshments on train,22/11/2016,,10.58
,Redfern,Business,Amsterdam,,Air Tickets,"Webb, Mr. Stephen",,External Meeting,22/11/2016,,122.15
,Redfern,Standard,Liverpool Lime Street,,Rail,"Wells, Mr. Michael Charles",,External Meeting,22/11/2016,,312
,,,,,T&S - Hotels,"Wilkinson, Ms. Patsy",,Dinner costs for trip to CTAF conference in Dublin,22/11/2016,,15.25
,Redfern,Economy,Dublin,,Air Tickets,"Wilkinson, Ms. Patsy",,External Meeting,22/11/2016,,135.75
Hotel (Foreign) Standard- One- Double,Redfern,,Dublin,,,"Wilkinson, Ms. Patsy",,External Meeting,22/11/2016,,99.28
,Redfern,Standard,Birmingham New St,,Rail,"Hepple, Mr. Tyson Julian",,External Meeting,23/11/2016,,81.1
,,,,,Taxis,"Lloyd, Ms. Myrtle",,"Taxi from railway station to home.  No suitable public transport, No Parking spaces in station car park.",23/11/2016,,7.7
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Tube fare,23/11/2016,,2.4
,,,,,T&S - Overseas Expenses,"Webb, Mr. Stephen",,Train travel from Driebergen Zeist to Schiphol Airport,23/11/2016,,9.28
,,,,,T&S - Overseas Expenses,"Webb, Mr. Stephen",,This was booked through Redfern but the hotel insisted on payment on departure.,23/11/2016,,75.95
,,,,,Taxis,"Wilkinson, Ms. Patsy",,Taxi fare from London City Airport to home after CTAF Meeting in Dublin,23/11/2016,,42
,,,,,T&S - Subsistence,"O'brien, Mr. John",,Cardiff stakeholder event,23/11/2016,,56.25
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Parking @ railway station.  No suitable public transport.  Cheaper than return taxi fare.,24/11/2016,,6.7
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,24/11/2016,,389.5
,,,,,Taxis,"Owen, Mr. Marc",,"Taxi to meeting, due to very short time gap in between meetings",24/11/2016,,18
Hotel Room,Redfern,,London,,,"Parr, Mr. Matthew",,External Meeting,24/11/2016,,100.83
,,,,,Taxis,"Pratt, Mr. Alan Palaic",,Travel to important meeting. Insufficient time between meetings for public transport.,24/11/2016,,12.5
,,,,,Taxis,"Wilkinson, Ms. Patsy",,"Taxi from 2 Marsham St to Globe House, Victoria to attend HMPO Viewpoint event",24/11/2016,,6
,,,,,Taxis,"Wilkinson, Ms. Patsy",,Taxi from Globe House to 2 Marsham St after HMPO Viewpoint event,24/11/2016,,10
,Redfern,Standard,Birmingham New St,,Rail,"Williams, Ms. Wendy",,External Meeting,24/11/2016,,-59
,Redfern,Standard,Birmingham New St,,Rail,"Williams, Ms. Wendy",,External Meeting,24/11/2016,,70
,Redfern,Standard,Newcastle,,Rail,"Williams, Ms. Wendy",,External Meeting,24/11/2016,,65
,,,,,Taxis,"Hayes, Mr. Simon Thomas",,Taxi to airport for trip with DG,27/11/2016,,42
,,,,,"T&S - Planes, Trains and Automobiles","Hayes, Mr. Simon Thomas",,Food & drink at airport,27/11/2016,,27.75
,Redfern,Economy,Amman,,Air Tickets,"Hayes, Mr. Simon Thomas",,External Meeting,27/11/2016,,378.8
,,,,,Taxis,"Thomson, Mr. Mark David",,Taxi from Home to Heathrow airport,27/11/2016,,45
,,,,,"T&S - Planes, Trains and Automobiles","Hayes, Mr. Simon Thomas",,Visa on arrival in Jordan for S Hayes and M Thomson,28/11/2016,,88.71
,Redfern,Economy,Abu Dhabi,,Air Tickets,"Hayes, Mr. Simon Thomas",,External Meeting,28/11/2016,,275.2
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Montgomery, Sir Charles Percival",,Tube from office to French General Consul in London,28/11/2016,,4.8
,Redfern,Standard,Charlbury,,Rail,"Riach, Ms. Shona",,,28/11/2016,,31.5
,Redfern,Standard,HEATHROW TERM 5,,Rail,"Wilkinson, Ms. Patsy",,External Meeting,28/11/2016,,-17
,Redfern,Standard,HEATHROW TERM 5,,Rail,"Wilkinson, Ms. Patsy",,,28/11/2016,,22
,Redfern,Economy,Cardiff,,Air Tickets,"Williams, Ms. Wendy",,External Meeting,28/11/2016,,142.35
,Redfern,Standard,London Paddington,,Rail,"Williams, Ms. Wendy",,External Meeting,28/11/2016,,36.5
,Redfern,Standard,London Euston,,Rail,"Cunningham, Mr. Michael Bernard",,External Meeting,29/11/2016,,345
Hotel Room,Redfern,,London Heathrow,,,"Cunningham, Mr. Michael Bernard",,External Meeting,29/11/2016,,129.6
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","France, Mr. David Paul",,Return train journey from 2MS to Croydon from Victoria,29/11/2016,,11.1
,,,,,T&S - Hotels,"Hayes, Mr. Simon Thomas",,Hotel,29/11/2016,,112.88
,Redfern,Standard,Chelmsford,,Rail,"Lincoln, Mr. Paul Michael",,,29/11/2016,,15.2
,Redfern,Standard,London Liverpool Street,,Rail,"Lincoln, Mr. Paul Michael",,,29/11/2016,,24.5
,,,,,T&S - Subsistence,"Lloyd, Ms. Myrtle",,Overnight stay.  Dinner bill over daily limit.,29/11/2016,,26
,Redfern,Standard,Salisbury,,Rail,"Parsons, Mr. Michael John",,External Meeting,29/11/2016,,29.7
,,,,,T&S - Employee Reimbursed Mileage,"Pratt, Mr. Alan Palaic",,Travel to DSTL Porton Down,29/11/2016,,39.6
,,,,,T&S - Employee Reimbursed Mileage,"Pratt, Mr. Alan Palaic",,"Return from Porton Down, avoiding M3",29/11/2016,,49.6
,Redfern,Standard,London Paddington,,Rail,"Riach, Ms. Shona",,,29/11/2016,,31.5
,,,,,T&S - Employee Reimbursed Mileage,"Sedwill, Mr. Mark",,Work travel for official visit.,29/11/2016,,22.85
,Redfern,Standard,London Zones 1-6,,Rail,"Sutton, Mr. Kenneth David",,,29/11/2016,,17.7
,Redfern,Standard,Manchester Airport,,Rail,"Wilkinson, Miss Sarah Fay",,,29/11/2016,,9.9
,Redfern,Standard,Manchester Piccadilly,,Rail,"Wilkinson, Miss Sarah Fay",,,29/11/2016,,309
,,,,,Taxis,"Wilkinson, Ms. Patsy",,Taxi from Paddington station to 2 Marsham St returning from Heathrow,29/11/2016,,14
,,,,,Taxis,"Wilkinson, Ms. Patsy",,Taxi from 2 Marsham St to Paddington for Heathrow visit,29/11/2016,,16
,Redfern,Standard,HEATHROW TERM 5,,Rail,"Wilkinson, Ms. Patsy",,,29/11/2016,,22
,Redfern,Standard,London Paddington,,Rail,"Wilkinson, Ms. Patsy",,,29/11/2016,,7
,,,,,Taxis,"Hayes, Mr. Simon Thomas",,Taxi to home,30/11/2016,,17.82
,,,,,T&S - Hotels,"Hayes, Mr. Simon Thomas",,Taxi from Croydon to home,30/11/2016,,17.82
,,,,,T&S - Hotels,"Hayes, Mr. Simon Thomas",,Oyster fare,30/11/2016,,3
,,,,,T&S - Hotels,"Hayes, Mr. Simon Thomas",,Hotel for S Hayes & Director General in Dubai,30/11/2016,,313.91
,Redfern,Economy,London Gatwick,,Air Tickets,"Hayes, Mr. Simon Thomas",,External Meeting,30/11/2016,,653.5
,Redfern,Economy,London Heathrow,,Air Tickets,"Hayes, Mr. Simon Thomas",,External Meeting,30/11/2016,,0
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Overnight Parking charges.,30/11/2016,,5
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Petrol for hire car.,30/11/2016,,45
,,Standard/Economy,,,T&S - Overseas Expenses,"Morrison, Mr. Paul Noble Wilson",,Heathrow Express,30/11/2016,,22
,,,,,T&S - Subsistence,"Morrison, Mr. Paul Noble Wilson",,Lunch,30/11/2016,,8
,,,,,T&S - Subsistence,"Morrison, Mr. Paul Noble Wilson",,dinner on  a work trip,30/11/2016,,17.19
,Redfern,Economy,Geneva,,Air Tickets,"Morrison, Mr. Paul Noble Wilson",,External Meeting,30/11/2016,,86.51
,,,,,Taxis,"Thomson, Mr. Mark David",,Taxi from Gatwick airport to Home.,30/11/2016,,33
,,,,,Taxis,"Wren, Mr. Simon William",,Sheffield rail station to Vulcan Hse,30/11/2016,,6
,,,,,Taxis,"Wren, Mr. Simon William",,Vulcan Hse to Sheffield rail station,30/11/2016,,6
,Redfern,Standard,Sheffield,,Rail,"Wren, Mr. Simon William",,External Meeting,30/11/2016,,75.7
,,,,,Taxis,"France, Mr. David Paul",,Taxi from Liverpool Lime Street to DBS offices,01/12/2016,,6
,Redfern,Standard,Liverpool Lime Street,,Rail,"France, Mr. David Paul",,,01/12/2016,,179
,Redfern,Standard,London Zones 1-4,,Rail,"France, Mr. David Paul",,,01/12/2016,,12.1
,Redfern,Standard,HEATHROW TERM 5,,Rail,"Hepple, Mr. Tyson Julian",,,01/12/2016,,36
Hotel Room,Redfern,,Liverpool,,,"Hills, Mr. Gareth David",,External Meeting,01/12/2016,,76.33
,Redfern,Standard,Liverpool Lime Street,,Rail,"Hills, Mr. Gareth David",,,01/12/2016,,197.2
,Redfern,,,,Billback Fee,"Hills, Mr. Gareth David",,External Meeting,01/12/2016,,0.6
,,,,,Taxis,"Lloyd, Ms. Myrtle",,"Taxi from home to railway station.  No suitable public transport, No spaces in railway car park.",01/12/2016,,7.7
,,,,,Taxis,"Lloyd, Ms. Myrtle",,"Taxi from railway station to home.  No suitable public transport, No space in nearby car parks.",01/12/2016,,7.7
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,01/12/2016,,248.5
,,,,,T&S - Overseas Expenses,"Morrison, Mr. Paul Noble Wilson",,cheaper rate obtained than could be managed through booking system,01/12/2016,,192.5
,,,,,T&S - Overseas Expenses,"Morrison, Mr. Paul Noble Wilson",,travel from converence to airport,01/12/2016,,17.5
,,,,,T&S - Subsistence,"Morrison, Mr. Paul Noble Wilson",,Receipt,01/12/2016,,10.94
,,Standard/Economy,,,T&S - Overseas Expenses,"Morrison, Mr. Paul Noble Wilson",,train from Gatwick to e croydon,01/12/2016,,3.8
,Redfern,Premium Economy,London Gatwick,,Web Transaction,"Morrison, Mr. Paul Noble Wilson",,,01/12/2016,,64.4
,Redfern,Economy,London Heathrow,,Air Tickets,"Morrison, Mr. Paul Noble Wilson",,External Meeting,01/12/2016,,92.2
,Redfern,Economy,London Heathrow,,Air Tickets,"Morrison, Mr. Paul Noble Wilson",,,01/12/2016,,-33.6
,,,,,T&S - Subsistence,"Pratt, Mr. Alan Palaic",,Lunch - conference (less than receipted amount),01/12/2016,,4.25
,,,,,Miscellaneous,"Pratt, Mr. Alan Palaic",,Bag and coat check at conference,01/12/2016,,2
,Redfern,Standard,Newcastle,,Rail,"Williams, Ms. Wendy",,External Meeting,01/12/2016,,79.5
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","O'brien, Mr. John",,Last minute travel to early Monday meeting,04/12/2016,,98.7
,,,,,T&S - Subsistence,"O'brien, Mr. John",,Leeds meeting,04/12/2016,,26
Hotel Room,Redfern,,London Heathrow,,,"Eastaugh, Mr. Tony",,External Meeting,05/12/2016,,182.6
,,,,,Taxis,"Leach, Mrs. Paula Michelle",,London,05/12/2016,,15
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,All day car Parking in Durham City Centre,05/12/2016,,11.5
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Petrol for hire car.  Return journey from Durham in excess of 300 miles.,05/12/2016,,75.53
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","O'brien, Mr. John",,Return From Leeds meeting,05/12/2016,,41
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,Travel from 2MS to Hyatt Regency Hotel to attend the Consular Corps of London lunch and to give a talk on safeguarding/modern slavery,05/12/2016,,14
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,travel from Hyatt Regency Hotel to the Home Office following aqttendance at Consular Corps of London lunch,05/12/2016,,14.96
,Redfern,Standard,Birmingham New St,,Rail,"Parr, Mr. Matthew",,,05/12/2016,,32.5
,Redfern,Standard,London Kings Cross,,Rail,"Williams, Ms. Wendy",,External Meeting,05/12/2016,,126.5
,Redfern,Standard,London Euston,,Rail,"Cunningham, Mr. Michael Bernard",,,06/12/2016,,318
Hotel Standard- One- King Size,Redfern,,London Heathrow,,,"Cunningham, Mr. Michael Bernard",,External Meeting,06/12/2016,,260.92
Hotel Room,Redfern,,Manchester,,,"Eastaugh, Mr. Tony",,External Meeting,06/12/2016,,49.5
,Redfern,Standard,Manchester Piccadilly,,Rail,"Eastaugh, Mr. Tony",,External Meeting,06/12/2016,,207.2
Hotel Superior,Redfern,,London City,,,"Ind, Mr. Hugh Timothy",,External Meeting,06/12/2016,,175.6
,,,,,Taxis,"Leach, Mrs. Paula Michelle",,London,06/12/2016,,13.8
,,,,,Taxis,"Lincoln, Mr. Paul Michael",,Travel from Copenhagen Airport to Hotel ahead of Institute Innovation Prog,06/12/2016,,27.66
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Lincoln, Mr. Paul Michael",,Travel on 6 Dec 2016 to Heathrow for Flight to Copenhagen on official business,06/12/2016,,27
,Redfern,Economy,Copenhagen,,Air Tickets,"Lincoln, Mr. Paul Michael",,,06/12/2016,,439.31
,,,,,Taxis,"Lloyd, Ms. Myrtle",,"Taxi from home to railway station. No suitable public transport, No spaces in nearby car parks.",06/12/2016,,8
,,,,,Taxis,"Lloyd, Ms. Myrtle",,Taxi from railway station to home.  No suitable public transport.  Slightly longer route taken to avoid traffic and roadworks.,06/12/2016,,9
,Redfern,Standard,Chester,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,06/12/2016,,138.5
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,06/12/2016,,138.5
,,,,,T&S - Hotels,"Montgomery, Sir Charles Percival",,Overnight stay in London ahead of 06:50 departure for Lille,06/12/2016,,125
,Redfern,Standard,Sheffield,,Rail,"Morrison, Mr. Paul Noble Wilson",,,06/12/2016,,79.5
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Owen, Mr. Marc",,Travel from Culture Call conference in St Paul's,06/12/2016,,12.1
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Owen, Mr. Marc",,travel to conference in St Paul's,06/12/2016,,3.3
,,,,,T&S - Employee Reimbursed Mileage,"Sedwill, Mr. Mark",,Work travel for official visit.,06/12/2016,,25.7
,Redfern,Standard,Basingstoke,,Rail,"Shipley, Mr. Gordon Michael",,External Meeting,06/12/2016,,39.2
,,,,,Taxis,"Wilkinson, Ms. Patsy",,Taxi from NED event at Tower of London to home,06/12/2016,,14
,Redfern,Standard,London Euston,,Rail,"Cunningham, Mr. Michael Bernard",,External Meeting,07/12/2016,,11
Hotel Standard- One- King Size,Redfern,,London Heathrow,,,"Cunningham, Mr. Michael Bernard",,External Meeting,07/12/2016,,130.46
Hotel Room,Redfern,,London Heathrow,,,"Eastaugh, Mr. Tony",,External Meeting,07/12/2016,,182.33
,,,,,T&S - Employee Reimbursed Mileage,"France, Mr. David Paul",,Return trip from home to visit CC GIles York; normal place of work is London; journey by car much quicker than by rail,07/12/2016,,44
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Parking @ railway station - cheaper than return taxi journey.,07/12/2016,,6.7
,,,,,T&S - Subsistence,"Lloyd, Ms. Myrtle",,Overnight stay in London.  Dinner bill exceeded daily limit.,07/12/2016,,26
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Tube fare.,07/12/2016,,2.4
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,07/12/2016,,223.5
,,,,,T&S - Subsistence,"Montgomery, Sir Charles Percival",,Refreshment/snack during travel to France (Lille/Paris),07/12/2016,,7.9
Hotel (Foreign) Superior- One- Double,Redfern,,Brussels,,,"Montgomery, Sir Charles Percival",,External Meeting,07/12/2016,,141.5
,Redfern,,Brussels,,Cont Rail,"Montgomery, Sir Charles Percival",,,07/12/2016,,74.27
,Redfern,Economy,Lille Europe,,Cont Rail,"Montgomery, Sir Charles Percival",,,07/12/2016,,67
,Redfern,,Paris,,Cont Rail,"Montgomery, Sir Charles Percival",,External Meeting,07/12/2016,,-151.32
,Redfern,,Paris,,Cont Rail,"Montgomery, Sir Charles Percival",,,07/12/2016,,164.07
,Redfern,,,,Cont Rail,"Montgomery, Sir Charles Percival",,MEETING WITH EXTERNAL BODIES,07/12/2016,,161.94
,Redfern,Standard,Durham,,Rail,"Taylor, Mr. David Mclure",,,07/12/2016,,160.85
Hotel Room,Redfern,,Newcastle,,,"Taylor, Mr. David Mclure",,External Meeting,07/12/2016,,77.6
,,,,,"T&S - Planes, Trains and Automobiles","Dottridge, Mr. Adrian Yme",,Tube travel,08/12/2016,,2.4
,,,,,T&S - Subsistence,"Dottridge, Mr. Adrian Yme",,Meal Whilst visiting team in Sheffield,08/12/2016,,6.99
Hotel Standard,Redfern,,Sheffield,,,"Dottridge, Mr. Adrian Yme",,External Meeting,08/12/2016,,90.6
,Redfern,Standard,Sheffield,,Rail,"Dottridge, Mr. Adrian Yme",,External Meeting,08/12/2016,,189
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Parking @ railway station - cheaper than return taxi fare,08/12/2016,,6.7
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Tube fare.,08/12/2016,,2.4
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Montgomery, Sir Charles Percival",,Tube from St Pancreas to London Waterloo,08/12/2016,,2.4
,Redfern,Premium Economy,London St Pancras,,Cont Rail,"Montgomery, Sir Charles Percival",,,08/12/2016,,168
,,,,,T&S - Employee Reimbursed Mileage,"O'brien, Mr. John",,External meeting travelling after,08/12/2016,,93.6
,,,,,Miscellaneous,"Oppenheim, Mr. Jeremy",,personal mobile used for business calls. 70% of bill claimed,08/12/2016,,33.99
,Redfern,Standard,Brussels Midi,,Cont Rail,"Riach, Ms. Shona",,External Meeting,08/12/2016,,169
,Redfern,Standard,London Zones 1-6,,Rail,"Taylor, Mr. David Mclure",,External Meeting,08/12/2016,,17.2
,Redfern,Standard,Newcastle,,Rail,"Williams, Ms. Wendy",,External Meeting,08/12/2016,,79.5
,,,,,T&S - Subsistence,"O'brien, Mr. John",,External Meeting,08/12/2016,,30.25
,,,,,"T&S - Planes, Trains and Automobiles","Dottridge, Mr. Adrian Yme",,Tube travel,09/12/2016,,2.4
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Car parking @ Peterborough.,09/12/2016,,5.7
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Petrol for hire car.  Return journey to Peterborough nearly 300 miles.,09/12/2016,,36.54
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,M6 Toll charge.,09/12/2016,,11
,,,,,T&S - Employee Reimbursed Mileage,"O'brien, Mr. John",,External meeting travelling after,09/12/2016,,93.6
,Redfern,Standard,London St Pancras,,Cont Rail,"Riach, Ms. Shona",,External Meeting,09/12/2016,,187
,,,,,Taxis,"Tribe, Mr. Lee Kelvin",,Shared taxi New Street to supplier,09/12/2016,,6.2
,Redfern,Standard,Birmingham New St,,Rail,"Tribe, Mr. Lee Kelvin",,External Meeting,09/12/2016,,81.1
,,,,,T&S - Hotels,"Arnott, Dr. Robert Henry",,ASLEF strike - no trains - only way to attend work,12/12/2016,,125
,Redfern,Economy,Geneva,,Web Transaction,"Clarke, Mr. Richard William John",,External Meeting,12/12/2016,,110.17
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Petrol for hire car,12/12/2016,,21.96
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Montgomery, Sir Charles Percival",,Tube from Westminster to London City Airport for team Visit,12/12/2016,,2.8
,,,,,T&S - Subsistence,"Montgomery, Sir Charles Percival",,Meal during travel to Netherlands for work appointment,12/12/2016,,16
,Redfern,Economy,Rotterdam,,Air Tickets,"Montgomery, Sir Charles Percival",,External Meeting,12/12/2016,,309.35
,,,,,Taxis,"Riach, Ms. Shona",,Taxi from airport to hotel,12/12/2016,,13.64
Hotel (Foreign) Superior Suite,Redfern,,Amsterdam,,,"Riach, Ms. Shona",,External Meeting,12/12/2016,,96.37
Hotel Room,Redfern,,London Heathrow,,,"Tribe, Mr. Lee Kelvin",,External Meeting,12/12/2016,,113.1
,Redfern,Standard,London Kings Cross,,Rail,"Williams, Ms. Wendy",,External Meeting,12/12/2016,,126.5
,Redfern,Standard,London Euston,,Rail,"Cunningham, Mr. Michael Bernard",,External Meeting,13/12/2016,,345
Hotel Standard- One- King Size,Redfern,,London Heathrow,,,"Cunningham, Mr. Michael Bernard",,External Meeting,13/12/2016,,129.6
,Redfern,Standard,Sheffield,,Rail,"Eastaugh, Mr. Tony",,External Meeting,13/12/2016,,179
,,,,,Taxis,"Lloyd, Ms. Myrtle",,"Tube delays, took Taxi from Green Park to Victoria station to avoid being late for Board meeting.",13/12/2016,,6.8
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,car Parking cheaper than Taxi to station,13/12/2016,,6.7
,Redfern,Standard,Chester,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,13/12/2016,,139.5
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,13/12/2016,,129
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Montgomery, Sir Charles Percival",,Tube from London City Airport (visit to BF counterparts in Rotterdam) back to 2 Marsham Street,13/12/2016,,2.8
,Redfern,Economy,London City,,Air Tickets,"Montgomery, Sir Charles Percival",,External Meeting,13/12/2016,,95.56
,Redfern,,,,Baggage,"Montgomery, Sir Charles Percival",,,13/12/2016,,6
,,,,,"Canteens, Lunches, Vending","Oppenheim, Mr. Jeremy",,breakfast with Nicholas Fox KPMG to discuss forthcoming HO/KPMG U collaborative event on vulnerability,13/12/2016,,45.56
,,,,,Taxis,"Riach, Ms. Shona",,Taxi from hotel to Europol,13/12/2016,,10.91
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Riach, Ms. Shona",,Train ticket to airport,13/12/2016,,7.55
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Riach, Ms. Shona",,Train ticket,13/12/2016,,10.15
,Redfern,Standard,London Zones 1-6,,Rail,"Sutton, Mr. Kenneth David",,External Meeting,13/12/2016,,17.7
