Billing Address,Liability Start Date,Property Address,Ratepayer,Net Debit,Property Reference,RV
,17/11/2005,"Unit 1, Springs Garage, Halifax Road, Todmorden           OL14 5RS",,4961,78192736,10250
"Office Suite E345, Dean Clough, Halifax, HX3 5AX",17/09/2005,"Office Suite D 149, Dean Clough Office Park, Halifax, HX3 5AX",Dean Clough Ltd,217.8,64788755,450
"Office Suite E345, Dean Clough, Halifax, HX3 5AX",02/04/2001,"Crossleys Mill (Grd Flr), Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,0,64788834,7500
"19 Albion Street, Halifax, HX1 1DU",17/09/2005,"Cellar Store 1, Borough Market, Halifax, HX1 1DZ",Calderdale Mbc Markets Manager,0,64288770,149
"19 Albion Street, Halifax, HX1 1DU",17/09/2005,"Balcony Store 5, Borough Market, Halifax, HX1 1DZ",Calderdale Mbc Markets Manager,0,64288777,167
"19 Albion Street, Halifax, HX1 1DU",08/07/2005,"Balcony Store 21, Borough Market, Halifax, HX1 1DZ",Calderdale Mbc Markets Manager,0,64288792,630
,17/09/2005,"Basement Unit 18, Hebble End Mill, Hebble End, Hebden Bridge       HX7 6HJ",,0,76256731,430
"Ground Floor, 31/33 Water Street, Todmorden, OL14 5AB",01/06/2007,"2ND Floor, 31/33 Water Street, Todmorden, OL14 5AB",Wrigley Claydon Solicitors,1452,78508704,3000
,01/04/2007,"Devon Works, Dunkirk Lane, Halifax, HX1 3TA",,0,64852708,6000
,10/07/2007,"26 Wharf Street, Sowerby Bridge, HX6 2AE",,0,77652026,4250
,01/04/2007,"Part Albion Iron Works, Beacon Hill Road, Halifax, HX3 6AF",,1466.15,64184703,2950
"C/O Bellrock F M Ltd, Enterprise House, Sunningdale Road, Leicester, LE3 1UR",01/04/2007,"10 Commercial Street, Halifax, HX1 1TA",Johnson Cleaners Uk Ltd,3379.6,64660010,6800
"North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",17/09/2005,"Unit 5, North Dean Mills, Stainland Road, Greetland           HX4 8LS",J Speak & Co Ltd,0,68772726,1425
"Brian Royd Mills, Saddleworth Road, Greetland, Halifax, HX4 8NF",17/09/2005,"Pt 4th Flr Brian Royd Mills, Brian Royd Lane, Greetland, Halifax             HX4 8NF",Binns & Sons (Greetland) Ltd,0,68444742,2075
,01/08/2007,"Unit 4, George Street, Mytholmroyd, Hebden Bridge        HX7 5DT",George Street Garage Ltd,0,76224712,2000
"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",06/08/2007,"33 Stanningley Road, Mixenden, Halifax, HX2 8RJ",Pennine Housing 2000 Ltd,0,68804033,1100
,17/09/2005,"2 Boston Street, Sowerby Bridge, HX6 1DP",,0,77080002,1875
"Units 62 & 53 Bowers Mill, Branch Road, Barkisland, Halifax, HX4 0AD",01/12/2007,"Unit 12 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",Peter Jackson & Son Ltd,3775.2,64344749,7800
,22/04/2006,"62 Haugh Shaw Road, Halifax, HX1 3LE",,0,65284062,2500
,27/01/2006,"42 Ing Head Terrace, Shelf, Halifax, HX3 7LB",,0,65428042,4250
,01/01/2006,"3 Common Lane, Southowram, Halifax, HX3 9PA",,0,64664003,3450
,01/12/2005,"The Little Shed, Mount Pleasant Mill, Midgley Road, Mytholmroyd         HX7 5NR",The Little Shed Joinery,0,76372707,1550
"C/O Suite L The Courtyard, Earl Rd , Stanley Green, Cheadle Hulme, Cheshire, SK8 6GN",01/04/2007,"1ST & 2ND Floors, 236 Queens Road, Halifax, HX1 4NE",Brook Pharmacy Ltd,0,68308727,1575
"William Hill Organisation Ltd, Greenside House, 50 Station Road, Wood Green, London, N22 7TP",24/07/2007,"3/4 Regent Parade, Wharf Street, Sowerby Bridge, HX6 2EH",Wm Hill Organization Ltd,5203,77444703,10750
,21/12/2007,"5 Ovenden Road, Halifax, HX3 5PN",,0,68156005,2500
"39 Elizabeth Street, Elland, HX5 0JH",29/11/2005,"39 Elizabeth Street, Elland, HX5 0JH",Mr Peter Pukacz,0,56076039,2500
,01/10/2006,"3 Commercial Street, Brighouse, HD6 1AF",Sean Custance Master Butchers Ltd,2081.99,29196003,8900
"18/20 Oxford Road, Amberler Thorn, Queensbury, Bradford, BD13 2BL",01/09/2007,"Unit 1 Halifax Autocars, Shay Lane, Halifax, HX3 6QU",Halifax Auto Cosmetics Ltd,0,68536749,2750
"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",01/04/2005,"37/39 Stanningley Road, Mixenden, Halifax, HX2 8RJ",Pennine Housing 2000 Ltd,0,68804701,2225
"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",30/01/2008,"Unit 14B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,242,64628769,500
,01/04/2008,"365 Skircoat Green Road, Halifax, HX3 0RP",,49.22,68596365,6100
,01/04/1990,"Fly Flats Reservoir, Warley Moor, Halifax, HX2 7TR",,266.39,69272700,6700
"Ossett Brewery, Kings Yards, Low Mill Road, Osset, WF5 8ND",20/03/2006,"The Drop Inn, 12 Elland Lane, Elland, HX5 9DU",Ossett Brewery Pub Co Ltd,1403.6,56084717,2900
,01/04/2000,"Carlton Works, The Boulevard, R/O 24 Savile Park Road, Halifax             HX1 2EN",,0,68472712,1425
,01/10/2007,"Laura Brennan, Equestrian Centre, Brighouse&Denholmegate Rd, Shelf                HX3 7TL",,0,64380705,3900
"Facilities Dept, Swinton Group Ltd, 6 Gt Marlbrough Street, Manchester, M1 5SW",01/04/2005,"Garage & Gen Nr Colonnade Hs, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",Colonnade Insurance Brokers Ltd,629.2,65288711,1300
"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",05/04/2007,"Unit B5/B6, Tenterfields Business Park, Luddendenfoot, Halifax              HX2 6EJ",Pennine Housing 2000 Ltd,2129.6,64448744,4400
"Albert Road, Sowerby Bridge, HX6 2NW",01/04/2007,"Adj Rock Haven, Burnley Road, Sowerby Bridge, HX6 2TH",Sowerby Bridge High School,629.2,77108728,1300
,31/03/2006,"14 Hunger Hill, Halifax, HX1 2JT",,0,65416014,2950
"Wellington House, Wellington Arcade, Briggate, Brighouse, HD6 1DN",17/10/2006,"Grd Flr,Wellington House, Briggate, Brighouse, HD6 1DN",Mark Riley (Brighouse) Ltd,4840,29100711,10000
"Third Floor, Brian Royd Mills, Saddleworth Road, Greetland, HX4 8PE",01/05/2006,"Brian Royd Mills, Brian Royd Lane, Greetland, Halifax              HX4 8NF",Focus Product Development Ltd,1210,68444725,2500
,03/11/2007,"Part 2nd Floor, Berwick Street, Halifax, HX1 1QG",,0,64244703,5900
"G L Hearn Management Ltd, Po Box 1610, Southampton, SO15 3WX",01/04/2008,"69a Huddersfield Road, Elland, HX5 9AA",Asda Stores Ltd,1565.55,56132764,3150
,14/01/2008,"Unit 5, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",,0,76088876,1825
,14/01/2008,"Land At, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",,309.76,76088871,640
"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",29/07/2003,"122 Oak Avenue, Todmorden, OL14 5PD",Pennine Housing 2000 Ltd,0,78340122,2325
,01/04/2006,"Unit 4, Elizabeth Street, Elland, HX5 0JH",,0,56076709,3450
"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",15/06/2006,"33 The Colonnade, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,0,68252744,2500
,24/06/2003,"Whitegate Fisheries, Whitegate Road, Siddal, Halifax             HX3 9AD",,0,69432700,1950
"Fao Jim Milner, Westgate House, Westgate, Halifax, HX1 1PD",01/04/2007,"Boothtown Road, Halifax, HX3 6ET",Calderdale Mbc Community Services,0,64284700,990
,01/12/2007,"Unit HM17 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,0,65344805,2700
,01/05/2008,"6 Edward House, King Cross Road, Halifax, HX1 3JL",,0,65516701,1700
"Unit 15, Lower Brearley Mill, Luddendenfoot, Halifax, HX2 6HU",01/04/2008,"Unit 15, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU",Calder Construction & Shopfitting Ltd,4763.78,64356706,11250
"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",04/11/2007,"10 The Colonnade, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,0,68252756,2550
,03/01/2008,"Robin Hood Works, Wakefield Road, Brighouse, HD6 1PE",,0,29608710,5400
,05/02/2007,"First Floor, 18 Rawson Street, Halifax, HX1 1NH",,0,68356708,5900
"Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",01/04/2010,"Advertising Right, Bus Shelter 0702 0145, King Cross Road, Halifax              HX1 3JZ",Clear Channel (Uk) Ltd,145.2,65516780,300
"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",01/04/2010,"34/35 The Colonnade, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,0,68252746,5100
"30 Hullen Edge Road, Elland, HX5 0QY",01/06/2010,"First Floor, 13A School Lane, Todmorden, OL14 5AG",Overgate Hospice,0,78412708,1475
"Po Box 6079, Wolverhampton, WV1 9RA",21/05/2010,"Telecommunications Mast, Site Ref  Hx 0012, Back Clough, Northowram           HX3 7HF",Mobile Broadband Network Ltd,4065.6,64104705,8400
"Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",01/06/2010,"Adv Rt Bus Shelter 0702 0165, Opp Junct Cross Street West, Moor End Road, Halifax              HX2 0JB",Clear Channel (Uk) Ltd,232.32,65844706,480
"2 Carr View, New Road, Luddenden, Halifax, HX2 6QR",01/07/2010,"Unit W1, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",L S Audio Tech Ltd,0,64448774,4650
"Bnp Paribas Real Estate Uk, 9 Colmore Road, Birmingham, B3 2BJ",04/07/2010,"16-18 Waterhouse Street, Halifax, HX1 1UQ",Cash Converters [Uk] Ltd,5445,69304707,11250
"Unit 4, Station Industrial Park, Station Road, Luddendenfoot, HX2 6AD",01/07/2010,"Unit 4 Station Road Ind Park, Station Road, Luddendenfoot, Halifax              HX2 6AD",Cherokee Foods Ltd,2682.61,68824727,9500
"Lambert Smith Hampton, Interchange Place, Edmund Street, Birmingham, B3 2TA",01/04/2010,"Flood Warning Sign, Adjacent Morrisons, Rochdale Road, Todmorden           OL14 6LG",The Environment Agency,48.4,78400849,100
,21/04/2010,"Market Stall 89-90, Market Hall, Borough Market, Halifax             HX1 1DZ",,0,64288747,5600
,01/04/2010,"7 Ryburn Buildings, West Street, Sowerby Bridge, HX6 3AH",,2932.3,77476007,5900
,01/08/2010,"Unit 2 R/O Hillcrest Garage, Burnley Road, Sowerby Bridge, HX6 2TL",,0,77108720,3000
"Po Box 24, Whitchurch, Shropshire, SY13 8XB",01/04/2011,"Unit 3A, Heywoods Industrial Park, Birds Royd Lane, Brighouse            HD6 1NA",Impetus Technologies Ltd,4436.65,29052755,11000
,01/04/2011,"Adj East Hey Head Farm, Hey Head Lane, Todmorden, OL14 8RE",,0,78218701,2650
,01/08/2011,"Office  No. T08, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",Coverall Flooring Ltd,0,29236746,2600
,03/11/2010,"29 Old Lane, Brighouse, HD6 1TU",,0,29448700,1625
,01/04/2010,"Unit 2E Crossley Works, Cragg Road, Cragg Vale, Hebden Bridge        HX7 5TB",,0,76156711,2150
,31/05/2011,"10A Denholmegate Road, Hipperholme, Halifax, HX3 8JQ",,0,64812750,4000
,01/08/2011,"Unit 7A Robinwood Mill, Burnley Road, Todmorden, OL14 8JA",,0,78076848,4150
"Fao Mr Calvert, Unit 2, Springvale Works, Elland Road, Brighouse, HD6 2RN",01/04/2010,"Unit 8 Springvale Works, Elland Road, Brighouse, HD6 2RN",W R P Holdings Ltd,0,29236819,141
,01/04/2011,"Unit 2 Lacy Mill, Lacy Avenue, Todmorden, OL14 5RP",,0,78276701,2550
,01/04/2011,"Fountain Head Inn, 45 Mount Pellon, Pellon, Halifax             HX2 0EE",,0,65876706,4800
"Fao Deborah Wright, Safer,Cleaner,Greener Manager, Town Hall, Wesley Court, Halifax, HX1 1UJ",01/06/2010,"Sponsored Roundabout, (Central Res) Nr Sainsburys, Huddersfield Road, Brighouse            HD6 1PD",Calderdale Mbc,130.68,29344850,270
"Fao Deborah Wright, Safer,Cleaner,Greener Manager, Town Hall, Wesley Court, Halifax, HX1 1UJ",01/06/2010,"Sponsored Roundabout, (Flower Bed) Jct Barum Top, Bull Green, Halifax              HX1 2AG",Calderdale Mbc,130.68,64436806,270
"'schlossli', Langlea Terrace, Hipperholme, Halifax, HX3 8LG",01/12/2010,"Ground Floor Ridings Court, Denholmegate Road, Hipperholme, Halifax              HX3 8JG",2K Technologies Ltd,0,64812748,4750
,01/09/2010,"Unit 3G / H South Mill, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",,1427.8,65344939,2950
,26/01/2011,"Storeroom 21 Market Hall, Brook Street, Todmorden, OL14 5AJ",,91.96,78068750,190
,26/01/2011,"Storeroom 2 Market Hall, Brook Street, Todmorden, OL14 5AJ",,242,78068732,500
,26/01/2011,"The Kabin, Todmorden Outdoor Market, Brook Street, Todmorden           OL14 5AJ",,0,78068702,660
"1 Red Cross Street, Rochdale, Lancs, OL12 0NZ",01/12/2010,"27 Burnley Road, Todmorden, OL14 7BU",Rspca Rochdale And District Branch,337.96,78076027,3400
,01/11/2010,"2 White Hart Fold, Todmorden, OL14 7BD",,0,78016703,3850
,05/07/2008,"87 Northgate, Halifax, HX1 1XF",,0,68096087,4550
,01/05/2008,"Unit 3D, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",,0,68536838,1800
,01/10/2007,"Unit 1, 38 Sunderland Street, Halifax, HX1 5AF",,0,68880704,3900
,01/04/2008,"Office Suites D242 & D244, Dean Clough Mills, Halifax, HX3 5AX",,0,64788855,2550
,12/05/2008,"39 Halifax Road, Todmorden, OL14 5BB",,0,78192797,2025
,23/05/2009,"4A Tillotson Buildings, Luddendenfoot, Halifax, HX2 6AG",,0,69072004,1300
,01/09/2008,"7 Borough Market, Halifax, HX1 1DY",,0,64288007,3600
,30/08/2008,"Willow Park Day Nursery, Willow Street, Sowerby Bridge, HX6 2EQ",,2475.93,77664701,9300
,13/09/2008,"75 Catherine Street, Elland, HX5 0JB",,0,56032075,3800
,01/08/2008,"16 Mill Lane, Mixenden, Halifax, HX2 8SE",,0,65812703,1775
"Waterside House, Central Works, Oldham Road, Ripponden, HX6 4DN",01/10/2008,"Office No 1, Ladyship Industrial Estate, Old Lane, Halifax             HX3 5QN",Calderbrook Estates Ltd,0,68132730,1875
"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",01/04/2008,"Unit 31A Ground Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS",Units To Let [Northern] Ltd,0,77690714,570
,16/07/2008,"Unit H M 20A Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,0,65344890,3500
"F.A.O. Mr David Laycock, Old Allen Barn, Old Allen Road, Harecroft, Bradford, BD13 3RY",17/09/2005,"Unit 14, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",Eurofill Ltd,0,65600713,3500
,31/07/2010,"28 Keighley Road, Halifax, HX2 8AL",,0,65484028,2650
,22/11/2008,"40 Wharf Street, Sowerby Bridge, HX6 2AE",,0,77652733,3800
"Po Box 6079, Wolverhampton, WV1 9RA",30/04/2010,"Telecommunication Mast, Site Ref H X 0011, Whitegate Road, Siddal               HX3 9AD",Mobile Broadband Network Ltd,3630,69432703,7500
,10/06/2010,"11/13 Ovenden Road, Halifax, HX3 5PN",,0,68156724,4200
,01/01/2009,"12 Wharf Street, Sowerby Bridge, HX6 2AE",,0,77652746,5000
"Fao Peter Marsland, 2 Ryburn Villas, Jerry Lane, Sowerby Bridge, HX6 3BH",21/08/2010,"93 Lower Brig Royd, Halifax Road, Ripponden, Sowerby Bridge       HX6 4DE",Dales Cottages Ltd,0,78568093,1200
,14/08/2010,"Ringby Quarry, Swales Moor Road, Halifax, HX3 6UF",Ringby Quarry Ltd,0,68908708,5
"Unit 14c, Calderdale Business Park, Club Lane, Halifax, HX2 8AX",01/01/2011,"Unit 14C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Advanced Service Solutions Ltd,0,64628780,1025
"Po Box 6079, Wolverhampton, WV1 9RA",15/01/2009,"Unit 7A Woodman Works, South Lane, Elland, HX5 0PA",Mobile Broadband Network Ltd,4065.6,56220764,8400
"26 Northgate, Elland, West Yorks, HX5 0RU",13/09/2008,"22/24 Northgate, Elland, HX5 0RU",Joseph Dobson & Sons Ltd,3777.2,56180024,7600
"High Level Works, Pellon Lane, Halifax, HX1 4PZ",02/11/2008,"High Level Works, Pellon Lane, Halifax, HX1 4PZ",Viewstone Ltd,4452.8,68236707,9200
,01/04/2009,"54 Burnley Road, Todmorden, OL14 5EY",,0,78076054,3050
,23/07/2010,"Unit 4 Lower Brea, Leeds Road, Halifax, HX3 7AQ",Mpv Motors Ltd (Company Ceased To Trade No Assets 11 08 09),1500.4,65612718,3100
,10/12/2010,"Unit 3, Copperwood Court, Queens Road, Halifax             HX1 3NS",Denholt Steel Fabrications Ltd,5566,68308720,11500
,26/01/2011,"Storeroom 14B Market Hall, Brook Street, Todmorden, OL14 5AJ",,0,78068748,43
,01/03/2011,"7 Northgate, Halifax, HX1 1UR",,907.5,68096007,7500
,05/10/2010,"Offices 1 & 2, 35 Clare Road, Halifax, HX1 2JP",Angel Care (Uk) Ltd,3226.68,64584035,10000
,01/04/2009,"Atm At Jet Service Station, Stainland Road, Greetland, Halifax              HX4 8BG",,435.6,64254718,900
"29 Harrison Road, Halifax, HX1 2AF",01/07/2008,"St Pauls Buildings, Southgate, Elland, HX5 0EX",The Samaritans Of Halifax & Calderdale,0,56224744,7000
"Fao Richard Heywood, Unit A, Horley Green Road, Halifax, HX3 6AS",01/12/2008,"Unit A, Horley Green Road, Halifax, HX3 6AS",The Mayfield Trust,71.57,65372705,7200
,01/04/2008,"Office,  3 Marsden Gate Farm, Marsden Gate, Sowood, Stainland, Halifax              HX4 9LD",,0,65946701,810
,08/02/2011,"278 Halifax Road, Brighouse, HD6 2PB",,0,29296278,3100
,28/03/2011,"Unit 13/14, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",Nationwide Door Systems Ltd,0,68536706,4850
,01/06/2009,"Unit 3  (Ground), 38 Hangingroyd Lane, Hebden Bridge, HX7 7DD",Brooklyn Studio Arts Group,0,76552731,4650
,01/07/2009,"2nd Floor, Machpelah Works, Machpelah, Hebden Bridge       HX7 8AU",,0,76356702,3600
,01/07/2009,"Basement Riverside Works, Halifax Road, Elland, HX5 0SH",,0,56116723,7300
,01/06/2009,"Unit 1, Bridge Mill, St Georges Square, Hebden Bridge       HX7 8ET",,0,76508710,870
"2 Stansfield Road, Todmorden, Lancs, OL14 5DL",01/05/2009,"Unit 7a, Lineholme Mill, Burnley Road, Todmorden           OL14 7DH",Westfield Properties Ltd,0,78076807,560
"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",01/04/2009,"3RD Flr Space Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",Blackshaw Holdings Ltd,3081.4,29084814,6200
,02/07/2009,"27 Crown Street, Hebden Bridge, HX7 8EH",Riverstones Fine Jewellery Ltd,0,76176027,7400
,17/05/2009,"776 Rochdale Road, Todmorden, OL14 7UA",,0,78400757,4500
,24/01/2011,"Unit 7 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,1803.48,29084798,8600
"C/O Noah's Ark Centre, 322 Ovenden Road, Halifax, HX3 5TJ",20/07/2009,"12 Wheatley Lane, Lee Mount, Halifax, HX3 5EU",New Horizons,0,69420012,3550
"Croft Mill, Croft Mill Yard, Hebden Bridge, HX7 8AB",01/04/2009,"Apartment 2, Croft Mill Apartments, Croft Mill Yard, Hebden Bridge        HX7 8AB",Tanpits Management Company Ltd,798.6,76673703,1650
"Croft Mill, Croft Mill Yard, Hebden Bridge, HX7 8AB",01/04/2009,"Apartment 3, Croft Mill Apartments, Croft Mill Yard, Hebden Bridge        HX7 8AB",Tanpits Management Company Ltd,847,76673704,1750
,03/08/2009,"25 Borough Market, Halifax, HX1 1DY",,0,64288025,3450
,04/08/2009,"1st Floor, Berwick Mill, Berwick Street, Halifax             HX1 1QG",,0,64244705,3050
,01/04/2009,"Knowl End Farm, Staups Lane, Todmorden, OL14 8RR",Knowl End  Farm 143 Ltd,0,78460703,6300
,02/09/2009,"Unit 2 (First Floor), 38 Hangingroyd Lane, Hebden Bridge, HX7 7DD",,0,76552730,1800
"New Bond Works, New Bond Street, Halifax, HX1 2HB",01/04/2009,"New Bond Works, New Bond Street, Halifax, HX1 2NB",A M T Ltd,907.5,68012711,7500
"C/O Michael Devereux, Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",01/04/2011,"11 The Colonnade, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc Community Services,0,68252775,1625
,15/05/2011,"9 Northowram Green, Northowram, Halifax, HX3 7JE",,0,68100009,4400
,01/05/2011,"27A Stainland Road, Greetland, Halifax, HX4 8AD",,0,68772027,2900
"Highbury House, Oakhill Road, Brighouse, HD6 1SN",26/09/2009,"Oak Hill Road, Clifton, Brighouse, HD6 1SN",Highbury Homes [Yorks] Ltd,2682.61,29440700,9500
"Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",01/09/2009,"Board No 2183, Gable Of Deal Street, Halifax, HX1 1QX",Primesight Ltd,859.1,64708702,1775
"Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",01/09/2009,"Advertising Right Board, No.  4789, Barfield Road, Halifax              HX3 8HQ",Primesight Ltd,641.3,64152701,1325
"Unit 2/3, Robinhood Works, Wakefield Road, Brighouse, HD6 1PE",06/10/2009,"Unit 10 Wellington Mills, Quebec Street, Elland, HX5 9AS",Home Improvement Supplies Ltd,1379.4,56196714,2850
"Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",29/08/2009,"Car Park, Halifax Opportunities Trust, Hopwood Lane, Halifax              HX1 5ER",Halifax Opportunities Trust,39.76,64242766,4000
,04/09/2009,"2 New Road, Halifax, HX1 2LH",,0,68028002,3550
"Warehouse 1, Cromwell House, Elland Road, Brighouse, HD6 2RG",01/04/2009,"Warehouse 1 Pt Basement, Cromwell House, Elland Road, Brighouse            HD6 2RG",Calder Lifting Services  Ltd,262.16,29236812,6500
"Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",01/09/2009,"R/O 2 Horton Street, Halifax, HX1 1PU",Primesight Ltd,641.3,65388717,1325
,08/11/2009,"32 Bell Hall Terrace, Halifax, HX1 3EE",,0,64228032,5200
"Mulcture House, Mulcture Hall Road, Halifax, HX1 1SP",01/04/2009,"Prescott Street Car Park, Prescott Street, Halifax, HX1 2LF",Calderdale Mbc Parking Services,3194.4,68280730,6600
,01/04/2009,"Unit C First Floor, Asquith Bottom Mills, Asquith Bottom, Sowerby Bridge       HX6 3BS",,0,77024764,1300
,01/06/2009,"Unit 5, Bandwalk Industrial Estate, Saddleworth Road, Greetland            HX4 8BA",G Bateman Fabrications Engineering Solutions Ltd,2787.28,68444762,9600
"3 Pickwood Scar, Norland, Sowerby Bridge, HX6 3RB",01/04/2011,"Unit 3 Station Road Ind Park, Station Road, Luddendenfoot, Halifax              HX2 6AD",Chris Fradgley Ltd,2475.93,68824726,9300
"Bays 5 & 6, Rosemount Estate, Huddersfield Road, Elland, HX5 0EE",01/04/2011,"First Floor Old Pattern Shop, Rosemount Estate, Huddersfield Road, Elland               HX5 9DW",P.T.G Heavy Industries Ltd,3194.4,56132853,6600
,22/03/2011,"2 Albion Street, Halifax, HX1 1DU",,3812.47,64052002,10500
,01/04/2005,"Ground Floor, 6-8 Hall Street, Halifax, HX1 5AY",,2894.44,65248715,9700
"Unit OP14-20, Dean Clough Office Park, Halifax, HX3 5AY",08/12/2009,"Unit D Mill Annexe, Dean Clough Industrial Park, Halifax, HX3 5AX",Dean Clough Ind Park Ltd,0,64784833,1400
"Fao Mr P Buckley, Carr House, Water Lane, Halifax, HX3 9HG",01/04/2010,"Carr House, Water Lane, Halifax, HX3 9HG",Hargreaves Foundry Ltd,3291.2,69300703,6800
"White Ribbon House, 1 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",04/01/2010,"Elphin House, 1 New Road, Mytholmroyd, Hebden Bridge       HX7 5DZ",The White Ribbon Campaign (Uk) Limited,0,76408705,11250
"Fao Keith A Vear, 29 Whitley Drive, Holmfield, Halifax, HX2 9SJ",28/01/2010,"Golden Fleece Inn, 1 Bradshaw Lane, Bradshaw, Halifax             HX2 9UZ",The Bradshaw Pub Co Ltd,0,64336702,4100
,01/06/2011,"Garage 1, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",,0,76420725,1400
"Highways & Engineering, 3rd Floor Northgate House, Northgate, Halifax, HX1 1UN",01/04/2010,"Car Park, Meadow Lane, Todmorden, OL14 8BD",Calderdale Mbc,266.2,78316701,550
"F.A.O.Craig  Florence, C/O Deloitte Llp, 1 City Square, Leeds, LS1 2AL",26/02/2010,"17 Alexandra Street, Halifax, HX1 1BS",Atmosphere Bars & Clubs Ltd (In Administration),0,64056017,4150
"Housing & Environment Services, 1st Floor Northgate House, Northgate, Halifax, HX1 1UN",01/04/2010,"Car Park, Grape Street, Halifax, HX1 5BP",Calderdale Mbc,484,65933701,1000
,01/04/2010,"13 Hill Crest, Burnley Road, Sowerby Bridge, HX6 2TJ",,0,77108712,2500
,24/03/2010,"13 Woodside Place, Halifax, HX3 6EQ",,0,69524013,1200
"Nrth Tyneside Transfer Station, Wallsend Road, North Shields, Tyne & Wear, NE29 7SH",01/04/2010,"Atlas Mill Road, Brighouse, HD6 1ES",Sita [Uk] Ltd,1573,29032720,3250
,01/04/2011,"18/20 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",,0,76408018,970
,01/10/2010,"Unit 18A, Asquith Bottom Works, Asquith Bottom, Ridge Street",,0,77024736,1925
"Gosling Hall Farm, 9 Bankend Lane, Almondbury, Huddersfield, HD5 8EX",01/04/2011,"Woodman Works, South Lane, Elland, HX5 0PA",Emd Building Services Ltd,0,56220807,2650
"Heritage Exchange, South Lane, Elland, HX5 0HG",13/06/2011,"Office 1A James Street Mills, South Lane, Elland, HX5 0HB",Synergy Financial Solutions Ltd,0,56220809,4400
"Unit 4 C, Ladyship Business Park, Mill Lane, Halifax, HX3 6TU",30/03/2011,"Unit 4C Ladyship Ind. Park, Mill Lane, Halifax, HX3 6TA",Shane France Storage Ltd,2710.4,68132749,5600
"Syke House, Green Lane, Queensbury, Bradford, BD13 2LQ",01/04/2010,"Brow Stone Yard, Brighouse Road, Hipperholme, Halifax             HX3 8DD",Vernon Robinson & Son Haulage Contractors,0,64376706,4200
"Caldene Business Park, Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5QJ",01/05/2013,"Units 7 & 10, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",Myford Ltd,3097.6,76252781,6400
,16/05/2013,"2 Brook Street, Todmorden, OL14 5AJ",,0,78068002,5800
,21/05/2013,"Garage & Premises, Exchange Mills, Saddleworth Road, Elland              HX5 0RY",,0,56212708,1525
,07/11/2013,"Unit 1 Tubend Ltd, Stanley Street, Sowerby Bridge, HX6 2AH",,4125.1,77544701,8300
