Amount,Date,Entity,Expense Area,Expense Type,Supplier,Transaction Number
"£198,448.50",30/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,GARSIDE & LAYCOCK LTD,1547108
"£44,880.00",30/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SYKES & SON LTD,1547979
"£33,043.63",30/03/2011,HMCS,HZ999-North East and Yorkshire,532603-TA GBV Add CIS Labour Costs,BROADSTONE GROUP LTD,1546752
"£36,177.04",30/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,CARILLION PLANNED MAINTENANCE,1546816
"£48,000.00",30/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1547562
"£44,974.58",30/03/2011,HMCS,IZ999-RCJ Group,532603-TA GBV Add CIS Labour Costs,ROLFE CONTRACTING LTD,1547805
"£57,507.24",30/03/2011,HMCS,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,LORNE STEWART PLC,1547446
"£255,078.62",30/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MCDOWALL AIR CONDITIONING (UK) LTD,1547510
"£39,801.60",30/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,REIRSE RYAN LTD,1547771
"£36,155.88",31/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,KERSHAW MECHANICAL SERVICES LTD,1548472
"£69,518.40",31/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,SITEC INTERIORS LTD,1549373
"£43,630.25",31/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SYKES & SON LTD,1549398
"£176,776.79",31/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,M W CRIPWELL LTD,1548498
"£232,107.60",31/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,NORLAND MANAGED SERVICES LTD,1548542
"£111,710.40",31/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,REIRSE RYAN LTD,1549336
"£27,738.28",31/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,SITEC INTERIORS LTD,1549373
"£146,212.80",31/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,DH FATHERS LTD,1548340
"£39,023.86",31/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,NORLAND MANAGED SERVICES LTD,1548542
"£89,528.96",04/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532604-DISC-IT Software Dev in Course of C,LOGICA UK LTD,1514880
"£26,160.00",04/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532604-DISC-IT Software Dev in Course of C,LOGICA UK LTD,1514880
"£57,159.60",16/03/2011,HMCS,AV322-CP Change Management SUPS,532604-DISC-IT Software Dev in Course of C,LOGICA UK LTD,1529140
"£42,000.00",16/03/2011,HMCS,AV322-CP Change Management SUPS,532604-DISC-IT Software Dev in Course of C,LOGICA UK LTD,1529140
"£53,082.00",18/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532604-DISC-IT Software Dev in Course of C,LOGICA UK LTD,1531802
"£70,064.40",18/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532604-DISC-IT Software Dev in Course of C,LOGICA UK LTD,1531802
"£53,532.83",23/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532604-DISC-IT Software Dev in Course of C,LOGICA UK LTD,1537703
"£77,610.46",25/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532604-DISC-IT Software Dev in Course of C,LOGICA UK LTD,1540268
"£119,767.14",25/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532604-DISC-IT Software Dev in Course of C,LOGICA UK LTD,1540268
"£114,741.02",25/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532604-DISC-IT Software Dev in Course of C,LOGICA UK LTD,1540268
"£64,546.80",25/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532604-DISC-IT Software Dev in Course of C,LOGICA UK LTD,1540268
"£178,696.80",31/03/2011,HMCS,AV327-CP E-Working Project,532605-DISC-IT Hardware in Course of Const,ATOS ORIGIN IT SERVICES UK LTD,1548225
"£55,224.00",04/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532805-IA GBV - Add - VAT Recoverable - IA AUC,LOGICA UK LTD,1514880
"£68,754.00",16/03/2011,HMCS,AV322-CP Change Management SUPS,532805-IA GBV - Add - VAT Recoverable - IA AUC,LOGICA UK LTD,1529140
"£34,584.00",16/03/2011,HMCS,AV322-CP Change Management SUPS,532805-IA GBV - Add - VAT Recoverable - IA AUC,LOGICA UK LTD,1529140
"£102,055.09",18/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532805-IA GBV - Add - VAT Recoverable - IA AUC,LOGICA UK LTD,1531802
"£72,385.66",23/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532805-IA GBV - Add - VAT Recoverable - IA AUC,LOGICA UK LTD,1537703
"£307,127.42",23/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532805-IA GBV - Add - VAT Recoverable - IA AUC,LOGICA UK LTD,1537703
"£29,200.80",23/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532805-IA GBV - Add - VAT Recoverable - IA AUC,LOGICA UK LTD,1537703
"£44,481.60",23/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532805-IA GBV - Add - VAT Recoverable - IA AUC,LOGICA UK LTD,1537703
"£82,177.20",23/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532805-IA GBV - Add - VAT Recoverable - IA AUC,LOGICA UK LTD,1537703
"£44,379.19",30/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532805-IA GBV - Add - VAT Recoverable - IA AUC,LOGICA UK LTD,1547442
"£52,485.60",31/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,532805-IA GBV - Add - VAT Recoverable - IA AUC,LOGICA UK LTD,1548493
"£128,924.00",02/03/2011,HMCS,GZ999-North West Region,610344-Neopost Deposit,NEOPOST LTD,1512146
"£134,775.00",02/03/2011,HMCS,GZ999-North West Region,610344-Neopost Deposit,NEOPOST LTD,1512146
"£135,335.00",16/03/2011,HMCS,GZ999-North West Region,610344-Neopost Deposit,NEOPOST LTD,1529273
"£119,754.00",18/03/2011,HMCS,GZ999-North West Region,610344-Neopost Deposit,NEOPOST LTD,1531876
"£127,448.00",25/03/2011,HMCS,GZ999-North West Region,610344-Neopost Deposit,NEOPOST LTD,1540363
"£68,100.00",02/03/2011,HMCS,GZ999-North West Region,610430-Rent Prepayment Control Account,PHILIP J DAVIES (HOLDINGS) PLC,1512689
"£85,500.00",02/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,DURKAN ESTATES LTD,1511701
"£45,000.00",02/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,CBRE CB RICHARD ELLIS,1511561
"£83,333.40",02/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,CBRE CB RICHARD ELLIS,1511561
"£126,533.70",02/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,CBRE CB RICHARD ELLIS,1511562
"£223,662.60",02/03/2011,HMCS,EZ999-Wales Region,610430-Rent Prepayment Control Account,LONDON & CAPITAL PROPERTIES LTD,1512027
"£232,446.52",02/03/2011,HMCS,FZ999-Midlands Region,610430-Rent Prepayment Control Account,LONDON & CAPITAL PROPERTIES LTD,1512027
"£72,500.00",02/03/2011,HMCS,FZ999-Midlands Region,610430-Rent Prepayment Control Account,EDDISONS,1511709
"£62,514.24",02/03/2011,HMCS,FZ999-Midlands Region,610430-Rent Prepayment Control Account,BOND WOLFE ASSETS LTD,1511486
"£30,000.00",02/03/2011,HMCS,FZ999-Midlands Region,610430-Rent Prepayment Control Account,WARWICKSHIRE COUNTY COUNCIL,1512968
"£56,550.00",02/03/2011,HMCS,DZ999-South West Region,610430-Rent Prepayment Control Account,MAPELEY BETA ACQUISITION CO LTD,1512048
"£49,318.50",02/03/2011,HMCS,FZ999-Midlands Region,610430-Rent Prepayment Control Account,EVANS EASYSPACE LTD,1511730
"£367,365.22",04/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,SYNERGY HUNTINGDON TRUSTEE LTD,1515201
"£47,190.00",04/03/2011,HMCS,HZ999-North East and Yorkshire,610430-Rent Prepayment Control Account,MPS2 LTD,1514955
"£205,747.92",04/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,STANDARD LIFE INVESTMENTS,1515177
"£1,172,535.60",04/03/2011,HMCS,FZ999-Midlands Region,610430-Rent Prepayment Control Account,COLLINGWOOD RIGBY,1514597
"£131,284.50",04/03/2011,HMCS,GZ999-North West Region,610430-Rent Prepayment Control Account,SAVILLS COMMERCIAL LTD,1515121
"£54,000.00",04/03/2011,HMCS,BZ999-London Region,610430-Rent Prepayment Control Account,EDDISONS,1514671
"£156,316.82",04/03/2011,HMCS,GZ999-North West Region,610430-Rent Prepayment Control Account,LONDON & CAPITAL PROPERTIES LTD,1514881
"£151,360.45",04/03/2011,HMCS,GZ999-North West Region,610430-Rent Prepayment Control Account,LONDON & CAPITAL PROPERTIES LTD,1514881
"£31,146.90",04/03/2011,HMCS,GZ999-North West Region,610430-Rent Prepayment Control Account,LAMBERT SMITH HAMPTON,1514865
"£25,535.03",04/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,MAYFIELD ASSET & PROPERTY MANAGEMENT,1514904
"£155,695.18",04/03/2011,HMCS,GZ999-North West Region,610430-Rent Prepayment Control Account,LONDON & CAPITAL PROPERTIES LTD,1514881
"£38,750.00",04/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,AYLESBURY CONSERVATIVES,1514457
"£33,942.25",04/03/2011,HMCS,IZ999-RCJ Group,610430-Rent Prepayment Control Account,EDDISONS,1514671
"£35,617.28",09/03/2011,HMCS,HZ999-North East and Yorkshire,610430-Rent Prepayment Control Account,SANDERSON WEATHERALL,1521504
"£256,722.86",09/03/2011,HMCS,DZ999-South West Region,610430-Rent Prepayment Control Account,STANDARD LIFE INVESTMENTS,1521578
"£26,520.00",09/03/2011,HMCS,EZ999-Wales Region,610430-Rent Prepayment Control Account,LAMBERT SMITH HAMPTON,1520289
"£150,000.00",09/03/2011,HMCS,DZ999-South West Region,610430-Rent Prepayment Control Account,THE EXILARCH'S FOUNDATION,1521616
"£32,164.13",09/03/2011,HMCS,GZ999-North West Region,610430-Rent Prepayment Control Account,HURSTWOOD PROPERTIES (R) LTD,1520218
"£34,240.50",09/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,ALLIANZ MANAGEMENT SERVICES,1519738
"£32,593.00",09/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,SUFFOLKLIFE,1521595
"£70,950.00",09/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,GDPP,1520105
"£633,750.00",09/03/2011,HMCS,DZ999-South West Region,610430-Rent Prepayment Control Account,SCOTTISH WIDOWS PLC,1521514
"£149,745.90",09/03/2011,HMCS,FZ999-Midlands Region,610430-Rent Prepayment Control Account,PRICEWATERHOUSE COOPERS LLP,1521427
"£139,596.90",09/03/2011,HMCS,FZ999-Midlands Region,610430-Rent Prepayment Control Account,PRICEWATERHOUSE COOPERS LLP,1521427
"£149,745.90",09/03/2011,HMCS,FZ999-Midlands Region,610430-Rent Prepayment Control Account,PRICEWATERHOUSE COOPERS LLP,1521427
"£126,690.90",09/03/2011,HMCS,FZ999-Midlands Region,610430-Rent Prepayment Control Account,HOWELL BROOKS,1520211
"£57,450.00",09/03/2011,HMCS,HZ999-North East and Yorkshire,610430-Rent Prepayment Control Account,MORDEN COLLEGE,1520425
"£60,945.01",09/03/2011,HMCS,DZ999-South West Region,610430-Rent Prepayment Control Account,MAYBROOK PROPERTIES LTD,1520381
"£93,136.50",09/03/2011,HMCS,DZ999-South West Region,610430-Rent Prepayment Control Account,RATCLIFFES,1521443
"£130,230.00",09/03/2011,HMCS,BZ999-London Region,610430-Rent Prepayment Control Account,JOHN & SANDRA JOSEPH,1520240
"£104,104.66",09/03/2011,HMCS,HZ999-North East and Yorkshire,610430-Rent Prepayment Control Account,M J MAPP LTD,1520342
"£57,206.70",09/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,ABERDEEN PROPERTY INVESTORS,1519726
"£33,450.00",11/03/2011,HMCS,BZ999-London Region,610430-Rent Prepayment Control Account,CBRE CB RICHARD ELLIS,1523216
"£32,276.94",11/03/2011,HMCS,EZ999-Wales Region,610430-Rent Prepayment Control Account,NB REAL ESTATE,1523580
"£32,276.94",11/03/2011,HMCS,EZ999-Wales Region,610430-Rent Prepayment Control Account,NB REAL ESTATE,1523580
"£49,296.00",11/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,GOOD HARVEST GROUP LTD,335785
"£1,084,675.75",11/03/2011,HMCS,IZ999-RCJ Group,610430-Rent Prepayment Control Account,BERKLEY ESTATES LONDON LTD,1523146
"£72,440.70",11/03/2011,HMCS,HZ999-North East and Yorkshire,610430-Rent Prepayment Control Account,GVA GRIMLEY LTD,1523379
"£40,916.10",11/03/2011,HMCS,DZ999-South West Region,610430-Rent Prepayment Control Account,KING STURGE LLP,1523480
"£116,059.58",11/03/2011,HMCS,GZ999-North West Region,610430-Rent Prepayment Control Account,LONDON & CAPITAL PROPERTIES LTD,1523515
"£112,582.54",16/03/2011,HMCS,IZ999-RCJ Group,610430-Rent Prepayment Control Account,CLSH MANAGEMENT LIMITED,1528668
"£31,800.00",16/03/2011,HMCS,DZ999-South West Region,610430-Rent Prepayment Control Account,SWANSTON HOLDINGS,1529575
"£37,500.00",16/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,CP & CJ BROWN,1528709
"£334,500.00",16/03/2011,HMCS,BZ999-London Region,610430-Rent Prepayment Control Account,GREAT CAPITAL PARTNERSHIP (GP) LTD,1528923
"£80,750.00",16/03/2011,HMCS,FZ999-Midlands Region,610430-Rent Prepayment Control Account,SHROPSHIRE COUNCIL- SHREWSBURY,1529505
"£202,500.00",16/03/2011,HMCS,BZ999-London Region,610430-Rent Prepayment Control Account,GREAT CAPITAL PARTNERSHIP (GP) LTD,1528923
"£91,657.50",16/03/2011,HMCS,GZ999-North West Region,610430-Rent Prepayment Control Account,WORKMAN,1529723
"£37,125.00",16/03/2011,HMCS,DZ999-South West Region,610430-Rent Prepayment Control Account,LONDONDERRY ADMINISTRATIVE SERVICES,1529144
"£1,366,102.34",18/03/2011,HMCS,BZ999-London Region,610430-Rent Prepayment Control Account,PRUDENTIAL PROPERTY INVESTMENT MANAGERS LTD,1531949
"£55,695.37",18/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,HERTFORDSHIRE CONSTABULARY,1531720
"£270,731.70",18/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,MERCHANT PLACE PROPERTY PARTNERSHIP 36,1531842
"£40,500.00",18/03/2011,HMCS,EZ999-Wales Region,610430-Rent Prepayment Control Account,SCOTTS PROPERTY LLP,1531990
"£56,145.55",18/03/2011,HMCS,HZ999-North East and Yorkshire,610430-Rent Prepayment Control Account,GVA GRIMLEY LTD,1531691
"£253,360.20",23/03/2011,HMCS,BZ999-London Region,610430-Rent Prepayment Control Account,JAMES ANDREW RSW,1537608
"£30,576.60",23/03/2011,HMCS,DZ999-South West Region,610430-Rent Prepayment Control Account,GVA GRIMLEY LTD,1537510
"£85,404.21",24/03/2011,HMCS,EZ999-Wales Region,610430-Rent Prepayment Control Account,DERYN PROPERTIES (INVESTMENTS) LLP,6323
"£275,891.40",25/03/2011,HMCS,BZ999-London Region,610430-Rent Prepayment Control Account,B&HS MANAGEMENT LTD,1539815
"£33,072.00",25/03/2011,HMCS,EZ999-Wales Region,610430-Rent Prepayment Control Account,PRUDENTIAL PROPERTY INVESTMENT MANAGERS LTD,1540442
"£42,347.05",25/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,I ELLINSON & CO,347309
"£29,102.00",25/03/2011,HMCS,CZ999-South East Region,610430-Rent Prepayment Control Account,DTZ DEBENHAM TIE LEUNG,1540022
"£32,182.65",25/03/2011,HMCS,GZ999-North West Region,610430-Rent Prepayment Control Account,OAKLAWN,1540376
"£42,085.53",29/03/2011,HMCS,BZ999-London Region,610430-Rent Prepayment Control Account,CBRE CB RICHARD ELLIS,1542177
"£30,629.10",02/03/2011,HMCS,DZ999-South West Region,610440-Service Chg Prepay Control Account,LAMBERT SMITH HAMPTON,1511988
"£29,343.00",02/03/2011,HMCS,GZ999-North West Region,610440-Service Chg Prepay Control Account,CBRE CB RICHARD ELLIS,1511562
"£29,775.00",02/03/2011,HMCS,GZ999-North West Region,610440-Service Chg Prepay Control Account,CBRE CB RICHARD ELLIS,1511562
"£29,823.00",02/03/2011,HMCS,GZ999-North West Region,610440-Service Chg Prepay Control Account,CBRE CB RICHARD ELLIS,1511562
"£26,516.70",02/03/2011,HMCS,GZ999-North West Region,610440-Service Chg Prepay Control Account,SMITH & SONS,1512840
"£32,898.87",02/03/2011,HMCS,EZ999-Wales Region,610440-Service Chg Prepay Control Account,LONDON & CAPITAL PROPERTIES LTD,1512027
"£48,282.60",04/03/2011,HMCS,CZ999-South East Region,610440-Service Chg Prepay Control Account,KING STURGE LLP,1514852
"£41,011.34",04/03/2011,HMCS,HZ999-North East and Yorkshire,610440-Service Chg Prepay Control Account,BNP PARIBAS REAL ESTATE,1514510
"£1,054,000.00",16/03/2011,HMCS,BZ999-London Region,610440-Service Chg Prepay Control Account,CITY OF LONDON,1528658
"£29,634.11",16/03/2011,HMCS,CZ999-South East Region,610440-Service Chg Prepay Control Account,GVA GRIMLEY LTD,1528949
"£82,025.08",16/03/2011,HMCS,EZ999-Wales Region,610440-Service Chg Prepay Control Account,CNC PROPERTY MANAGEMENT LTD,1528670
"£32,419.64",23/03/2011,HMCS,EZ999-Wales Region,610440-Service Chg Prepay Control Account,NEWPORT CITY COUNCIL,1537838
"£39,636.71",16/03/2011,HMCS,AG999-Estates Directorate HMCS HQ,610450-Rates Prepayment Control Account,GVA GRIMLEY LTD,1528948
"£241,260.20",16/03/2011,HMCS,BZ999-London Region,610450-Rates Prepayment Control Account,GVA GRIMLEY LTD,1528948
"£3,658,645.80",18/03/2011,HMCS,WW000-Balance Sheet,710111-Taxation - Income Tax - Main Payroll NG1,HMRC,1058
"£579,526.81",18/03/2011,HMCS,WW000-Balance Sheet,710112-Taxation - Income Tax - Local Fees,HMRC,1065
"£2,947,004.35",18/03/2011,HMCS,WW000-Balance Sheet,710114-Income Tax -  Main Payroll - Ng 2,HMRC,1063
"£394,511.78",18/03/2011,HMCS,WW000-Balance Sheet,710122-National Insurance - Local Fees,HMRC,1064
"£2,498,358.97",18/03/2011,HMCS,WW000-Balance Sheet,710123-National Insurance -Main Payroll Ng 2,HMRC,1062
"£2,643,053.31",18/03/2011,HMCS,WW000-Balance Sheet,710124-National Insurance - Statutory Recoveries Ng 1,HMRC,1059
"£108,750.00",02/03/2011,HMCS,IZ999-RCJ Group,710801-Bankruptcy/Company Deposits,THE OFFICIAL RECEIVER,324737
"£132,750.00",16/03/2011,HMCS,IZ999-RCJ Group,710801-Bankruptcy/Company Deposits,THE OFFICIAL RECEIVER,336816
"£178,000.00",16/03/2011,HMCS,IZ999-RCJ Group,710801-Bankruptcy/Company Deposits,THE OFFICIAL RECEIVER,336817
"£43,473.44",03/03/2011,HMCS,FZ999-Midlands Region,710802-Third Party Monies - Home Suitors,ONE TIME CAPS,326239
"£27,682.10",03/03/2011,HMCS,FZ999-Midlands Region,710802-Third Party Monies - Home Suitors,ONE TIME CAPS,327396
"£27,863.54",03/03/2011,HMCS,FZ999-Midlands Region,710802-Third Party Monies - Home Suitors,ONE TIME CAPS,328163
"£30,259.16",10/03/2011,HMCS,FZ999-Midlands Region,710802-Third Party Monies - Home Suitors,ONE TIME CAPS,332851
"£35,150.31",10/03/2011,HMCS,FZ999-Midlands Region,710802-Third Party Monies - Home Suitors,ONE TIME CAPS,335573
"£48,759.45",10/03/2011,HMCS,FZ999-Midlands Region,710802-Third Party Monies - Home Suitors,ONE TIME CAPS,333229
"£33,822.26",10/03/2011,HMCS,FZ999-Midlands Region,710802-Third Party Monies - Home Suitors,ONE TIME CAPS,334593
"£32,989.70",17/03/2011,HMCS,FZ999-Midlands Region,710802-Third Party Monies - Home Suitors,ONE TIME CAPS,338175
"£31,588.15",24/03/2011,HMCS,FZ999-Midlands Region,710802-Third Party Monies - Home Suitors,ONE TIME CAPS,347006
"£46,825.63",24/03/2011,HMCS,FZ999-Midlands Region,710802-Third Party Monies - Home Suitors,ONE TIME CAPS,344960
"£33,561.18",24/03/2011,HMCS,FZ999-Midlands Region,710802-Third Party Monies - Home Suitors,ONE TIME CAPS,346150
"£29,175.22",31/03/2011,HMCS,FZ999-Midlands Region,710802-Third Party Monies - Home Suitors,ONE TIME CAPS,351306
"£43,857.41",31/03/2011,HMCS,FZ999-Midlands Region,710802-Third Party Monies - Home Suitors,ONE TIME CAPS,350179
"£27,998.88",31/03/2011,HMCS,FZ999-Midlands Region,710802-Third Party Monies - Home Suitors,ONE TIME CAPS,352100
"£28,765.88",31/03/2011,HMCS,WW000-Balance Sheet,611012-Invoice Overpayments,PEMBROKESHIRE COUNTY COUNCIL,1549486
"£25,452.00",07/03/2011,MoJ HQ,PZ501-MoJ ICT Feeder,212604-Contract Staff - Other,METHODS CONSULTING,1043165
"£32,625.00",10/03/2011,MoJ HQ,PZ501-MoJ ICT Feeder,212605-Agency Staff - Professional & Other,TAC TPS LTD T/A ADVANTAGE TECHNICAL RESOURCING,1043663
"£26,400.00",14/03/2011,MoJ HQ,PZ501-MoJ ICT Feeder,212605-Agency Staff - Professional & Other,CAPGEMINI UK PLC,1043803
"£27,030.00",21/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,212605-Agency Staff - Professional & Other,CONCERTO CONSULTING,1044513
"£35,570.06",03/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,221112-Property Rents - Passing Rent,HMRC,1042851
"£613,106.32",07/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,221112-Property Rents - Passing Rent,YORKE PROPERTY MANAGEMENT LTD,1043272
"£37,257.30",17/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,221112-Property Rents - Passing Rent,GVA GRIMLEY LTD,1044228
"£573,600.00",24/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,221112-Property Rents - Passing Rent,BROOKS PROPERTIES,1044942
"£146,506.13",24/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,221112-Property Rents - Passing Rent,CBRE CB RICHARD ELLIS,1044957
"£39,300.00",24/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,221112-Property Rents - Passing Rent,APIA ASSET MANAGEMENT LTD,1044911
"£191,161.25",24/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,221112-Property Rents - Passing Rent,GVA GRIMLEY LTD,1045025
"£3,252,798.50",25/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,221112-Property Rents - Passing Rent,LAND SECURITIES PROPERTIES LTD,6290
"£61,470.00",28/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,221112-Property Rents - Passing Rent,BNP PARIBAS REAL ESTATE,1045321
"£33,823.86",10/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,221410-Official Cars - Hire Charges,ARVAL UK LTD,1043403
"£49,265.61",17/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,221410-Official Cars - Hire Charges,ARVAL UK LTD,1044140
"£27,698.34",03/03/2011,MoJ HQ,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",222114-Service Charges,BRUNTWOOD ESTATES ALPHA PORTFOLIO LTD,1042767
"£37,800.00",17/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,222131-Building Improvement Works,DTZ DEBENHAM TIE LEUNG,1044198
"£52,630.86",07/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,222142-Utility - Electricity,EDF ENERGY LTD,1043090
"£56,960.50",10/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,222142-Utility - Electricity,EDF ENERGY LTD,1043479
"£38,458.00",10/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,222151-Security,CARLISLE SECURITY SERVICES LTD,1043441
"£113,198.32",10/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,222151-Security,CARLISLE SECURITY SERVICES LTD,1043441
"£110,448.07",10/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,222152-Cleaning (excl Waste Collctn),LANCASTER OFFICE CLEANING CO LTD,1043550
"£48,026.40",24/03/2011,MoJ HQ,PZ501-MoJ ICT Feeder,222154-Equipment Maintenance,CABLE & WIRELESS,1044949
"£73,388.47",28/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,222155-Other Service Contracts - Accommodation,CALIBRE CONSULTANCY LTD,1045338
"£201,065.70",10/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,222192-CIS Labour Mechanical & Electric,M J FERGUSON LTD,1043566
"£105,976.79",10/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,222193-CIS Labour B & CE,ASSOCIATED SERVICES (ESSEX) LTD,1043408
"£66,654.85",24/03/2011,MoJ HQ,NZ406-Strategic Estates Feeder,222193-CIS Labour B & CE,M J FERGUSON LTD,1045085
"£77,132.56",07/03/2011,MoJ HQ,PZ501-MoJ ICT Feeder,223210-SCA IT Serv Chgs LOCCS LIBRA Infstr,HP ENTERPRISE SERVICES UK LTD,1043128
"£759,610.00",28/03/2011,MoJ HQ,LZ430-I&B Operations,223320-IT Services ARAMIS,NATIONAL SAVINGS & INVESTMENTS,1045461
"£308,469.46",17/03/2011,MoJ HQ,NX900-MOJ Shared Services,223321-Liberata - Payroll Services,LIBERATA UK LTD,1044271
"£54,112.26",24/03/2011,MoJ HQ,QZ600-CPG Other,223321-Liberata - Payroll Services,AVON & SOMERSET PROBATION AREA,1044918
"£29,700.00",03/03/2011,MoJ HQ,KY220-Access to Justice Change,223324-ARAMIS RFC Costs,LIBERATA UK LTD,1042885
"£37,127.36",17/03/2011,MoJ HQ,NX900-MOJ Shared Services,223324-ARAMIS RFC Costs,LIBERATA UK LTD,1044271
"£29,564.41",17/03/2011,MoJ HQ,NX900-MOJ Shared Services,223324-ARAMIS RFC Costs,LIBERATA UK LTD,1044271
"£29,700.00",28/03/2011,MoJ HQ,KY220-Access to Justice Change,223324-ARAMIS RFC Costs,LIBERATA UK LTD,1045435
"£1,379,545.64",21/03/2011,MoJ HQ,NX900-MOJ Shared Services,223325-ARAMIS Other Services,LIBERATA UK LTD,1044574
"£42,278.40",10/03/2011,MoJ HQ,RE999-CJG - Research & Analysis,223410-Research & Associated Costs,TNS BMRB,1043669
"£37,104.15",14/03/2011,MoJ HQ,RE999-CJG - Research & Analysis,223410-Research & Associated Costs,UNIVERSITY OF KENT,1043983
"£68,400.00",17/03/2011,MoJ HQ,LZ600-Transforming Justice,223410-Research & Associated Costs,THE FUTURES COMPANY,1044371
"£49,155.01",17/03/2011,MoJ HQ,RE999-CJG - Research & Analysis,223410-Research & Associated Costs,NATIONAL CENTRE FOR SOCIAL RESEARCH (NATCEN),1044298
