Date,Departmental Family,Entity,Expense Area,Expense Type,Supplier,Transaction Number,Vat Registration Num,Amount
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-430654-45340,,96388
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-430654-45340,,101157
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-430352-45077,,116543
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-430654-45340,,117705
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CAMDEN PCT PROVIDER SERVICES,ERS-430567-45208,,25864
15/04/2011,Department of Health,Department of Health,NHS Chief Information Officer,Outsourcing Contract,CAPITA BUSINESS SERVICES LTD,92004799,,1587828.98
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CENTRAL AND NORTH WEST LONDON MENTAL HEALTH NHS FOUNDATION TRUST,ERS-430354-45046,,51802
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-430655-45300,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-430655-45300,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-430533-45189,,27867
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-430355-45055,,230529
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-430655-45300,,315153
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-430655-45300,,480828
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-430356-45029,,42849
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-430656-45283,,91162
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-430467-45030,,130267
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-430656-45283,,617012
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,CLATTERBRIDGE CENTRE FOR ONCOLOGY NHS FOUNDATION TRUST,ERS-430488-45135,,38148
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,COVENTRY TEACHING PCT,ERS-430657-45247,,48441
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,DERBY HOSPITALS NHS FOUNDATION TRUST,ERS-430559-45091,,33047.8
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,EAST & NORTH HERTFORDSHIRE NHS TRUST,ERS-430361-45060,,75987
15/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,EAST LANCASHIRE PCT,HAFS-10534,,6000000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,EAST LONDON NHS FOUNDATION TRUST,ERS-430659-45303,,76867
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,EAST LONDON NHS FOUNDATION TRUST,ERS-430365-45061,,119741
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,EAST OF ENGLAND SHA,ERS-430515-45083,,68424.3
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GATESHEAD HEALTH NHS FOUNDATION TRUST,ERS-430561-45089,,38363.8
15/04/2011,Department of Health,Department of Health,SOCIAL CARE,Grants to non profit institutions (CUR),GATESHEAD VOLUNTARY ORGANISATION COUNCIL,ERS-430781-45363,,62368.5
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,ERS-430534-45163,,35734
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,ERS-430660-45278,,97849
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,ERS-430660-45278,,111650
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,ERS-430368-45023,,614479
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,ERS-430660-45278,,1958513
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-430369-45072,,62626
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-430498-45147,,27722
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-430661-45268,,46944
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-430661-45268,,52424
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-430661-45268,,77978
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-430661-45268,,102689
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-430592-45148,,124620
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-430370-45004,,1044427
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-430661-45268,,2936239
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-430661-45268,,4737848.85
15/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Product and distribution costs,GW Price Ltd,690614,,61667.09
15/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Product and distribution costs,GW Price Ltd,690613,,25902.99
15/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Product and distribution costs,GW Price Ltd,690622,,47093.53
15/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Product and distribution costs,GW Price Ltd,690620,,29949.52
15/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Product and distribution costs,GW Price Ltd,690615,,33076.73
15/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Product and distribution costs,GW Price Ltd,690619,,69414.51
15/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Product and distribution costs,GW Price Ltd,690618,,55934.01
15/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Product and distribution costs,GW Price Ltd,690621,,25379.79
15/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Product and distribution costs,GW Price Ltd,690628,,46694.9
15/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Product and distribution costs,GW Price Ltd,690612,,34716.49
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,HAMMERSMITH AND FULHAM PCT,ERS-430505-45112,,37499
15/04/2011,Department of Health,Department of Health,COMMISSIONING,Contactor/ Staff Subsitution,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12592293,,29700
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,ERS-430374-45062,,26102
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,HERTFORDSHIRE PCT,ERS-430490-45119,,29673
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,HUMBER NHS FOUNDATION TRUST,ERS-430376-45049,,52036
15/04/2011,Department of Health,Department of Health,INFORMATICS,Conferences and Seminars,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,12814606,,83025
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-430664-45309,,142646
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-430664-45309,,312104
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-430377-45074,,1969191
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-430664-45309,,5649646
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430665-45316,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,INSTITUTE OF CANCER RESEARCH (ICR),ERS-430666-45336,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,INSTITUTE OF CANCER RESEARCH (ICR),ERS-430666-45336,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,INSTITUTE OF CANCER RESEARCH (ICR),ERS-430666-45336,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-430668-45269,,23260
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-430668-45269,,140070
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-430379-45008,,143242
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-430668-45269,,282842
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,KINGS COLLEGE LONDON,ERS-430670-45318,,825674
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LANCASHIRE CARE NHS FOUNDATION TRUST,ERS-430380-45057,,47590
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-430584-45202,,30094
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-430671-45307,,100087
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-430381-45069,,118083
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-430671-45307,,1400927.07
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS PCT,ERS-430383-44952,,76765
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS PCT,ERS-430672-45248,,86275
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-430673-45285,,14498
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-430673-45285,,25375
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-430506-45167,,44017
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-430604-45168,,74938
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-430673-45285,,104291
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-430673-45285,,105892
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-430468-45033,,126959
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-430673-45285,,306208
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-430384-45032,,359384
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-430673-45285,,547883
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-430673-45285,,3305130.79
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS UNIVERSITY OF,ERS-430674-45320,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS UNIVERSITY OF,ERS-430674-45320,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS UNIVERSITY OF,ERS-430674-45320,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS UNIVERSITY OF,ERS-430674-45320,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS UNIVERSITY OF,ERS-430674-45320,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEICESTER CITY PCT,ERS-430385-44960,,27548
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEICESTER UNIVERSITY OF,ERS-430675-45321,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEICESTER UNIVERSITY OF,ERS-430675-45321,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEICESTER UNIVERSITY OF,ERS-430675-45321,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEICESTER UNIVERSITY OF,ERS-430675-45321,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LIVERPOOL PCT,ERS-430389-44956,,51695
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LIVERPOOL UNIVERSITY OF,ERS-430676-45322,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LIVERPOOL UNIVERSITY OF,ERS-430676-45322,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LIVERPOOL UNIVERSITY OF,ERS-430676-45322,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LIVERPOOL UNIVERSITY OF,ERS-430676-45322,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LIVERPOOL UNIVERSITY OF,ERS-430529-45098,,91737
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LIVERPOOL WOMENS HOSPITAL NHS FOUNDATION TRUST,ERS-430390-44990,,25640
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-430677-45315,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-430677-45315,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,ERS-430679-45302,,980248.16
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-430680-45339,,24215
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-430680-45339,,105926
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-430680-45339,,143175
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-430391-45076,,216182
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER UNIVERSITY OF,ERS-430681-45325,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER UNIVERSITY OF,ERS-430681-45325,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER UNIVERSITY OF,ERS-430681-45325,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER UNIVERSITY OF,ERS-430681-45325,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER UNIVERSITY OF,ERS-430681-45325,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER UNIVERSITY OF,ERS-430681-45325,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER UNIVERSITY OF,ERS-430681-45325,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER UNIVERSITY OF,ERS-430681-45325,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER UNIVERSITY OF,ERS-430681-45325,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER UNIVERSITY OF,ERS-430681-45325,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER UNIVERSITY OF,ERS-430681-45325,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER UNIVERSITY OF,ERS-430681-45325,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER UNIVERSITY OF,ERS-430564-45104,,36574.08
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER UNIVERSITY OF,ERS-430681-45325,,40093
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER UNIVERSITY OF,ERS-430555-45103,,44314.19
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MEDWAY TEACHING PCT,ERS-430485-45115,,29349
15/04/2011,Department of Health,Department of Health,WORKFORCE,Addition Clearing - SW LIC,METHODS CONSULTING,100014135,,43170
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MID ESSEX PCT,ERS-430481-45126,,26628
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-430682-45279,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-430395-45024,,298267
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-430682-45279,,924122
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NEWCASTLE UNIVERSITY,ERS-430683-45326,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NEWCASTLE UNIVERSITY,ERS-430683-45326,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NEWCASTLE UNIVERSITY,ERS-430683-45326,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NEWCASTLE UNIVERSITY,ERS-430683-45326,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NEWCASTLE UNIVERSITY,ERS-430683-45326,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NEWCASTLE UNIVERSITY,ERS-430683-45326,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NEWCASTLE UNIVERSITY,ERS-430683-45326,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NEWCASTLE UNIVERSITY,ERS-430683-45326,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NEWCASTLE UNIVERSITY,ERS-430683-45326,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NEWCASTLE UNIVERSITY,ERS-430683-45326,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NEWCASTLE UNIVERSITY,ERS-430683-45326,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NEWCASTLE UNIVERSITY,ERS-430683-45326,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NEWCASTLE UNIVERSITY,ERS-430683-45326,,15000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NHS BLOOD AND TRANSPLANT (NHSBT),ERS-430684-45338,,177548
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NHS BLOOD AND TRANSPLANT (NHSBT),ERS-430684-45338,,177599
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NHS BLOOD AND TRANSPLANT (NHSBT),ERS-430684-45338,,178058
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NHS BLOOD AND TRANSPLANT (NHSBT),ERS-430684-45338,,182637
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NHS BLOOD AND TRANSPLANT (NHSBT),ERS-430398-45075,,347238
15/04/2011,Department of Health,Department of Health,WORKFORCE,Revenue Grants to Other Bodies,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),ERS-430735-45241,,25000000
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NHS DIRECT NHS TRUST,ERS-430685-45337,,105907
15/04/2011,Department of Health,Department of Health,INFORMATICS,Contr Other External,NHS INFORMATION CENTRE,12799594,,28262
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-430593-45155,,38552
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-430686-45272,,96415
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-430399-45014,,135844
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-430686-45272,,1259411.4
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NORTH BRISTOL NHS TRUST,ERS-430687-45298,,104291
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NORTH BRISTOL NHS TRUST,ERS-430687-45298,,104875
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NORTH BRISTOL NHS TRUST,ERS-430402-45050,,152647
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NORTH EAST ESSEX PCT,ERS-430586-45125,,48566
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NORTH EAST ESSEX PCT,ERS-430688-45252,,1622525.85
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NORTH EAST LONDON NHS FOUNDATION TRUST,ERS-430403-44980,,72875
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NORTH STAFFORDSHIRE PCT,ERS-430602-45123,,44667
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NORTH STAFFORDSHIRE PCT,ERS-430405-44961,,141789
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NORTH STAFFORDSHIRE PCT,ERS-430689-45249,,1960763.16
15/04/2011,Department of Health,Department of Health,Research & development,Research & development,NORTH WEST LONDON HOSPITALS NHS TRUST,ERS-430406-45048,,75182
