Address,Case Date,Case Reference,Case Text,Classification,Codetext,Decision,Decision Date,Decision Target Date,Geo X,Public Consultation End Date,Public Consultation Start Date,Service Type,Ward,Appeal Decision Date,Decision Notice Date,Decision Type,Geo Y,Status
,,Northowram,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 7EJ,,,,,,,,,,,,,,,,
427074,05/09/2017,"""",411305,PCO,,11/08/2017,,,,,,,,,,8,,
"""Land Rear Of 12",07/07/2017,17/00846/OUT,Five dwellings (Outline),Q18,,,,,,,,OUT,,,,,,
,,Green Lane,,,,,,,,,,,,,,,,
,,Shelf,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
428417,08/09/2017,"""",412857,PCO,,18/08/2017,24/07/2017,,,,,,,,,8,,
"""Mcdonalds",12/06/2017,17/10015/ADV,Re-location of illuminated lettering sign to front elevation and illuminated golden arch logo to side elevation following installation of new roof structure.  New illuminated golden arch logo to front elevation.  Two new illuminated golden arch logos to the drive thru booths (side elevation).  (Advertisement Consent),Q22,,,,,,,,ADV,,,,,,
,,407 Bradford Road,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HD6 4BT,,,,,,,,,,,,,,,,
424480,07/08/2017,"""",414691,PCO,,14/07/2017,,,,,,,,,,1,,
including 7 no. various totems,12/06/2017,17/10016/ADV,"""Installation of 10 new illuminated/non-illuminated signs to accommodate the new drive thru layout",Q22,"""Mcdonalds",,,,,,,ADV,,,,,,
,,407 Bradford Road,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HD6 4BT,,,,,,,,,,,,,,,,
424480,07/08/2017,"""",414691,PCO,,14/07/2017,,,,,,,,,,1,,
"""3 Imperial Close",14/06/2017,17/00443/DISC1,Submission of information to Discharge Conditions on application 17/00443 - condition 2,DISC,,,,,,,,DISC1,,,,,,
,,Bailiff Bridge,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HD6 4DF,,,,,,,,,,,,,,,,
425389,09/08/2017,"""",414681,PCOMP,,04/07/2017,,05/07/2017,05/07/2017,,,PCOMP,,,,5,,
"""Merok",14/06/2017,17/22029/TCA,Prune one tree (Trees in a Conservation Area),TCA,,,,,,,,TCA,,,,,,
,,Moss Lane,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX7 7DS,,,,,,,,,,,,,,,,
427603,27/07/2017,"""",399269,40,DEL,14/07/2017,,25/07/2017,25/07/2017,,,40,,,,2,,40
"""Cygnet Lodge",14/06/2017,17/00741/FUL,Conservatory to the rear,Q18,,,,,,,,FUL,,,,,,
,,60 Rastrick Common,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HD6 3EL,,,,,,,,,,,,,,,,
421993,11/08/2017,"""",414203,1,DEL,14/07/2017,20/06/2017,09/08/2017,09/08/2017,,,1,,,,11,,1
"""Scarr Hill Farm",14/06/2017,17/00743/FUL,Agricultural livestock building,Q12,,,,,,,,FUL,,,,,,
,,Beestonley Lane,,,,,,,,,,,,,,,,
,,Stainland,,,,,,,,,,,,,,,,
,,Elland,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX4 9PN,,,,,,,,,,,,,,,,
419493,03/10/2017,"""",407106,PCO,,11/08/2017,10/07/2017,,,,,,,,,4,,
"""The Elms",03/04/2017,17/20054/TPO,Prune two trees (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Birdcage Lane,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX3 0JQ,,,,,,,,,,,,,,,,
423403,23/06/2017,"""",408574,4,DEL,09/06/2017,15/05/2017,15/06/2017,15/06/2017,,,4,,,,13,,4
"""Wadsworth Banks Farm",15/06/2017,17/00750/LBC,Replacement windows (Listed Building Consent),Q23,,,,,,,,LBC,,,,,,
,,Raw Lane,,,,,,,,,,,,,,,,
,,Mytholmroyd,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX7 5RF,,,,,,,,,,,,,,,,
426763,10/08/2017,"""",401507,PCO,,24/08/2017,21/06/2017,,,,,,,,,7,,
"""1 Salterlee Villa",23/03/2017,17/00373/HSE,Single storey rear extension,Q21,,,,,,,,HSE,,,,,,
,,Salterlee,,,,,,,,,,,,,,,,
,,Shibden,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX3 6XN,,,,,,,,,,,,,,,,
426854,21/06/2017,"""",410434,1,DEL,,11/05/2017,21/06/2017,21/06/2017,,,1,,,,8,,1
"""30 Heath Lea",05/07/2017,17/00834/FUL,Proposed detached dwelling to a previously approved application (16/00637/FUL),,,,,,,,,FUL,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 2BX,,,,,,,,,,,,,,,,
424428,,"""",409072,INV,,,,,,,,,,,,13,,
"log store and covered potting area.""",06/07/2017,17/00839/FUL,"""Replacement timber shed",Q13,,,,,,,,FUL,,,,,,
,,Barkisland,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX4 0JA,,,,,,,,,,,,,,,,
420007,05/09/2017,"""",406018,PCO,,03/08/2017,13/07/2017,,,,,,,,,12,,
"""Mellings Farm",06/07/2017,17/40003/AGR,Importation of construction material to use as a suitable hardstanding for the construction of an agricultural building (Agricultural Notification),AGNO,,,,,,,,AGR,,,,,,
,,Sourhall Road,,,,,,,,,,,,,,,,
,,Todmorden,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,OL14 7HZ,,,,,,,,,,,,,,,,
424097,28/08/2017,"""",391426,33,DEL,01/09/2017,,21/08/2017,21/08/2017,,,33,,,,15,,33
"""Watty Hole",11/07/2017,17/00862/HSE,Two storey rear extension,Q21,,,,,,,,HSE,,,,,,
,,9-11 Watty Terrace,,,,,,,,,,,,,,,,
,,Todmorden,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,OL14 7PQ,,,,,,,,,,,,,,,,
423193,14/09/2017,"""",392766,PCO,,18/08/2017,26/07/2017,,,,,,,,,15,,
"""Site Of Grange Park Estate",07/07/2017,17/20118/TPO,Prune one tree (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Skircoat Moor Road,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
423336,01/09/2017,"""",408791,PCO,,04/08/2017,12/07/2017,,,,,,,,,13,,
"""New Yard Farm",13/07/2017,17/00873/FUL,Revised plot 1 (pursuant to permission 16/00687/FUL),Q13,,,,,,,,FUL,,,,,,
,,Beestonley Lane,,,,,,,,,,,,,,,,
,,Stainland,,,,,,,,,,,,,,,,
,,Elland,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX4 9PN,,,,,,,,,,,,,,,,
419105,07/09/2017,"""",407263,PCO,,25/08/2017,19/07/2017,,,,,,,,,4,,
"""New Yard Farm",13/07/2017,17/00874/LBC,Revised plot 1 (pursuant to permission 16/01551/LBC) (Listed Building Consent),Q23,,,,,,,,LBC,,,,,,
,,Beestonley Lane,,,,,,,,,,,,,,,,
,,Stainland,,,,,,,,,,,,,,,,
,,Elland,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX4 9PN,,,,,,,,,,,,,,,,
419105,07/09/2017,"""",407263,PCO,,25/08/2017,20/07/2017,,,,,,,,,4,,
"""37 Ashfield Road",19/06/2017,17/00763/HSE,Demolition of existing extension and construction of new side and rear extension,Q21,,,,,,,,HSE,,,,,,
,,Greetland,,,,,,,,,,,,,,,,
,,Elland,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX4 8HY,,,,,,,,,,,,,,,,
421485,28/09/2017,"""",408844,PCO,,01/09/2017,10/08/2017,,,,,,,,,4,,
"""Ground Floor",21/06/2017,17/00775/COU,Change of Use from cafe (A3) to Physiotherapy Unit (D1) (Part retrospective),Q20,,,,,,,,COU,,,,,,
,,103 Northgate,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 1XF,,,,,,,,,,,,,,,,
425585,22/08/2017,"""",409314,1,DEL,14/08/2017,30/06/2017,17/08/2017,17/08/2017,,,1,,,,16,,1
"""Grange Farm",21/06/2017,17/00776/OUT,Demolition of commercial premises to facilitate residential housing site (Outline),Q07,,,,,,,,OUT,,,,,,
,,Doctor Hill,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX2 0TG,,,,,,,,,,,,,,,,
426326,16/10/2017,"""",407024,PCO,,23/08/2017,25/07/2017,,,,,,,,,17,,
"""Bermerside House",23/06/2017,17/20099/TPO,Fell one Holly tree (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Greenroyd Close,,,,,,,,,,,,,,,,
,,Skircoat Green,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 0JY,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
422939,18/08/2017,"""",408871,4,DEL,02/08/2017,27/06/2017,17/08/2017,17/08/2017,,,4,,,,13,,4
"""7 Harrison Road",22/06/2017,16/01590/DISC1,Submission of information to Discharge Conditions on application 16/01590- condition 2,DISC,,,,,,,,DISC1,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
424965,30/08/2017,"""",409158,PCO,,,,,,,,,,,,16,,
"composite front doors and PVCu rear doors""",10/07/2017,17/00850/HSE,"""Replacement of existing windows and doors with new PVCu windows",Q21,,,,,,,,HSE,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 0AZ,,,,,,,,,,,,,,,,
423482,06/10/2017,"""",409531,PCO,,15/09/2017,18/08/2017,,,,,,,,,13,,
"""Southlands Farm",10/07/2017,17/00851/HSE,Two storey rear extension,Q21,,,,,,,,HSE,,,,,,
,,Bradshaw Lane,,,,,,,,,,,,,,,,
,,Bradshaw,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
430169,04/09/2017,"""",407947,PCO,,16/08/2017,17/07/2017,,,,,,,,,6,,
"""The Coach House",11/07/2017,17/00860/HSE,Roof extension to detached property including internal alternations (Amended scheme to 17/00249),Q21,,,,,,,,HSE,,,,,,
,,Stoney Lane,,,,,,,,,,,,,,,,
,,Charlestown,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX7 6PE,,,,,,,,,,,,,,,,
426716,05/09/2017,"""",397355,PCO,,08/08/2017,13/07/2017,,,,,,,,,2,,
"""Ricksan",14/07/2017,17/00888/HSE,Single storey rear extension,Q21,,,,,,,,HSE,,,,,,
,,Wainstalls Lodge Lane,,,,,,,,,,,,,,,,
,,Wainstalls,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX2 7TU,,,,,,,,,,,,,,,,
428460,12/09/2017,"""",404366,PCO,,18/08/2017,24/07/2017,,,,,,,,,7,,
"""2 Myrtle Avenue",19/06/2017,17/30006/INF,Kerb,INF,,,,,,,,INF,,,,,,
,,Illingworth,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX2 8HS,,,,,,,,,,,,,,,,
427965,10/07/2017,"""",407279,REPLY,,,,19/06/2017,19/06/2017,,,REPLY,,,,9,,
"""Glenholme",12/06/2017,17/20093/TPO,Prune five trees (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Beechwood Road,,,,,,,,,,,,,,,,
,,Holmfield,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX2 9AR,,,,,,,,,,,,,,,,
428119,07/08/2017,"""",408070,4,DEL,14/07/2017,20/06/2017,04/08/2017,04/08/2017,,,4,,,,6,,4
"""Land North West Of Graveyard",26/06/2017,17/00790/OUT,Detached dwelling (Outline),Q13,,,,,,,,OUT,,,,,,
,,Chapel Lane,,,,,,,,,,,,,,,,
,,Southowram,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
423585,23/08/2017,"""",411533,7,DEL,28/07/2017,03/07/2017,17/08/2017,17/08/2017,,,7,,,,16,,7
"""Park House Farm",30/06/2017,17/56011/CLAS3Q,Prior approval application for a change of use from agricultural building to a dwelling (C3) and associated operational development,,,,,,,,,CLAS3Q,,,,,,
,,Steel Lane,,,,,,,,,,,,,,,,
,,Barkisland,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX4 0ER,,,,,,,,,,,,,,,,
418195,29/08/2017,"""",406087,33,DEL,,,24/07/2017,24/07/2017,,,33,,,,12,,33
"""Yew Trees Farm",06/07/2017,17/00845/LBC,Barn conversion (Listed Building Consent),Q23,,,,,,,,LBC,,,,,,
,,Ovenden Wood Road,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX2 0TQ,,,,,,,,,,,,,,,,
426409,31/08/2017,"""",406759,3,DEL,11/08/2017,,16/08/2017,16/08/2017,,,3,,,,17,,3
"which have commenced is lawful""",07/07/2017,17/00847/192,"""The carrying out of the balance of the works in relation to Planning Application ref. 14/00355/FUL",Q26,,,,,,,,192,,,,,,
,,Fore Lane,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX6 1BJ,,,,,,,,,,,,,,,,
423276,14/09/2017,"""",405323,PCO,,,,,,,,,,,,12,,
"""2 Rose Grove",10/07/2017,17/00848/HSE,Second floor extension to rear (Revised Scheme to 17/00565),Q21,,,,,,,,HSE,,,,,,
,,Dean House Lane,,,,,,,,,,,,,,,,
,,Luddenden,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX2 6TL,,,,,,,,,,,,,,,,
427379,04/09/2017,"""",404109,PCO,,11/08/2017,17/07/2017,,,,,,,,,7,,
"""7 Marling Road",10/07/2017,17/00858/HSE,Extension and raised decking to west elevation,Q21,,,,,,,,HSE,,,,,,
,,Ainley Top,,,,,,,,,,,,,,,,
,,Elland,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HD2 2EE,,,,,,,,,,,,,,,,
419409,04/09/2017,"""",411543,PDE,DEL,22/08/2017,18/07/2017,,,,,,,,,3,,
,14/07/2017,17/00887/FUL,"""Installation of Bank of Ireland ATM with reflective advertising collar surround",Q18,,,,,,,,FUL,,,,,,
,,"""",,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 1PB,,,,,,,,,,,,,,,,
425196,29/09/2017,"""",409417,PCO,,08/09/2017,,,,,,,,,,16,,
"within a glass reinforced plastic (GRP) kiosk""",21/07/2017,17/00909/FUL,"""Replacement Motor Control Centre (MCC)",Q18,,,,,,,,FUL,,,,,,
,,Rose Grove Lane,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
423877,28/09/2017,"""",404884,PCO,,01/09/2017,11/08/2017,,,,,,,,,7,,
"""Quarry House",18/05/2017,17/00623/FUL,Change of use of land to facilitate construction of a conservatory to side,Q20,,,,,,,,FUL,,,,,,
,,High Street,,,,,,,,,,,,,,,,
,,Luddenden,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX2 6RP,,,,,,,,,,,,,,,,
425892,25/07/2017,"""",404113,1,DEL,19/07/2017,09/06/2017,25/07/2017,25/07/2017,,,1,,,,7,,1
"""Water Treatment Works",25/07/2017,17/00009/DTA,Replacement of elements of the Calder Valley Waste Water Treatment Works,,,,,,,,,DTA,,,,,,
,,Cooper Bridge Road,,,,,,,,,,,,,,,,
,,Cooper Bridge,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
421052,,"""",417557,INSFEE,,,,,,,,,,,,1,,
"""Former 739",25/07/2017,17/00924/COU,Change of use from alterations/upholstery workshop(B1c) to tearoom/cafe (A3),Q20,,,,,,,,COU,,,,,,
,,Burnley Road,,,,,,,,,,,,,,,,
,,Todmorden,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,OL14 8LF,,,,,,,,,,,,,,,,
426210,28/09/2017,"""",390915,PCO,,31/08/2017,10/08/2017,,,,,,,,,15,,
"""Wall Nook House",10/08/2017,17/00988/HSE,Summer house in garden,,,,,,,,,HSE,,,,,,
,,Lightcliffe Royd Lane,,,,,,,,,,,,,,,,
,,Barkisland,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX4 0BU,,,,,,,,,,,,,,,,
420755,,"""",406165,INV,,,,,,,,,,,,12,,
"""12 Bradford Road",14/08/2017,17/01002/LBC,Alterations to the size of the existing ATM aperture and removal of a 170mm deep portion of the existing interior floor to allow the recessing of 1 replacement ATM (Listed Building Consent),Q23,,,,,,,,LBC,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HD6 1RL,,,,,,,,,,,,,,,,
422871,09/10/2017,"""",414689,PCO,,15/09/2017,,,,,,,,,,1,,
"""Rose Meadows Barn",15/08/2017,17/01005/HSE,Detached garage,Q21,,,,,,,,HSE,,,,,,
,,Marsh Lane,,,,,,,,,,,,,,,,
,,Southowram,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 9UF,,,,,,,,,,,,,,,,
424608,10/10/2017,"""",411066,PCO,,15/09/2017,22/08/2017,,,,,,,,,16,,
"""12 Lower Hathershelf",17/08/2017,17/00783/DISC1,Submission of information to Discharge Conditions on application 17/00783/LBC - Conditions 1 and 2,DISC,,,,,,,,DISC1,,,,,,
,,Hathershelf Lane,,,,,,,,,,,,,,,,
,,Mytholmroyd,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX2 6JH,,,,,,,,,,,,,,,,
425230,12/10/2017,"""",402610,PCO,,,,,,,,,,,,7,,
extending out by 4 metres,25/08/2017,17/42031/42DAYS,"""Prior approval application for proposed single storey extension to rear",,"""8 Byland",,,,,,,42DAYS,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX2 9JX,,,,,,,,,,,,,,,,
428968,29/09/2017,"""",407019,PCO,,21/09/2017,29/08/2017,,,,,,,,,6,,
3,20/07/2017,16/01325/DISC1,"""Submission of information to Discharge Conditions on application 16/01325 - conditions 2",,,,,,,,,DISC1,,,,,,
,,The Orchards,,,,,,,,,,,,,,,,
,,Rastrick,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
421634,,"""",413802,APPRET,,,,,,,,,,,,11,,
"""Land Adjacent To 21A",21/07/2017,17/00911/FUL,Six semi detached dwellings,Q13,,,,,,,,FUL,,,,,,
,,Ashenhurst Road,,,,,,,,,,,,,,,,
,,Todmorden,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
425094,03/10/2017,"""",392986,PCO,,11/09/2017,15/08/2017,,,,,,,,,15,,
,24/07/2017,17/22035/TCA,"""Fell one tree (Trees in a Conservation Area)",TCA,,,,,,,,TCA,,,,,,
,,"""",,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 2PP,,,,,,,,,,,,,,,,
424158,04/09/2017,"""",409297,PCO,,04/08/2017,,,,,,,,,,13,,
"""Wraysholme",13/07/2017,17/22036/TCA,Fell two trees (Tree in a Conservation Area),TCA,,,,,,,,TCA,,,,,,
,,Roils Head Road,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX2 0LJ,,,,,,,,,,,,,,,,
425264,24/08/2017,"""",406309,40,DEL,18/08/2017,,24/08/2017,24/08/2017,,,40,,,,17,,40
link extension,27/07/2017,17/00929/HSE,"""Single storey lean-to gable extension",Q21,"""Squirrel Barn",,,,,,,HSE,,,,,,
,,Wood Lane,,,,,,,,,,,,,,,,
,,Sowerby,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX6 1NE,,,,,,,,,,,,,,,,
423653,21/09/2017,"""",404378,PCO,,01/09/2017,,,,,,,,,,12,,
link extension,27/07/2017,17/00930/LBC,"""Single storey lean-to gable extension",Q23,"""Squirrel Barn",,,,,,,LBC,,,,,,
,,Wood Lane,,,,,,,,,,,,,,,,
,,Sowerby,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX6 1NE,,,,,,,,,,,,,,,,
423653,21/09/2017,"""",404378,PCO,,05/09/2017,,,,,,,,,,12,,
"""46 The Gardens",26/07/2017,17/00894/HSE,Replacement garage,Q21,,,,,,,,HSE,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 2PL,,,,,,,,,,,,,,,,
424226,02/10/2017,"""",409010,PCO,,04/09/2017,14/08/2017,,,,,,,,,13,,
"2 & 3""",02/08/2017,14/00663/DISC1,"""Submission of details to comply with conditions to permission 14/00663 nos. 1",DISC,,,,,,,,DISC1,,,,,,
,,Holmfield Industrial Estate,,,,,,,,,,,,,,,,
,,Holmfield,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX2 9TP,,,,,,,,,,,,,,,,
429152,27/09/2017,"""",408474,PCO,,28/08/2017,,,,,,,,,,6,,
"removal of window to be replaced with door.""",07/08/2017,17/00966/HSE,"""Raised Decking to rear of property  1275mm off Ground Level",Q21,,,,,,,,HSE,,,,,,
,,Shelf,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 7ND,,,,,,,,,,,,,,,,
428079,02/10/2017,"""",411902,PCO,,08/09/2017,14/08/2017,,,,,,,,,8,,
"""5 Market Street",14/07/2017,17/10022/ADV,Advertising collar to surround the ATM (Advertisement Consent),Q22,,,,,,,,ADV,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 1PB,,,,,,,,,,,,,,,,
425196,29/09/2017,"""",409417,PCO,,01/09/2017,,,,,,,,,,16,,
"""Savile Grange Apartments",17/07/2017,17/20124/TPO,Prune 2 trees (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Free School Lane,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
423992,02/10/2017,"""",408771,PCO,,05/09/2017,15/08/2017,,,,,,,,,13,,
"""Tudor Chippy",20/07/2017,17/00477/DISC1,Submission of information to Discharge Conditions on application 17/00477 - condition 3,DISC,,,,,,,,DISC1,,,,,,
,,Victoria Road,,,,,,,,,,,,,,,,
,,Todmorden,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,OL14 5LR,,,,,,,,,,,,,,,,
424769,19/09/2017,"""",393763,PCO,,10/08/2017,,,,,,,,,,15,,
"""116 Burnsall Road",21/07/2017,17/00910/COU,Change of use from residential property (C3) to Day Nursery (D1),Q20,,,,,,,,COU,,,,,,
,,Rastrick,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HD6 3JT,,,,,,,,,,,,,,,,
421582,03/10/2017,"""",413017,PCO,,05/09/2017,15/08/2017,,,,,,,,,11,,
"""10 Overdale Mount",24/07/2017,17/00915/HSE,Rear extension and replacement dormer,Q21,,,,,,,,HSE,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX6 2SZ,,,,,,,,,,,,,,,,
424451,18/09/2017,"""",406549,PCO,,01/09/2017,08/08/2017,,,,,,,,,14,,
"""Wooded Area North Of Pollit Avenue",25/07/2017,17/20125/TPO,Prune five trees and fell twelve trees (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Sowerby New Road,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
423375,19/09/2017,"""",404535,PCO,,29/08/2017,01/08/2017,,,,,,,,,12,,
3,01/08/2017,16/01325/DISC2,"""Submission of information to Discharge Conditions on application 16/01325 - conditions 2",DISC,"8  and 9""",,,,,,,DISC2,,,,,,5
,,The Orchards,,,,,,,,,,,,,,,,
,,Rastrick,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
421634,27/09/2017,"""",413802,PCO,,21/08/2017,,,,,,,,,,11,,
"""Pike Stone Bank House",02/08/2017,17/00949/FUL,Detached double garage,Q13,,,,,,,,FUL,,,,,,
,,Slater Ing Lane,,,,,,,,,,,,,,,,
,,Heptonstall,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX7 7PD,,,,,,,,,,,,,,,,
428417,12/10/2017,"""",397624,PCO,,29/09/2017,25/08/2017,,,,,,,,,2,,
"""387B Rochdale Road",03/08/2017,17/00957/HSE,Two storey side extension,Q21,,,,,,,,HSE,,,,,,
