Diffusion tube,Year,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
HB6,2016,51,36,51,54,50,36,44,59,41,59,45,38
HQ1,2016,72,59,72,70,75,63,57,71,57,73,56,54
HQ9,2016,53,37,58,59,60,42,51,57,46,64,56,45
LF1,2016,69,45,61,60,65,40,56,65,59,62,59,38
LF2,2016,52,28,52,56,57,37,42,57,46,54,44,46
SB1,2016,74,50,70,72,56,56,62,72,58,,64,58
SB3,2016,62,38,68,60,55,39,68,65,56,68,60,53
SB15,2016,51,45,62,58,52,43,42,59,43,65,53,46
SB16,2016,58,37,60,53,55,39,53,55,52,58,58,47
SB18,2016,43,29,44,48,54,33,37,50,39,53,44,53
SB20,2016,58,44,65,67,63,53,56,65,53,73,60,23
SB21,2016,36,22,45,46,41,21,26,36,35,43,33,36
SB22,2016,62,42,72,68,67,43,64,69,62,57,59,53
BS1 HB,2016,,42,60,61,60,39,,63,,53,54,40
